publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"AIP Conference Proceedings","0094-243X","0094-243X",1999-01-01,,,,,,"http://link.aip.org/link/?APCPCS",,"","","full text","","American Institute of Physics"
"Applied Physics Letters","0003-6951","1077-3118",1999-01-01,,,,,,"http://link.aip.org/link/?APPLAB",,"","","full text","","American Institute of Physics"
"Chaos: An Interdisciplinary Journal of Nonlinear Science","1054-1500","1089-7682",1999-01-01,,,,,,"http://link.aip.org/link/?CHAOEH",,"","","full text","","American Institute of Physics"
"Journal of Applied Physics","0021-8979","1089-7550",1999-01-01,,,,,,"http://link.aip.org/link/?JAPIAU",,"","","full text","","American Institute of Physics"
"Journal of Mathematical Physics","0022-2488","1089-7658",1999-01-01,,,,,,"http://link.aip.org/link/?JMAPAQ",,"","","full text","","American Institute of Physics"
"Low Temperature Physics","1063-777X","1090-6517",1999-01-01,,,,,,"http://link.aip.org/link/?LTPHEG",,"","","full text","","American Institute of Physics"
"Physics of Fluids","1070-6631","1089-7666",1999-01-01,,,,,,"http://link.aip.org/link/?PHFLE6",,"","","full text","","American Institute of Physics"
"Physics of Plasmas","1070-664X","1089-7674",1999-01-01,,,,,,"http://link.aip.org/link/?PHPAEN",,"","","full text","","American Institute of Physics"
"Physics Today","0031-9228","",1999-01-01,,,,,,"http://link.aip.org/link/?PHTOAD",,"","","full text","","American Institute of Physics"
"Review of Scientific Instruments","0034-6748","1089-7623",1999-01-01,,,,,,"http://link.aip.org/link/?RSINAK",,"","","full text","","American Institute of Physics"
"The Journal of Chemical Physics","0021-9606","1089-7690",1999-01-01,,,,,,"http://link.aip.org/link/?JCPSA6",,"","","full text","","American Institute of Physics"
"Journal of Physical and Chemical Reference Data","0047-2689","1529-7845",1999-01-01,,,,,,"http://jpcrd.aip.org/",,"","","full text","","American Institute of Physics"
