publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Annual Review of Analytical Chemistry","1936-1327","1936-1335",2008-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/anchem ",,"","","fulltext","","Annual Reviews"
"Annual Review of Anthropology","0084-6570","1545-4290",1972-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/anthro",,"","","fulltext","","Annual Reviews"
"Annual Review of Astronomy and Astrophysics","0066-4146","1545-4282",1963-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/astro",,"","","fulltext","","Annual Reviews"
"Annual Review of Biochemistry","0066-4154","1545-4509",1932-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/biochem",,"","","fulltext","","Annual Reviews"
"Annual Review of Biomedical Engineering","1523-9829","1545-4274",1999-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/bioeng",,"","","fulltext","","Annual Reviews"
"Annual Review of Biophysics","1936-122x","1936-1238",2008-01-01,37,,,,,"http://arjournals.annualreviews.org/loi/biophys",,"","","fulltext","","Annual Reviews"
"Annual Review of Cell and Developmental Biology","1081-0706","1530-8995",1995-01-01,11,,,,,"http://arjournals.annualreviews.org/loi/cellbio",,"","","fulltext","","Annual Reviews"
"Annual Review of Chemical and Biomolecular Engineering","1947-5438","1947-5446",2010-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/chemeng",,"","","fulltext","","Annual Reviews"
"Annual Review of Clinical Psychology","1548-5943","1548-5951",2005-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/clinpsy",,"","","fulltext","","Annual Reviews"
"Annual Review of Condensed Matter Physics","1947-5454","1947-5462",2010-01-01,1,,,,,"http://arjournals.annualreviews.org/condmatphys",,"","","fulltext","","Annual Reviews"
"Annual Review of Earth and Planetary Sciences","0084-6597","1545-4495",1973-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/earth",,"","","fulltext","","Annual Reviews"
"Annual Review of Ecology, Evolution and Systematics","1543-592X","1545-2069",2003-01-01,34,,,,,"http://arjournals.annualreviews.org/loi/ecolsys",,"","","fulltext","","Annual Reviews"
"Annual Review of Economics","1941-1383","1941-1391",2009-01-01,1,,,,,"http://www.annualreviews.org/journal/economics",,"","","fulltext","","Annual Reviews"
"Annual Review of Entomology","0066-4170","1545-4487",1956-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/ento",,"","","fulltext","","Annual Reviews"
"Annual Review of Environment and Resources","1543-5938","1545-2050",2003-01-01,28,,,,,"http://arjournals.annualreviews.org/loi/energy",,"","","fulltext","","Annual Reviews"
"Annual Review of Financial Economics","1941-1367","1941-1375",2009-01-01,1,,,,,"http://www.annualreviews.org/journal/financial",,"","","fulltext","","Annual Reviews"
"Annual Review of Fluid Mechanics","0066-4189","1545-4479",1969-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/fluid",,"","","fulltext","","Annual Reviews"
"Annual Review of Food Science and Technology","1941-1413","1941-1421",2010-01-01,1,,,,,"http://arjournals.annualreviews.org/food",,"","","fulltext","","Annual Reviews"
"Annual Review of Genetics","0066-4197","1545-2948",1967-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/genet",,"","","fulltext","","Annual Reviews"
"Annual Review of Genomics and Human Genetics","1527-8204","1545-293X",2000-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/genom",,"","","fulltext","","Annual Reviews"
"Annual Review of Immunology","0732-0582","1545-3278",1983-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/immunol",,"","","fulltext","","Annual Reviews"
"Annual Review of Law and Social Science","1550-3585","1550-3631",2005-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/lawsocsci",,"","","fulltext","","Annual Reviews"
"Annual Review of Marine Science","1941-1405","1941-0611",2009-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/marine",,"","","fulltext","","Annual Reviews"
"Annual Review of Materials Research","1531-7331","1545-4118",2001-01-01,31,,,,,"http://arjournals.annualreviews.org/loi/matsci",,"","","fulltext","","Annual Reviews"
"Annual Review of Medicine","0066-4219","1545-326X",1950-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/med",,"","","fulltext","","Annual Reviews"
"Annual Review of Microbiology","0066-4227","1545-3251",1947-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/micro",,"","","fulltext","","Annual Reviews"
"Annual Review of Neuroscience","0147-006X","1545-4126",1978-01-01,1,,,,,"http://arjournals.annualreviews.org/loi/neuro",,"","","fulltext","","Annual Reviews"
"Annual Review of Nuclear and Particle Science","0163-8998","1545-4134",1979-01-01,29,,,,,"http://arjournals.annualreviews.org/loi/nucl",,"","","fulltext","","Annual Reviews"
