publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"ASCE Conference Proceedings","","",2000-01-01,,,,,,"http://link.aip.org/link/?ASCECP",,"","","full text","Conference Proceedings; Backfile content added","American Society of Civil Engineers"
"International Journal of Geomechanics","1532-3641","1943-5622",2001-01-01,1,1,,,,"http://link.aip.org/link/?IJGNAI",,"","","full text","","American Society of Civil Engineers"
"Journal of Aerospace Engineering","0893-1321","1943-5525",1988-01-01,1,1,,,,"http://link.aip.org/link/?JAEEEZ",,"","","full text","Backfile content (1988-1989) added","American Society of Civil Engineers"
"Journal of Architectural Engineering","1076-0431","1943-5568",1995-01-01,1,1,,,,"http://link.aip.org/link/?JAEIED",,"","","full text","","American Society of Civil Engineers"
"Journal of Bridge Engineering","1084-0702","1943-5592",1996-01-01,1,1,,,,"http://link.aip.org/link/?JBENF2",,"","","full text","","American Society of Civil Engineers"
"Journal of Cold Regions Engineering","0887-381X","1943-5495",1987-01-01,1,1,,,,"http://link.aip.org/link/?JCRGEI",,"","","full text","Backfile content (1987-1989) added","American Society of Civil Engineers"
"Journal of Composites for Construction","1090-0268","1943-5614",1997-01-01,1,1,,,,"http://link.aip.org/link/?JCCOF2",,"","","full text","","American Society of Civil Engineers"
"Journal of Computing in Civil Engineering","0887-3801","1943-5487",1987-01-01,1,1,,,,"http://link.aip.org/link/?JCCEE5",,"","","full text","Backfile content (1987-1989) added","American Society of Civil Engineers"
"Journal of Construction Engineering and Management","0733-9364","1943-7862",1983-01-01,109,1,,,,"http://link.aip.org/link/?JCEMD4",,"","","full text","Backfile content (1983-1989) added","American Society of Civil Engineers"
"Journal of Energy Engineering","0733-9402","1943-7897",1983-01-01,109,1,,,,"http://link.aip.org/link/?JLEED9",,"","","full text","Backfile content (1983-1989) added","American Society of Civil Engineers"
"Journal of Engineering Mechanics","0733-9399","1943-7889",1983-01-01,109,1,,,,"http://link.aip.org/link/?JENMDT",,"","","full text","Backfile content (1983-1989) added","American Society of Civil Engineers"
"Journal of Environmental Engineering","0733-9372","1943-7870",1983-01-01,109,1,,,,"http://link.aip.org/link/?JOEEDU",,"","","full text","Backfile content (1983-1989) added","American Society of Civil Engineers"
"Journal of Geotechnical and Geoenvironmental Engineering","1090-0241","1943-5606",1997-01-01,123,1,,,,"http://link.aip.org/link/?JGGEFK",,"","","full text","","American Society of Civil Engineers"
"Journal of Geotechnical Engineering","0733-9410","",1990-01-01,116,1,1996-01-01,122,12,"http://link.aip.org/link/?JGENDZ",,"","","full text","","American Society of Civil Engineers"
"Journal of Hydraulic Engineering","0733-9429","1943-7900",1983-01-01,109,1,,,,"http://link.aip.org/link/?JHEND8",,"","","full text","Backfile content (1983-1989) added","American Society of Civil Engineers"
"Journal of Hydrologic Engineering","1084-0699","1943-5584",1996-01-01,1,1,,,,"http://link.aip.org/link/?JHYEFF",,"","","full text","","American Society of Civil Engineers"
"Journal of Infrastructure Systems","1076-0342","1943-555X",1995-01-01,1,1,,,,"http://link.aip.org/link/?JITSE4",,"","","full text","","American Society of Civil Engineers"
"Journal of Irrigation and Drainage Engineering","0733-9437","1943-4774",1983-01-01,109,1,,,,"http://link.aip.org/link/?JIDEDH",,"","","full text","Backfile content (1983-1989) added","American Society of Civil Engineers"
"Journal of Legal Affairs and Dispute Resolution in Engineering and Construction","1943-4162","1943-4170",2009-01-01,1,1,,,,"http://link.aip.org/link/?JLADAH",,"","","full text","new journal on Scitation from January 15, 2009","American Society of Civil Engineers"
"Journal of Management in Engineering","9742-597X","",1985-01-01,1,1,1994-01-01,10,6,"http://link.aip.org/link/?JMENEA",,"","","full text","Backfile content (1985-1989) added","American Society of Civil Engineers"
