publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Asian Journal of Comparative Law","","1932-0205",2006-01-01,,,,,,"http://www.degruyter.com/loi/asjcl",,"","","full text","","De Gruyter"
"Asia-Pacific Journal of Risk and Insurance","","2153-3792",2005-01-01,,,,,,"http://www.degruyter.com/loi/apjri",,"","","full text","","De Gruyter"
"The B.E. Journal of Economic Analysis & Policy","","1555-0494",2002-01-01,,,,,,"http://www.degruyter.com/loi/bejeap",,"","","full text","","De Gruyter"
"The B.E. Journal of Macroeconomics","","1555-0486",2001-01-01,,,,,,"http://www.degruyter.com/loi/bejm",,"","","full text","","De Gruyter"
"The B.E. Journal of Theoretical Economics","","1555-0478",2001-01-01,,,,,,"http://www.degruyter.com/loi/bejte",,"","","full text","","De Gruyter"
"Basic Income Studies","","1932-0183",2006-01-01,,,,,,"http://www.degruyter.com/loi/bis ",,"","","full text","","De Gruyter"
"Business and Politics","","1469-3569",2000-01-01,,,,,,"http://www.degruyter.com/loi/bap",,"","","full text","","De Gruyter"
"California Journal of Politics and Policy","","1944-4370",2009-01-01,,,,,,"http://www.degruyter.com/loi/cjpp ",,"","","full text","","De Gruyter"
"Capitalism and Society","","1932-0213",2006-01-01,,,,,,"http://www.degruyter.com/loi/cas",,"","","full text","","De Gruyter"
"Chemical Product and Process Modeling","","1934-2659",2006-01-01,,,,,,"http://www.degruyter.com/loi/cppm",,"","","full text","","De Gruyter"
"The Economists' Voice","","1553-3832",2004-01-01,,,,,,"http://www.degruyter.com/loi/ev",,"","","full text","","De Gruyter"
"The Forum","","1540-8884",2002-01-01,,,,,,"http://www.degruyter.com/loi/for",,"","","full text","","De Gruyter"
"Forum for Health Economics & Policy","","1558-9544",1998-01-01,,,,,,"http://www.degruyter.com/loi/fhep",,"","","full text","","De Gruyter"
"Global Economy Journal","","1524-5861",2000-01-01,,,,,,"http://www.degruyter.com/loi/gej",,"","","full text","","De Gruyter"
"Global Jurist","","1934-2640",2001-01-01,,,,,,"http://www.degruyter.com/loi/gj",,"","","full text","","De Gruyter"
"International Commentary on Evidence","","1554-4567",2003-01-01,,,,,,"http://www.degruyter.com/loi/ice",,"","","full text","","De Gruyter"
"International Journal of Biostatistics","","1557-4679",2005-01-01,,,,,,"http://www.degruyter.com/loi/ijb",,"","","full text","","De Gruyter"
"International Journal of Chemical Reactor Engineering","","1542-6580",2003-01-01,,,,,,"http://www.degruyter.com/loi/ijcre",,"","","full text","","De Gruyter"
"International Journal of Emerging Electric Power Systems","","1553-779X",2004-01-01,,,,,,"http://www.degruyter.com/loi/ijeeps",,"","","full text","","De Gruyter"
"International Journal of Food Engineering","","1556-3758",2005-01-01,,,,,,"http://www.degruyter.com/loi/ijfe",,"","","full text","","De Gruyter"
"International Journal of Nursing Education Scholarship","","1548-923X",2004-01-01,,,,,,"http://www.degruyter.com/loi/ijnes",,"","","full text","","De Gruyter"
"Issues in Legal Scholarship","","1539-8323",2001-01-01,,,,,,"http://www.degruyter.com/loi/ils",,"","","full text","","De Gruyter"
"Journal About Women in Higher Education","","1940-7882",2010-01-01,,,,,,"http://www.degruyter.com/loi/njawhe",,"","","full text","","De Gruyter"
"Journal des Economistes et des Etudes Humaines","","1145-6396",1996-01-01,,,,,,"http://www.degruyter.com/loi/jeeh",,"","","full text","","De Gruyter"
"Journal of Agricultural & Food Industrial Organization","","1542-0485",2003-01-01,,,,,,"http://www.degruyter.com/loi/jafio",,"","","full text","","De Gruyter"
"Journal of Business Valuation and Economic Loss Analysis","","1932-9156",2006-01-01,,,,,,"http://www.degruyter.com/loi/jbvela",,"","","full text","","De Gruyter"
"Journal of College and Character","","1940-1639",2010-01-01,,,,,,"http://www.degruyter.com/loi/jcc",,"","","full text","","De Gruyter"
"Journal of Complementary and Integrative Medicine","","1553-3840",2004-01-01,,,,,,"http://www.degruyter.com/loi/jcim",,"","","full text","","De Gruyter"
"Journal of Drug Policy Analysis","","1941-2851",2008-01-01,,,,,,"http://www.degruyter.com/loi/jdpa",,"","","full text","","De Gruyter"
"Journal of Globalization and Development ","","1948-1837",2009-01-01,,,,,,"http://www.degruyter.com/loi/jgd",,"","","full text","","De Gruyter"
"Journal of Homeland Security and Emergency Management","","1547-7355",2003-01-01,,,,,,"http://www.degruyter.com/loi/jhsem",,"","","full text","","De Gruyter"
"Journal of Imagery Research in Sport and Physical Activity","","1932-0191",2006-01-01,,,,,,"http://www.degruyter.com/loi/jirspa",,"","","full text","","De Gruyter"
"Journal of Quantitative Analysis in Sports","","1559-0410",2005-01-01,,,,,,"http://www.degruyter.com/loi/jqas",,"","","full text","","De Gruyter"
"Journal of Student Affairs Research and Practice","","1949-6591",2010-01-01,,,,,,"http://www.degruyter.com/loi/jsarp",,"","","full text","","De Gruyter"
"Journal of Time Series Econometrics","","1941-1928",2009-01-01,,,,,,"http://www.degruyter.com/loi/jtse",,"","","full text","","De Gruyter"
"Journal of Tort Law","","1932-9148",2006-01-01,,,,,,"http://www.degruyter.com/loi/jtl",,"","","full text","","De Gruyter"
"The Law & Ethics of Human Rights","","1938-2545",2007-01-01,,,,,,"http://www.degruyter.com/loi/lehr",,"","","full text","","De Gruyter"
"Law and Development Review","","1943-3867",2008-01-01,,,,,,"http://www.degruyter.com/loi/ldr",,"","","full text","","De Gruyter"
"Muslim World Journal of Human Rights","","1554-4419",2004-01-01,,,,,,"http://www.degruyter.com/loi/mwjhr",,"","","full text","","De Gruyter"
"New Global Studies","","1940-0004",2007-01-01,,,,,,"http://www.degruyter.com/loi/ngs",,"","","full text","","De Gruyter"
"Peace Economics, Peace Science and Public Policy","","1554-8597",1999-01-01,,,,,,"http://www.degruyter.com/loi/peps",,"","","full text","","De Gruyter"
"Policy and Internet","","1944-2866",2009-01-01,,,,,,"http://www.degruyter.com/loi/pi",,"","","full text","","De Gruyter"
"Poverty and Public Policy","","1944-2858",2009-01-01,,,,,,"http://www.degruyter.com/loi/ppp",,"","","full text","","De Gruyter"
"Review of Law & Economics","","1555-5879",2005-01-01,,,,,,"http://www.degruyter.com/loi/rle",,"","","full text","","De Gruyter"
"Review of Marketing Science","","1546-5616",2003-01-01,,,,,,"http://www.degruyter.com/loi/roms",,"","","full text","","De Gruyter"
"Review of Middle East Economics and Finance","","1475-3693",2003-01-01,,,,,,"http://www.degruyter.com/loi/rmeef",,"","","full text","","De Gruyter"
"Review of Network Economics","","1446-9022",2002-01-01,,,,,,"http://www.degruyter.com/loi/rne",,"","","full text","","De Gruyter"
"Rhodes Cook Letter","","1558-4291",2000-01-01,,,,,,"http://www.degruyter.com/loi/rcl",,"","","full text","","De Gruyter"
"Risk, Hazards & Crisis in Public Policy","","1944-4079",2009-01-01,,,,,,"http://www.degruyter.com/loi/rhcpp",,"","","full text","","De Gruyter"
"Statistical Applications in Genetics and Molecular Biology","","1544-6115",2002-01-01,,,,,,"http://www.degruyter.com/loi/sagmb",,"","","full text","","De Gruyter"
"Statistical Communications in Infectious Diseases","","1948-4690",2009-01-01,,,,,,"http://www.degruyter.com/loi/scid",,"","","full text","","De Gruyter"
"Studies in Ethics, Law, and Technology","","1941-6008",2007-01-01,,,,,,"http://www.degruyter.com/loi/selt",,"","","full text","","De Gruyter"
"Studies in Nonlinear Dynamics & Econometrics","","1558-3708",1996-01-01,,,,,,"http://www.degruyter.com/loi/snde",,"","","full text","","De Gruyter"
"Theoretical Inquiries in Law","","1565-3404",2000-01-01,,,,,,"http://www.degruyter.com/loi/til",,"","","full text","","De Gruyter"
"World Medical and Health Policy","","1948-4682",2009-01-01,,,,,,"http://www.degruyter.com/loi/wmhp",,"","","full text","","De Gruyter"
"World Political Science Review","","1935-6226",2005-01-01,,,,,,"http://www.degruyter.com/loi/wpsr",,"","","full text","","De Gruyter"
