publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"AMB Express","","2191-0855",2011-01-01,,,,,,"http://www.amb-express.com",,"","","fulltext","OA","Springer Berlin Heidelberg"
"Annals of Intensive Care","","2110-5820",2011-01-01,,,,,,"http://www.annalsofintensivecare.com",,"","","fulltext","OA","Springer Paris"
"Chemistry Central Journal","","1752-153X",2007-01-01,,,,,,"http://journal.chemistrycentral.com/",,"","","fulltext","OA","Chemistry Central"
"EJNMMI Research","","2191-219X",2011-01-01,,,,,,"http://www.ejnmmires.com",,"","","fulltext","OA","Springer Berlin Heidelberg"
"EURASIP Journal on Bioinformatics and Systems Biology","","1687-4153",2011-01-01,,,,,,"http://bsb.eurasipjournals.com",,"","","fulltext","OA","Springer International Publishing, CH"
"Geochemical Transactions","","1467-4866",2000-01-01,,,,,,"http://www.geochemicaltransactions.com",,"","","fulltext","OA","Chemistry Central"
"International Aquatic Research","","2008-6970",2011-01-01,,,,,,"http://www.intaquares.com",,"","","fulltext","OA","Springer Berlin Heidelberg"
"International Journal of Emergency Medicine","","1865-1380",2011-01-01,,,,,,"http://www.intjem.com",,"","","fulltext","OA","Springer London"
"Journal of Cheminformatics","","1758-2946",2009-01-01,,,,,,"http://www.jcheminf.com",,"","","fulltext","OA","Chemistry Central"
"Journal of Systems Chemistry","","1759-2208",2010-01-01,,,,,,"http://www.jsystchem.com",,"","","fulltext","OA","Chemistry Central"
"Optical Nanoscopy","","2192-2853",2011-01-01,,,,,,"http://www.optnano.com",,"","","fulltext","OA","Springer Berlin Heidelberg"
"SpringerPlus","","2193-1801",2011-01-01,,,,,,"http://www.springerplus.com",,"","","fulltext","OA","Springer International Publishing, CH"
"The Journal of Mathematical Neuroscience","","2190-8567",2010-01-01,,,,,,"http://www.mathematical-neuroscience.com",,"","","fulltext","OA","Springer Berlin Heidelberg"
"Journal of Biomedical Science ","1021-7770","1423-0127",2009-01-01,,,,,,"http://www.jbiomedsci.com",,"","","fulltext","OA","S. Karger AG"
"Environmental Sciences Europe","","2190-4715",2011-01-01,,,,,,"http://www.enveurope.com",,"","","fulltext","OA","Springer Berlin Heidelberg"
"Rice","","1939-8433",2011-01-01,,,,,,"http://www.thericejournal.com",,"","","fulltext","OA","Springer New York"
"The EPMA Journal","","1878-5085",2012-01-01,,,,,,"http://www.epmajournal.com",,"","","fulltext","OA","Springer Netherlands"
"The HUGO Journal","","1877-6566",2011-01-01,,,,,,"http://www.thehugojournal.com",,"","","fulltext","OA","Springer Netherlands"
"Critical Ultrasound Journal","","2036-7902",2011-01-01,,,,,,"http://www.criticalultrasoundjournal.com",,"","","fulltext","OA","Springer Milan"
"Alzheimer's Research & Therapy","","1758-9193",2009-01-01,,,,,,"http://alzres.com",,"","BMC subscription-based content has an embargo period of 12 months and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Arthritis Research & Therapy","","1478-6354",1999-01-01,,,,,,"http://arthritis-research.com/",,"","BMC subscription-based content has an embargo period of 12 months and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Breast Cancer Research","","1465-5411",1999-01-01,,,,,,"http://breast-cancer-research.com/",,"","BMC subscription-based content has an embargo period of 12 months and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Critical Care","","1364-8535",1997-01-01,,,,,,"http://ccforum.com/",,"","BMC subscription-based content has an embargo period of 6 months for Critical Care and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Genome Biology","","1465-6906",2000-01-01,,,,,,"http://genomebiology.com",,"","BMC subscription-based content has an embargo period of 12 months and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Genome Medicine","","1756-994X",2009-01-01,,,,,,"http://genomemedicine.com",,"","BMC subscription-based content has an embargo period of 12 months and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Stem Cell Research & Therapy","","1757-6512",2010-01-01,,,,,,"http://stemcellres.com",,"","BMC subscription-based content has an embargo period of 12 months and is freely available thereafter.","fulltext","","BioMed Central Ltd"
"Biology Image Library","","1748-8141",,,,,,,"http://www.biologyimagelibrary.com/",,"","","fulltext","","BioMed Central Ltd"
"AIDS Research and Therapy","","1742-6405",2004-01-01,,,,,,"http://www.aidsrestherapy.com",,"","","fulltext","OA","BioMed Central Ltd"
"Acta Veterinaria Scandinavica","","1751-0147",2006-01-01,,,,,,"http://www.actavetscand.com",,"","","fulltext","OA","BioMed Central Ltd"
"Addiction Science & Clinical Practice","","1940-0640",2011-01-01,,,,,,"http://www.ascpjournal.org",,"","","fulltext","OA","BioMed Central Ltd"
"Agriculture & Food Security","","2048-7010",2012-01-01,,,,,,"http://www.agricultureandfoodsecurity.com",,"","","fulltext","OA","BioMed Central Ltd"
"Algorithms for Molecular Biology","","1748-7188",2006-01-01,,,,,,"http://www.almob.org",,"","","fulltext","OA","BioMed Central Ltd"
"Allergy, Asthma & Clinical Immunology","","1710-1492",2009-01-01,,,,,,"http://www.aacijournal.com",,"","","fulltext","OA","BioMed Central Ltd"
"Annals of Clinical Microbiology and Antimicrobials","","1476-0711",2002-01-01,,,,,,"http://www.ann-clinmicrob.com",,"","","fulltext","OA","BioMed Central Ltd"
"Annals of General Psychiatry","","1744-859X",2002-01-01,,,,,,"http://www.annals-general-psychiatry.com",,"","","fulltext","OA","BioMed Central Ltd"
"Annals of Surgical Innovation and Research","","1750-1164",2007-01-01,,,,,,"http://www.asir-journal.com",,"","","fulltext","OA","BioMed Central Ltd"
"Antimicrobial Resistance and Infection Control","","2047-2994",2011-01-01,,,,,,"http://www.aricjournal.com",,"","","fulltext","OA","BioMed Central Ltd"
"Aquatic Biosystems","","2046-9063",2005-01-01,,,,,,"http://www.aquaticbiosystems.org",,"","","fulltext","OA","BioMed Central Ltd"
"Archives of Public Health","","0778-7367",1997-01-01,,,,,,"http://www.archpublichealth.com",,"","","fulltext","OA","BioMed Central Ltd"
"Asia Pacific Family Medicine","","1447-056X",2002-01-01,,,,,,"http://www.apfmj.com",,"","","fulltext","OA","BioMed Central Ltd"
"Australia and New Zealand Health Policy","","1743-8462",2004-01-01,,,,,,"http://www.anzhealthpolicy.com",,"","","fulltext","OA","BioMed Central Ltd"
"Automated Experimentation","","1759-4499",2009-01-01,,,,,,"http://www.aejournal.net",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Anesthesiology","","1471-2253",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcanesthesiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Biochemistry","","1471-2091",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcbiochem/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Bioinformatics","","1471-2105",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcbioinformatics/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Biology","","1741-7007",2003-01-01,,,,,,"http://www.biomedcentral.com/bmcbiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Biophysics","","2046-1682",2011-01-01,,,,,,"http://www.biomedcentral.com/bmcbiophys",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Biotechnology","","1472-6750",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcbiotechnol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Blood Disorders","","1471-2326",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcblooddisord/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Cancer","","1471-2407",2001-01-01,,,,,,"http://www.biomedcentral.com/bmccancer/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Cardiovascular Disorders","","1471-2261",2001-01-01,,,,,,"http://www.biomedcentral.com/bmccardiovascdisord/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Cell Biology","","1471-2121",2000-01-01,,,,,,"http://www.biomedcentral.com/bmccellbiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Chemical Biology","","1472-6769",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcchembiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Clinical Pathology","","1472-6890",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcclinpathol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Complementary and Alternative Medicine","","1472-6882",2001-01-01,,,,,,"http://www.biomedcentral.com/bmccomplementalternmed/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Dermatology","","1471-5945",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcdermatol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Developmental Biology","","1471-213X",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcdevbiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Ear, Nose and Throat Disorders","","1472-6815",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcearnosethroatdisord/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Ecology","","1472-6785",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcecol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Emergency Medicine","","1471-227X",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcemergmed/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Endocrine Disorders","","1472-6823",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcendocrdisord/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Evolutionary Biology","","1471-2148",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcevolbiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Family Practice","","1471-2296",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcfampract/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Gastroenterology","","1471-230X",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcgastroenterol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Genetics","","1471-2156",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcgenet/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Genomics","","1471-2164",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcgenomics/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Geriatrics","","1471-2318",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcgeriatr/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Health Services Research","","1472-6963",2001-01-01,,,,,,"http://www.biomedcentral.com/bmchealthservres/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Immunology","","1471-2172",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcimmunol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Infectious Diseases","","1471-2334",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcinfectdis/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC International Health and Human Rights","","1472-698X",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcinthealthhumrights/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Education","","1472-6920",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcmededuc/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Ethics","","1472-6939",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcmedethics/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Genetics","","1471-2350",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcmedgenet/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Genomics","","1755-8794",2008-01-01,,,,,,"http://www.biomedcentral.com/bmcmedgenomics/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Imaging","","1471-2342",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcmedimaging/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Informatics and Decision Making","","1472-6947",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcmedinformdecismak/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Physics","","1756-6649",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcmedphys/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medical Research Methodology","","1471-2288",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcmedresmethodol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Medicine","","1741-7015",2003-01-01,,,,,,"http://www.biomedcentral.com/bmcmed/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Microbiology","","1471-2180",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcmicrobiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Molecular Biology","","1471-2199",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcmolbiol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Musculoskeletal Disorders","","1471-2474",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcmusculoskeletdisord/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Nephrology","","1471-2369",2000-01-01,,,,,,"http://www.biomedcentral.com/bmcnephrol/",,"","","fulltext","OA","BioMed Central Ltd"
"BMC Neurology","","1471-2377",2001-01-01,,,,,,"http://www.biomedcentral.com/bmcneurol/",,"","","fulltext","OA","BioMed Central Ltd"
