publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Acta Chiropterologica","1508-1109","1733-5329",2005-06-01,7,1,,,,"http://www.bioone.org/loi/acta",,"","","Full text","","Museum and Institute of Zoology, Polish Academy of Sciences"
"Acta Ornithologica","0001-6454","",2008-06-01,43,1,,,,"http://www.bioone.org/loi/aorn",,"","","Full text","","Museum and Institute of Zoology, Polish Academy of Sciences"
"Acta Palaeontologica Polonica","0567-7920","",2008-01-01,53,1,,,,"http://www.bioone.org/loi/acpp",,"","","Full text","OA","Institute of Paleobiology, Polish Academy of Sciences"
"Adansonia","1280-8571","1639-4798",2009-06-01,31,1,,,,"http://www.bioone.org/loi/adan",,"","","Full text","","Muséum national d'Histoire naturelle, Paris"
"African Entomology","1021-3589","1021-3589",2007-03-01,15,1,,,,"http://www.bioone.org/loi/afen",,"","","Full text","","Entomological Society of Southern Africa"
"African Zoology","1562-7020","",2006-04-01,41,1,,,,"http://www.bioone.org/loi/afzo",,"","","Full text","","Zoological Society of Southern Africa"
"AMBIO:  A Journal of the Human Environment","0044-7447","",2000-02-01,29,1,2011-12-01,40,,"http://www.bioone.org/loi/ambi",,"","","Full text","","Royal Swedish Academy of Sciences"
"American Fern Journal","0002-8444","1938-422X",2001-01-01,91,1,,,,"http://www.bioone.org/loi/amfj",,"","","Full text","","The American Fern Society"
"American Malacological Bulletin","0740-2783","0740-2783",2007-03-01,22,1,,,,"http://www.bioone.org/loi/malb",,"","","Full text","","American Malacological Society"
"American Museum Novitates","0003-0082","",2000-02-01,,3286,,,,"http://www.bioone.org/loi/novi",,"","","Full text","","American Museum of Natural History"
"Annales Zoologici","0003-4541","",2008-03-01,58,1,,,,"http://www.bioone.org/loi/annz",,"","","Full text","","Museum and Institute of Zoology, Polish Academy of Sciences"
"Annals of Carnegie Museum","0097-4463","",2005-03-01,74,1,,,,"http://www.bioone.org/loi/cara",,"","","Full text","","Carnegie Museum of Natural History"
"Annals of the Entomological Society of America","0013-8746","",2000-01-01,93,1,,,,"http://www.bioone.org/loi/esaa",,"","","Full text","","Entomological Society of America"
"Annals of the Missouri Botanical Garden","0026-6493","",2006-05-31,93,1,,,,"http://www.bioone.org/loi/mobt",,"","","Full text","","Missouri Botanical Garden"
"Anthropozoologica","0761-3032","",2009-07-01,44,1,,,,"http://www.bioone.org/loi/anth",,"","","Full text","","Muséum national d'Histoire naturelle, Paris"
"Applied Vegetation Science","1402-2001","1654-109X",2002-05-01,5,1,2008-12-31,11,,"http://www.bioone.org/loi/apve",,"10.1111/(ISSN)1654-109X","","Full text","","International Association of Vegetation Science"
"Arctic, Antarctic, and Alpine Research","1523-0430","1938-4246",2003-02-01,35,1,,,,"http://www.bioone.org/loi/aare",,"","","Full text","","Institute of Arctic and Alpine Research (INSTAAR), University of Colorado"
"Ardea","0373-2266","",2007-06-01,95,1,,,,"http://www.bioone.org/loi/arde",,"","","Full text","","Netherlands Ornithologists' Union"
"Avian Diseases","0005-2086","1938-4351",2002-01-01,46,1,,,,"http://www.bioone.org/loi/avdi",,"","","Full text","","American Association of Avian Pathologists"
"Avian Diseases Digest","","1933-5334",2006-12-01,1,1,2012-12-31,7,,"http://www.bioone.org/loi/addi",,"","","Full text","","American Association of Avian Pathologists"
"Biology of Reproduction","0006-3363","",2000-01-01,62,1,,,,"http://www.bioone.org/loi/bire",,"","","Full text","","Society for the Study of Reproduction"
"BIOS","0005-3155","",2004-03-01,75,1,,,,"http://www.bioone.org/loi/bios",,"","","Full text","","Beta Beta Beta Biological Society"
"BioScience","0006-3568","",2000-01-01,50,1,,,,"http://www.bioone.org/loi/bisi",,"","","Full text","","American Institute of Biological Sciences"
"Biotropica","0006-3606","1744-7429",2000-03-01,32,1,2004-12-31,36,,"http://www.bioone.org/loi/bitr",,"10.1111/(ISSN)1744-7429","","Full text","","The Association for Tropical Biology & Conservation"
"Breviora","0006-9698","",2004-01-01,,512,,,,"http://www.bioone.org/loi/brvo",,"","","Full text","","Museum of Comparative Zoology, Harvard University"
"Brittonia","0007-196X","1938-436X",2002-01-01,54,1,2007-12-01,59,,"http://www.bioone.org/loi/brit",,"","","Full text","","The New York Botanical Garden"
"Bulletin of Carnegie Museum of Natural History","0145-9058","",2004-02-01,,,,,,"http://www.bioone.org/loi/carb",,"","","Full text","","Carnegie Museum of Natural History"
"Bulletin of the American Museum of Natural History","0003-0090","",2000-01-01,,,,,,"http://www.bioone.org/loi/amnb",,"","","Full text","","American Museum of Natural History"
"Bulletin of the Biological Society of Washington","0097-0298","",2005-12-01,13,1,,,,"http://www.bioone.org/loi/bswa",,"","","Full text","","Biological Society of Washington"
"Bulletin of the Museum of Comparative Zoology","0027-4100","",2003-09-02,158,1,,,,"http://www.bioone.org/loi/harv",,"","","Full text","","Museum of Comparative Zoology, Harvard University"
"Bulletin of the Peabody Museum of Natural History","0079-032X","",2006-10-01,47,1,,,,"http://www.bioone.org/loi/pbmb",,"","","Full text","","Peabody Museum of Natural History at Yale University"
"Bulletin, Southern California Academy of Sciences","0038-3872","",2005-04-01,104,1,,,,"http://www.bioone.org/loi/soca",,"","","Full text","","Southern California Academy of Science"
"Cactus and Succulent Journal","0007-9367","",2005-01-01,77,1,,,,"http://www.bioone.org/loi/casu",,"","","Full text","","Cactus and Succulent Society of America"
"Castanea","0008-7475","1938-4386",2002-12-01,68,,,,,"http://www.bioone.org/loi/cast",,"","","Full text","","Southern Appalachian Botanical Society"
"Cell Stress & Chaperones","1355-8145","1466-1268",2000-01-01,5,1,2007-12-01,12,,"http://www.bioone.org/loi/cest",,"","","Full text","","Cell Stress Society International"
"Chelonian Conservation and Biology","1071-8443","",2006-05-01,5,1,,,,"http://www.bioone.org/loi/ccab",,"","","Full text","","Chelonian Research Foundation"
"Comparative Parasitology","1525-2647","",2002-01-01,69,1,,,,"http://www.bioone.org/loi/copa",,"","","Full text","","The Helminthological Society of Washington"
"Copeia","0045-8511","1938-5110",2000-01-01,2000,1,,,,"http://www.bioone.org/loi/cope",,"","","Full text","","The American Society of Ichthyologists and Herpetologists"
"Current Herpetology","1345-5834","1881-1019",2005-06-01,24,1,,,,"http://www.bioone.org/loi/jche",,"","","Full text","","The Herpetological Society of Japan"
"Economic Botany","0013-0001","",2002-01-01,56,1,2007-12-31,61,,"http://www.bioone.org/loi/ebot",,"","","Full text","","The New York Botanical Garden"
"Ecoscience","1195-6860","",2005-03-01,12,1,,,,"http://www.bioone.org/loi/ecos",,"","","Full text","","Centre d'etudes nordique, Universite Laval"
"Edentata","1413-4411","",2004-12-01,6,,,,,"http://www.bioone.org/loi/eden",,"","","Full text","OA","IUCN/SSC Anteater, Sloth and Armadillo Specialist Group"
"Entomologica Americana","1947-5136","1947-5144",2000-06-01,108,01-Feb,,,,"http://www.bioone.org/loi/nynt.1",,"","","Full text","","The New York Entomological Society"
"Entomological News","0013-872X","",2006-01-01,117,1,,,,"http://www.bioone.org/loi/entn",,"","","Full text","","The American Entomological Society"
"Environmental Entomology","0046-225X","",2000-02-01,29,1,,,,"http://www.bioone.org/loi/enve",,"","","Full text","","Entomological Society of America"
"Evansia","0747-9859","",2007-03-01,24,1,,,,"http://www.bioone.org/loi/evia",,"","","Full text","","The American Bryological and Lichenological Society, Inc."
"Evolution","0014-3820","1558-5646",2000-01-01,54,1,2009-01-01,63,,"http://www.bioone.org/loi/evol",,"10.1111/(ISSN)1558-5646","","Full text","","The Society for the Study of Evolution"
"Fieldiana Anthropology","0071-4739","",2006-04-01,38,,,,,"http://www.bioone.org/loi/fant",,"","","Full text","","Field Museum of Natural History"
"Fieldiana Botany","0015-0746","",2004-11-01,,44,2010-12-01,,49,"http://www.bioone.org/loi/fbot",,"","","Full text","","Field Museum of Natural History"
"Fieldiana Geology","0096-2651","",2004-07-01,,50,2010-12-01,,52,"http://www.bioone.org/loi/fgeo",,"","","Full text","","Field Museum of Natural History"
"Fieldiana Life and Earth Sciences","2158-5520","2163-7105",2010-12-27,,1,,,,"http://www.bioone.org/loi/flae",,"","","Full text","","Field Museum of Natural History"
"Fieldiana Zoology","0015-0754","",2005-03-01,,104,2009-12-01,,116,"http://www.bioone.org/loi/fzoo",,"","","Full text","","Field Museum of Natural History"
"Florida Entomologist","0015-4040","1938-5102",2002-03-01,85,1,,,,"http://www.bioone.org/loi/flen",,"","","Full text","OA","Florida Entomological Society"
"Freshwater Reviews","1755-084X","",2008-03-01,1,1,,,,"http://www.bioone.org/loi/frer",,"","","Full text","","Freshwater Biological Association"
"Geodiversitas","1280-9659","1638-9395",2009-03-01,31,1,,,,"http://www.bioone.org/loi/geod",,"","","Full text","","Muséum national d'Histoire naturelle, Paris"
"Harvard Papers in Botany","1043-4534","",2005-11-01,10,1,,,,"http://www.bioone.org/loi/hpib",,"","","Full text","","Harvard University Herbaria"
"Haseltonia","1070-0048","",2005-12-01,,11,,,,"http://www.bioone.org/loi/hase",,"","","Full text","","Cactus and Succulent Society of America"
"Herpetologica","0018-0831","1938-5099",2002-03-01,58,1,,,,"http://www.bioone.org/loi/herp",,"","","Full text","","The Herpetologists' League"
"Herpetological Monographs","0733-1347","1938-5137",2002-08-01,16,1,,,,"http://www.bioone.org/loi/hmon",,"","","Full text","","The Herpetologists' League"
"Human Biology","0018-7143","1534-6617",2006-02-01,78,1,,,,"http://www.bioone.org/loi/hbio",,"","","Full text","","Wayne State University Press"
"In Vitro Cellular & Developmental Biology - Animal","1071-2690","1543-706X",2000-01-01,36,1,2008-12-01,44,,"http://www.bioone.org/loi/inva",,"","","Full text","","Society for In Vitro Biology"
"In Vitro Cellular and Developmental Biology - Plant","1054-5476","",2003-09-01,39,5,2008-12-01,44,,"http://www.bioone.org/loi/invp",,"","","Full text","","Society for In Vitro Biology"
"Integrated Environmental Assessment and Management","1551-3777","1551-3793",2005-01-01,1,1,2009-12-01,5,,"http://www.bioone.org/loi/ieam",,"10.1002/(ISSN)1551-3793","","Full text","","Society of Environmental Toxicology and Chemistry"
"Integrative and Comparative Biology","1540-7063","",2000-02-01,40,1,2005-12-01,45,,"http://www.bioone.org/loi/icbi",,"","","Full text","","The Society for Integrative and Comparative Biology"
"International Forestry Review","1465-5489","",2004-03-01,6,1,,,,"http://www.bioone.org/loi/ifre",,"","","Full text","","Commonwealth Forestry Association"
"Invasive Plant Science and Management","1939-7291","1939-747X",2008-01-01,1,1,,,,"http://www.bioone.org/loi/ipsm",,"","","Full text","","Weed Science Society of America"
"Journal of Agricultural and Urban Entomology ","1523-5475","",2007-01-01,24,1,,,,"http://www.bioone.org/loi/jaue",,"","","Full text","","South Carolina Entomological Society"
"Journal of Arachnology","0161-8202","1937-2396",2000-06-01,28,1,,,,"http://www.bioone.org/loi/arac",,"","","Full text","","American Arachnological Society"
"Journal of Avian Medicine and Surgery","1082-6742","",2000-03-01,14,1,,,,"http://www.bioone.org/loi/avms",,"","","Full text","","Association of Avian Veterinarians"
"Journal of Coastal Conservation","1400-0350","",2002-06-01,8,1,2004-12-01,10,,"http://www.bioone.org/loi/coac",,"","","Full text","","Coastal & Marine Union (EUCC)"
"Journal of Coastal Research","0749-0208","1551-5036",2004-01-01,20,,,,,"http://www.bioone.org/loi/coas",,"","","Full text","","Coastal Education and Research Foundation"
"Journal of Crustacean Biology","0278-0372","1937-240X",2000-02-01,20,1,2012-12-31,32,,"http://www.bioone.org/loi/crus",,"","","Full text","Ceased in 2012. All issues previously hosted on BioOne from inactive titles will remain accessible to subscribers in perpetuity.","The Crustacean Society"
"Journal of East African Natural History","0012-8317","",1994-01-01,83,1,,,,"http://www.bioone.org/loi/eanh",,"","","Full text","","Nature Kenya/East African Natural History Society"
"Journal of Economic Entomology","0022-0493","",2000-02-01,93,1,,,,"http://www.bioone.org/loi/ecen",,"","","Full text","","Entomological Society of America"
"Journal of Ethnobiology","0278-0771","",2005-03-01,25,1,,,,"http://www.bioone.org/loi/etbi",,"","","Full text","","Society of Ethnobiology"
"Journal of Field Ornithology","0273-8570","1557-9263",2000-01-01,71,1,2005-12-01,76,,"http://www.bioone.org/loi/forn",,"10.1111/(ISSN)1557-9263","","Full text","","Association of Field Ornithologists"
