publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Annals of the Rheumatic Diseases","0003-4967","1468-2060",1939-01-01,1,1,,,,"http://ard.bmj.com/",,"","","fulltext","","BMJ/EULAR"
"Archives of Disease in Childhood","0003-9888","1468-2044",1926-01-01,1,1,,,,"http://adc.bmj.com/",,"","","fulltext","Including Fetal and Neonatal Edition plus Education in Practice","BMJ/Royal College of Paediatrics and Child Health"
"ADC Fetal & Neonatal edition","1359-2998","1468-2052",1994-01-01,70,1,,,,"http://adc.bmj.com/",,"","","fulltext","","BMJ"
"ADC Education & Practice edition","1743-0585","1743-0593",2004-06-01,89,1,,,,"http://adc.bmj.com/",,"","","fulltext","","BMJ"
"Practical Neurology","1474-7758","1474-7766",2001-10-01,1,1,,,,"http://pn.bmj.com",,"","","fulltext","","BMJ"
"British Journal of Ophthalmology","0007-1161","1468-2079",1917-01-01,1,1,,,,"http://bjo.bmj.com/",,"","","fulltext","","BMJ"
"British Journal of Sports Medicine","0306-3674","1473-0480",1964-01-01,1,1,,,,"http://bjsm.bmj.com/",,"","","fulltext","Includes 4 Injury Prevention and Health Protection issues","BMJ/British Assoc of Sports and Exercise Medicine"
"Emergency Medicine Journal ","1472-0205","1472-0213",1984-03-01,1,1,,,,"http://emj.bmj.com/",,"","","fulltext","","BMJ/College of Emergency Medicine"
"Evidence-Based Mental Health","1362-0347","",1998-02-01,1,1,,,,"http://ebmh.bmj.com/",,"","","fulltext","","BMJ/ RCPsych/British Psychological Society"
"Evidence-Based Medicine","1356-5524","1473-6810",1995-12-01,1,1,,,,"http://ebm.bmj.com/",,"","","fulltext","","BMJ"
"Evidence-Based Nursing ","1367-6539","1468-9618",1998-01-01,1,1,,,,"http://ebn.bmj.com/",,"","","fulltext","","BMJ/RCN Publishing Group"
"Gut","0017-5749","1468-3288",1960-03-01,1,1,,,,"http://gut.bmj.com/",,"","","fulltext","Including Frontline Gastroenterology","BMJ/British Society of Gastroenterology"
"Heart","1355-6037","1468-201X",1939-01-01,1,1,,,,"http://heart.bmj.com/",,"","","fulltext","","BMJ/British Cardiovascular Society"
"Injury Prevention","1353-8047","1475-5785",1995-03-01,1,1,,,,"http://ip.bmj.com/",,"","","fulltext","","BMJ"
"Journal of Clinical Pathology","0021-9746","1472-4146",1947-11-01,1,1,,,,"http://jcp.bmj.com/",,"","","fulltext","Including Molecular Pathology","BMJ/ACP"
"Journal of Epidemiology and Community Health","0143-005X","1470-2738",1947-01-01,1,1,,,,"http://jech.bmj.com/",,"","","fulltext","","BMJ"
