publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"African Diaspora","1872-5457","1872-5465",2008-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18725465",,"","","full text","OA","Brill"
"Fascism ","2211-6249","2211-6257",2012-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22116257",,"","","full text","OA","Brill"
"The International Journal of the Platonic Tradition ","1872-5082","1872-5473",2007-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18725473",,"","","full text","OA","Brill"
"Journal of Crustacean Biology","0278-0372","1937-240X",1983-01-01,3,3,,,,"http://booksandjournals.brillonline.com/content/1937240x",,"","","full text","until 2013 in BioOne (part of NESLI2 2012 deal). All issues previously hosted on BioOne from inactive titles will remain accessible to subscribers in perpetuity","The Crustacean Society"
"Journal of Chinese Overseas","1793-0391","1793-2548",2005-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/17932548",,"","","full text","","NUS Press Pte Ltd"
"African and Asian Studies","1569-2094","1569-2108",2002-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15692108",,"","","full text","formerly Journal of Asian and African Studies","Brill"
"African Journal of Legal Studies ","2210-9730","1708-7384",2004-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/17087384",,"","","full text","","Brill"
"Amphibia-Reptilia ","0173-5373","1568-5381",1980-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685381",,"","","full text","","Brill"
"Ancient Civilizations from Scythia to Siberia","0929-077X","1570-0577",1995-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700577",,"","","full text","","Brill"
"Animal Biology","1570-7555","1570-7563",2003-01-01,53,1,,,,"http://booksandjournals.brillonline.com/content/15707563",,"","","full text","","Brill"
"Arab Law Quarterly","0268-0556","1573-0255",1985-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15730255",,"","","full text","","Brill"
"Arabica","0570-5398","1570-0585",1954-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700585",,"","","full text","","Brill"
"Aramaic Studies","1477-8351","1745-5227",2003-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/17455227",,"","","full text","","Brill"
"Archive for the Psychology of Religion/Archiv für Religionspsychologie ","0084-6724","1573-6121",1914-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15736121",,"","","full text","","Brill"
"Aries","1567-9896","1570-0593",2001-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700593",,"","","full text","","Brill"
"Asian Journal of Social Science","1568-4849","1568-5314",1973-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685314",,"","","full text","","Brill"
"Asia-Pacific Journal on Human Rights and the Law ","1388-1906","1571-8158",2000-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718158",,"","","full text","","Brill"
"Behaviour","0005-7959","1568-539X",1948-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1568539x",,"","","full text","","Brill"
"Biblical Interpretation","0927-2569","1568-5152",1993-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685152",,"","","full text","","Brill"
"Brill's Annual of Afroasiatic Languages and Linguistics ","1876-6633","1877-6930",2009-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18776930",,"","","full text","","Brill"
"Bustan: The Middle East Book Review ","1878-5301","1878-5328",2010-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18785328",,"","","full text","","Brill"
"Canadian-American Slavic Studies ","0090-8290","2210-2396",1969-01-01,3,1,,,,"http://booksandjournals.brillonline.com/content/22102396",,"","","full text","","Brill"
"Church History and Religious Culture ","1871-241X","1871-2428",2006-01-01,86,1,,,,"http://booksandjournals.brillonline.com/content/18712428",,"","","full text","continuation of Nederlands Archief voor Kerkgeschiedenis","Brill"
"Comparative Sociology","1569-1322","1569-1330",2002-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15691330",,"","","full text","continuation of International Journal of Comparative Sociology ","Brill"
"Crustaceana","0011-216X","1568-5403",1960-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685403",,"","","full text","","Brill"
"Dead Sea Discoveries","0929-0761","1568-5179",1994-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685179",,"","","full text","","Brill"
"Early Science and Medicine","1383-7427","1573-3823",1996-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15733823",,"","","full text","","Brill"
"East Asian Publishing and Society ","2210-6278","2210-6286",2011-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22106286",,"","","full text","","Brill"
"East Central Europe ","0094-3037","1876-3308",1975-01-01,2,1,,,,"http://booksandjournals.brillonline.com/content/18763308",,"","","full text","","Brill"
"Ecclesiology ","1744-1366","1745-5316",2004-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/17455316",,"","","full text","","Brill"
"Erasmus of Rotterdam Society Yearbook ","0276-2854","1874-9275",1981-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18749275",,"","","full text","","Brill"
"European Journal of Crime, Criminal Law and Criminal Justice ","0928-9569","1571-8174",1993-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718174",,"","","full text","","Brill"
"European Journal of East Asian Studies","1568-0584","1570-0615",2002-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700615",,"","","full text","","Brill"
"European Journal of Health Law ","0929-0273","1571-8093",1994-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718093",,"","","full text","","Brill"
"European Journal of Jewish Studies ","1025-9996","1872-471X",2007-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1872471x",,"","","full text","","Brill"
"European Journal of Migration and Law ","1388-364X","1571-8166",1999-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718166",,"","","full text","","Brill"
"Exchange","0166-2740","1572-543X",1972-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1572543x",,"","","full text","","Brill"
"Experiment","1084-4945","2211-730X",2011-01-01,17,1,,,,"http://booksandjournals.brillonline.com/content/2211730x",,"","","full text","","Brill"
"Frontiers of Business Research in China ","1673-7326","1673-7431",2007-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16737431",,"","","full text","take over journal from 2012","Brill"
"Frontiers of Economics in China ","1673-3444","1673-3568",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16733568",,"","","full text","take over journal from 2012","Brill"
"Frontiers of Education in China ","1673-341X","1673-3533",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16733533",,"","","full text","take over journal from 2012","Brill"
"Frontiers of History in China ","1673-3401","1673-3525",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/16733525",,"","","full text","take over journal from 2012","Brill"
