publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Acta Neuropsychiatrica ","0924-2708","1601-5215",2013-01-02,25,1,,,,"http://journals.cambridge.org/NEU",,"10.1111/(ISSN)1601-5215","","fulltext","Previously published by Wiley-Blackwell",""
"Government and Opposition","0017-257X","1477-7053",2009-01-01,44,1,,,,"http://journals.cambridge.org/jid_GOV",,"10.1111/(ISSN)1477-7053","","fulltext","New for 2013. Previously published by Wiley Blackwell. It was part of Wiley NESLI2 2012 Agreement",""
"The Canadian Entomologist","0008-347X","1918-3240",1868-01-01,1,,,,,"http://journals.cambridge.org/TCE",,"","","fulltext","","Entomological Society of Canada"
"European Review of Economic History","1361-4916","1474-0044",1997-01-01,1,1,2013-07-12,15,3,"http://journals.cambridge.org/jid_ERE",,"","","fulltext","From 2012, the European Review of Economic History is published by Oxford University Press","Oxford University Press"
"Papers of the British School at Rome","0068-2462","2045-239X",1902-01-01,1,1,,,,"http://journals.cambridge.org/jid_ROM",,"","","fulltext","",""
"Archaeological Reports","0570-6084","2041-4102",1955-01-01,1,,,,,"http://journals.cambridge.org/jid_ARE",,"","","fulltext","",""
"Church History: Studies in Christianity and Culture","0009-6407","1755-2613",1932-01-01,1,1,,,,"http://journals.cambridge.org/jid_CHH",,"","","fulltext","",""
"International & Comparative Law Quarterly","0020-5893","1471-6895",1952-01-01,1,1,,,,"http://journals.cambridge.org/jid_ILQ",,"","","fulltext","",""
"International Journal of Cultural Property","0940-7391","1465-7317",1992-01-01,1,1,,,,"http://journals.cambridge.org/jid_JCP",,"","","fulltext","",""
"Journal of Germanic Linguistics","1470-5427","1475-3014",1989-01-01,1,1,,,,"http://journals.cambridge.org/jid_JGL",,"","","fulltext","",""
"Theatre Survey","0040-5574","1475-4533",1960-01-01,1,1,,,,"http://journals.cambridge.org/jid_TSY",,"","","fulltext","",""
"Netherlands International Law Review","0165-070X","1741-6191",1953-01-01,1,1,,,,"http://journals.cambridge.org/jid_NLR",,"","","fulltext","",""
"Leiden Journal of International Law","0922-1565","1478-9698",1988-01-01,1,1,,,,"http://journals.cambridge.org/jid_LJL",,"","","fulltext","",""
"Natural Language Engineering","1351-3249","1469-8110",1995-01-01,1,1,,,,"http://journals.cambridge.org/jid_NLE",,"","","fulltext","",""
"British Actuarial Journal","1357-3217","2044-0456",1996-01-04,1,1,,,,"http://journals.cambridge.org/jid_BAJ",,"","","fulltext","",""
"Organised Sound","1355-7718","1469-8153",1996-01-04,1,1,,,,"http://journals.cambridge.org/jid_OSO",,"","","fulltext","",""
"Ageing & Society","0144-686X","1469-1779",1981-01-01,1,1,,,,"http://journals.cambridge.org/jid_ASO",,"","","fulltext","",""
"British Journal of Political Science","0007-1234","1469-2112",1971-01-01,1,1,,,,"http://journals.cambridge.org/jid_JPS",,"","","fulltext","",""
"Comparative Studies in Society and History","0010-4175","1475-2999",,1,1,,,,"http://journals.cambridge.org/jid_CSS",,"","","fulltext","",""
"Journal of Biosocial Science","0021-9320","1469-7599",1969-01-01,1,1,,,,"http://journals.cambridge.org/jid_JBS",,"","","fulltext","",""
"Journal of Social Policy","0047-2794","1469-7823",1972-01-01,1,1,,,,"http://journals.cambridge.org/jid_JSP",,"","","fulltext","",""
"Macroeconomic Dynamics","1365-1005","1469-8056",1997-01-01,1,1,,,,"http://journals.cambridge.org/jid_MDY",,"","","fulltext","",""
"Review of International Studies","0260-2105","1469-9044",1975-01-01,1,1,,,,"http://journals.cambridge.org/jid_RIS",,"","","fulltext","",""
"Environment and Development Economics","1355-770X","1469-4395",1996-01-01,1,1,,,,"http://journals.cambridge.org/jid_EDE",,"","","fulltext","",""
"Journal of Child Language","0305-0009","1469-7602",1974-01-01,1,1,,,,"http://journals.cambridge.org/jid_JCL",,"","","fulltext","",""
"Journal of Latin American Studies","0022-216X","1469-767X",1969-01-01,1,1,,,,"http://journals.cambridge.org/jid_LAS",,"","","fulltext","",""
"Development and Psychopathology","0954-5794","1469-2198",1989-01-01,1,1,,,,"http://journals.cambridge.org/jid_DPP",,"","","fulltext","",""
"Journal of Linguistics","0022-2267","1469-7742",1965-01-01,1,1,,,,"http://journals.cambridge.org/jid_LIN",,"","","fulltext","",""
"Religious Studies","0034-4125","1469-901X",1965-01-01,1,1,,,,"http://journals.cambridge.org/jid_RES",,"","","fulltext","",""
"Studies in Second Language Acquisition","0272-2631","1470-1545",1978-01-01,1,1,,,,"http://journals.cambridge.org/jid_SLA",,"","","fulltext","",""
"The Historical Journal","0018-246X","1469-5103",1958-01-01,1,1,,,,"http://journals.cambridge.org/HIS",,"","","fulltext","",""
"The Journal of African History","0021-8537","1469-5138",1960-01-01,1,1,,,,"http://journals.cambridge.org/AFH",,"","","fulltext","",""
"The Journal of Modern African Studies","0022-278X","1469-7777",1963-01-01,1,1,,,,"http://journals.cambridge.org/jid_MOA",,"","","fulltext","",""
"Journal of American Studies","0021-8758","1469-5154",1967-01-01,1,1,,,,"http://journals.cambridge.org/jid_AMS",,"","","fulltext","",""
"Continuity and Change","0268-4160","1469-218X",1986-01-01,1,1,,,,"http://journals.cambridge.org/jid_CON",,"","","fulltext","",""
"Phonology","0952-6757","1469-8188",1984-01-01,1,1,,,,"http://journals.cambridge.org/jid_PHO",,"","","fulltext","",""
"Cambridge Quarterly of Healthcare Ethics","0963-1801","1469-2147",1992-01-01,1,1,,,,"http://journals.cambridge.org/jid_CQH",,"","","fulltext","",""
"Journal of Public Policy","0143-814X","1469-7815",1981-01-01,1,1,,,,"http://journals.cambridge.org/jid_PUP",,"","","fulltext","",""
"Philosophy","0031-8191","1469-817X",1926-01-01,1,1,,,,"http://journals.cambridge.org/jid_PHI",,"","","fulltext","",""
"The Journal of Ecclesiastical History","0022-0469","1469-7637",1950-01-01,1,1,,,,"http://journals.cambridge.org/jid_ECH",,"","","fulltext","Missing from the archive vol 47 iss 3",""
"Econometric Theory","0266-4666","1469-4360",1905-07-06,1,1,,,,"http://journals.cambridge.org/jid_ECT",,"","","fulltext","",""
"Modern Asian Studies","0026-749X","1469-8099",1967-01-01,1,1,,,,"http://journals.cambridge.org/jid_ASS",,"","","fulltext","",""
"Language in Society","0047-4045","1469-8013",1972-01-01,1,1,,,,"http://journals.cambridge.org/jid_LSY",,"","","fulltext","",""
"The Cambridge Law Journal","0008-1973","1469-2139",1921-01-01,1,1,,,,"http://journals.cambridge.org/jid_CLJ",,"","","fulltext","",""
"Bilingualism: Language and Cognition","1366-7289","1469-1841",1998-01-04,1,1,,,,"http://journals.cambridge.org/jid_BIL",,"","","fulltext","",""
"International Review of Social History","0020-8590","1469-512X",1956-01-01,1,1,,,,"http://journals.cambridge.org/jid_ISH",,"","","fulltext","Formerly Bulletin of the International Institute of Social History",""
"Studies in American Political Development","0898-588X","1469-8692",1986-01-01,1,,,,,"http://journals.cambridge.org/jid_SAP",,"","","fulltext","",""
"The Classical Review","0009-840X","1464-3561",1887-01-01,1,1,,,,"http://journals.cambridge.org/jid_CAR",,"","","fulltext","",""
"Ancient Mesoamerica","0956-5361","1469-1787",1990-01-01,1,1,,,,"http://journals.cambridge.org/jid_ATM",,"","","fulltext","",""
"Annual Review of Applied Linguistics","0267-1905","1471-6356",1980-01-01,1,,,,,"http://journals.cambridge.org/jid_APL",,"","","fulltext","",""
"International Journal of Technology Assessment in Health Care","0266-4623","1471-6348",1985-01-01,1,1,,,,"http://journals.cambridge.org/jid_THC",,"","","fulltext","",""
"New Testament Studies","0028-6885","1469-8145",1954-01-01,1,1,,,,"http://journals.cambridge.org/jid_NTS",,"","","fulltext","",""
"Probability in the Engineering and Informational Sciences","0269-9648","1469-8951",1987-01-01,1,1,,,,"http://journals.cambridge.org/jid_PES",,"","","fulltext","",""
"Applied Psycholinguistics","0142-7164","1469-1817",1980-01-01,1,1,,,,"http://journals.cambridge.org/jid_APS",,"","","fulltext","",""
"British Journal of Music Education","0265-0517","1469-2104",1984-01-01,1,1,,,,"http://journals.cambridge.org/jid_BME",,"","","fulltext","",""
"Contemporary European History","0960-7773","1469-2171",1992-01-01,1,1,,,,"http://journals.cambridge.org/jid_CEH",,"","","fulltext","",""
"Language Variation and Change","0954-3945","1469-8021",1989-01-01,1,1,,,,"http://journals.cambridge.org/jid_LVC",,"","","fulltext","",""
"Legal Theory","1352-3252","1469-8048",1995-01-01,1,1,,,,"http://journals.cambridge.org/jid_LEG",,"","","fulltext","",""
"Victorian Literature and Culture","1060-1503","1470-1553",1997-01-03,25,1,,,,"http://journals.cambridge.org/jid_VLC",,"","","fulltext","Formerly Browning Institute Studies",""
"International Labor and Working-Class History","0147-5479","1471-6445",1972-01-01,1,,,,,"http://journals.cambridge.org/jid_ILW",,"","","fulltext","",""
"English Language and Linguistics","1360-6743","1469-4379",1997-01-01,1,1,,,,"http://journals.cambridge.org/jid_ELL",,"","","fulltext","",""
"Urban History","0963-9268","1469-8706",1974-01-01,1,,,,,"http://journals.cambridge.org/jid_UHY",,"","","fulltext","",""
"Popular Music","0261-1430","1474-0095",1981-01-01,1,1,,,,"http://journals.cambridge.org/jid_PMU",,"","","fulltext","",""
"Primary Health Care Research & Development","1463-4236","1477-1128",2000-01-01,1,1,,,,"http://journals.cambridge.org/jid_PHC",,"","","fulltext","",""
"International Journal of Middle East Studies","0020-7438","1471-6380",1970-01-01,1,1,,,,"http://journals.cambridge.org/jid_MES",,"","","fulltext","",""
"The Journal of Politics","0022-3816","1468-2508",1939-01-01,1,1,,,,"http://journals.cambridge.org/jid_JOP",,"","","fulltext","",""
"Arabic Sciences and Philosophy","0957-4239","1474-0524",1991-01-01,1,1,,,,"http://journals.cambridge.org/jid_ASP",,"","","fulltext","",""
"Cambridge Opera Journal","0954-5867","1474-0621",1989-01-01,1,1,,,,"http://journals.cambridge.org/action/displayJournal?jid=OPR",,"","","fulltext","",""
"Canadian Journal of Political Science/Revue canadienne de science politique","0008-4239","1744-9324",1968-01-01,1,1,,,,"http://journals.cambridge.org/jid_CJP",,"","","fulltext","",""
"Central European History","0008-9389","1569-1616",1968-01-01,1,1,,,,"http://journals.cambridge.org/jid_CCC",,"","","fulltext","",""
"Journal of French Language Studies","0959-2695","1474-0079",1991-01-01,1,1,,,,"http://journals.cambridge.org/jid_JFL",,"","","fulltext","",""
"Journal of the History of Economic Thought","1053-8372","1469-9656",1979-01-01,1,1,,,,"http://journals.cambridge.org/action/displayJournal?jid=het",,"","","fulltext","Missing from the archive vol 6",""
"Cambridge Archaeological Journal","0959-7743","1474-0540",1991-01-01,1,1,,,,"http://journals.cambridge.org/jid_CAJ",,"","","fulltext","",""
"Economics and Philosophy","0266-2671","1474-0028",1985-01-01,1,1,,,,"http://journals.cambridge.org/jid_EAP",,"","","fulltext","",""
"Financial History Review","0968-5650","1474-0052",1994-01-01,1,1,,,,"http://journals.cambridge.org/jid_FHR",,"","","fulltext","New online bibliographic database of financial history introduced as a component of an online subscription from 2013. A subscription provides access to the full database during the vol year. (pending query, if applicable to NESLI2 customers)",""
"Plainsong and Medieval Music","0961-1371","1474-0087",1992-01-01,1,1,,,,"http://journals.cambridge.org/jid_PMM",,"","","fulltext","",""
"Japanese Journal of Political Science","1468-1099","1474-0060",2000-01-05,1,1,,,,"http://journals.cambridge.org/jid_JJP",,"","","fulltext","",""
"ReCALL","0958-3440","1474-0109",1989-01-01,1,1,,,,"http://journals.cambridge.org/jid_REC",,"","","fulltext","",""
