publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Zeitschrift für romanische Philologie","","1865-9063",1998-01-01,,,,,,"http://dx.doi.org/10.1515/zrph",,"http://dx.doi.org/10.1515/zrph","","full text","","De Gruyter"
"Zeitschrift für die gesamte Strafrechtswissenschaft      ","","1612-703X",1998-01-01,,,,,,"http://dx.doi.org/10.1515/zstw ",,"http://dx.doi.org/10.1515/zstw","","full text","","De Gruyter"
"Zeitschrift für Assyriologie und vorderasiatische Archäologie     ","","1613-1150",1998-01-01,,,,,,"http://dx.doi.org/10.1515/zava ",,"http://dx.doi.org/10.1515/zava","","full text","","De Gruyter"
"Kant-Studien","","1613-1134",1998-01-01,,,,,,"http://dx.doi.org/10.1515/kant ",,"http://dx.doi.org/10.1515/kant","","full text","","De Gruyter"
"Zeitschrift für celtische Philologie","","1865-889X",1998-01-01,,,,,,"http://dx.doi.org/10.1515/zcph",,"http://dx.doi.org/10.1515/zcph","","full text","","De Gruyter"
"Zeitschrift für die Neutestamentliche Wissenschaft und die Kunde der älteren Kirche","","1613-009X",1998-01-01,,,,,,"http://dx.doi.org/10.1515/zntw ",,"http://dx.doi.org/10.1515/zntw","","full text","","De Gruyter"
"Praehistorische Zeitschrift ","","1613-0804",1998-01-01,,,,,,"http://dx.doi.org/10.1515/prhz ",,"http://dx.doi.org/10.1515/prhz","","full text","","De Gruyter"
"Zeitschrift für die Alttestamentliche Wissenschaft","","1613-0103",1998-01-01,,,,,,"http://dx.doi.org/10.1515/zatw ",,"http://dx.doi.org/10.1515/zatw","","full text","","De Gruyter"
"Juristische Rundschau","","1612-7064",1998-01-01,,,,,,"http://dx.doi.org/10.1515/juru ",,"http://dx.doi.org/10.1515/juru","","full text","","De Gruyter"
"Mammalia","","1864-1547",1998-01-01,,,,,,"http://dx.doi.org/10.1515/mamm ",,"http://dx.doi.org/10.1515/mamm","","full text","","De Gruyter"
"Romanistisches Jahrbuch","","1613-0413",1998-01-01,,,,,,"http://dx.doi.org/10.1515/roma",,"http://dx.doi.org/10.1515/roma","","full text","","De Gruyter"
"Libri. International Journal of Libraries and Information Services","","1865-8423",1998-01-01,,,,,,"http://dx.doi.org/10.1515/libr",,"http://dx.doi.org/10.1515/libr","","full text","","De Gruyter"
"Lebende Sprachen","","1868-0267",1998-01-01,,,,,,"http://dx.doi.org/10.1515/les",,"http://dx.doi.org/10.1515/les","","full text","","De Gruyter"
"Neue Zeitschrift für Systematische Theologie und Religionsphilosphie","","1612-9520",1998-01-01,,,,,,"http://dx.doi.org/10.1515/nzst ",,"http://dx.doi.org/10.1515/nzst","","full text","","De Gruyter"
"Kadmos","","1613-7498",1998-01-01,,,,,,"http://dx.doi.org/10.1515/kadm ",,"http://dx.doi.org/10.1515/kadm","","full text","","De Gruyter"
"Linguistics","","1613-396X",1998-01-01,,,,,,"http://dx.doi.org/10.1515/ling ",,"http://dx.doi.org/10.1515/ling","","full text","","De Gruyter"
"Semiotica","","1613-3692",1998-01-01,,,,,,"http://dx.doi.org/10.1515/semi ",,"http://dx.doi.org/10.1515/semi","","full text","","De Gruyter"
"Restaurator. International Journal for the Preservation of Library and Archival Material.","","1865-8431",1998-01-01,,,,,,"http://dx.doi.org/10.1515/rest",,"http://dx.doi.org/10.1515/rest","","full text","","De Gruyter"
