publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"American Literary Scholarship","0065-9142","1527-2125",2000-01-01,1998,1,,,,"http://als.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"American Literature","0002-9831","1527-2117",2000-01-01,72,1,,,,"http://americanliterature.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"American Speech","0003-1283","1527-2133",2000-01-01,75,1,,,,"http://americanspeech.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"boundary 2","0190-3659","1527-2141",2000-01-01,27,1,,,,"http://boundary2.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Camera Obscura","0270-5346","1529-1510",1976-01-01,1,1,,,,"http://cameraobscura.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Common Knowledge","0961-754X","1538-4578",2002-01-01,8,1,,,,"http://commonknowledge.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Comparative Literature","0010-4124","1945-8517",2000-01-01,52,1,,,,"http://complit.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Comparative Studies of South Asia, Africa and the Middle East","1089-201X","1548-226X",1981-01-01,1,1,,,,"http://cssaame.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Cultural Politics","1743-2197","1751-7435",2012-01-01,8,1,,,,"http://culturalpolitics.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"differences","1040-7391","1527-1986",1999-01-01,11,1,,,,"http://differences.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"EASTS: East Asian Science, Technology and Society: An International Journal","1875-2160","1875-2152",2007-01-01,1,1,,,,"http://easts.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Eighteenth-Century Life","0098-2601","1086-3192",2000-01-01,24,1,,,,"http://ecl.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Ethnohistory","0014-1801","1527-5477",2000-01-01,47,1,,,,"http://ethnohistory.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"French Historical Studies","0016-1071","1527-5493",2000-01-01,23,1,,,,"http://fhs.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Genre","0016-6928","",2000-01-01,33,1,,,,"http://genre.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"GLQ: A Journal of Lesbian and Gay Studies","1064-2684","1527-9375",1993-01-01,1,1,,,,"http://glq.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Hispanic American Historical Review","0018-2168","1527-1900",2000-01-01,80,1,,,,"http://hahr.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"History of Political Economy","0018-2702","1527-1919",1969-01-01,1,1,,,,"http://hope.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Journal of Health Politics, Policy and Law","0361-6878","1527-1927",1976-01-01,1,1,,,,"http://jhppl.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Journal of Medieval and Early Modern Studies","1082-9636","1527-8263",2000-01-01,30,1,,,,"http://jmems.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Journal of Music Theory","0022-2909","1941-7497",1999-01-01,43,1,,,,"http://jmt.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Labor: Studies in Working-Class History of the Americas","1547-6715","1558-1454",2004-01-01,1,1,,,,"http://labor.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Mediterranean Quarterly","1047-4552","1527-1935",2000-01-01,11,1,,,,"http://mq.dukejournals.org ",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"minnesota review","0026-5667","2157-4189",2011-01-01,2005,63,,,,"http://minnesotareview.dukejournals.org/",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Modern Language Quarterly","0026-7929","1527-1943",1940-01-01,1,1,,,,"http://mlq.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"New German Critique","0094-033X","1558-1462",1999-01-01,33,1,,,,"http://ngc.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Nka: Journal of African Contemporary Art","1075-7163","2152-7792",1994-01-01,1994,1,,,,"http://nka.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Novel","0029-5132","1945-8509",1999-01-01,33,1,,,,"http://novel.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Pedagogy","1531-4200","1533-6255",2001-01-01,1,1,,,,"http://pedagogy.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Philosophical Review","0031-8108","1558-1470",2000-01-01,109,1,,,,"http://philreview.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Poetics Today","0333-5372","1527-5507",2000-01-01,21,1,,,,"http://poeticstoday.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"positions: east asia cultures critique","1067-9847","1527-8271",1993-01-01,1,1,,,,"http://positions.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Public Culture","0899-2363","1527-8018",1988-01-01,1,1,,,,"http://publicculture.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Radical History Review","0163-6545","1534-1453",1978-01-01,1975,09-Oct,,,,"http://rhr.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Small Axe","0799-0537","1534-6714",2001-01-01,5,2,,,,"http://smallaxe.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Social Science History","0145-5532","1527-8034",2000-01-01,24,1,,,,"http://ssh.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Social Text","0164-2472","1527-1951",2000-01-01,18,1,,,,"http://socialtext.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"South Atlantic Quarterly","0038-2876","1527-8026",2000-01-01,99,1,,,,"http://saq.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Theater","0161-0775","1527-196X",1968-01-01,1,1,,,,"http://theater.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
"Tikkun","0887-9982","2164-0041",2012-01-01,27,1,,,,"http://tikkun.dukejournals.org",,"","No embargo on HighWire Press","Full-text","","Duke University Press"
