publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Hepatology","0270-9139","1527-3350",1995-01-01,21,1,2003-12-31,38,,"http://www.sciencedirect.com/science/journal/02709139",,"10.1002/(ISSN)1527-3350","","","Transfer out:Wiley InterScience 2004  ",""
"Biological Journal of the Linnean Society","0024-4066","1095-8312",1993-01-01,48,1,2001-12-01,74,4,"http://www.sciencedirect.com/science/journal/00244066",,"10.1111/(ISSN)1095-8312","","","Transfer out:Blackwell 2001  ",""
"BJOG : An International Journal of Obstetrics and Gynaecology","1470-0328","1471-0528",2002-01-01,109,1,2003-12-01,110,12,"http://www.sciencedirect.com/science/journal/14700328",,"10.1111/(ISSN)1471-0528","","","Previously:British Journal of Obstetrics and Gynaecology Transferred to Blackwell as of 2004  ",""
"Botanical Journal of the Linnean Society","0024-4074","1095-8339",1993-01-01,111,1,2001-12-01,137,4,"http://www.sciencedirect.com/science/journal/00244074",,"10.1111/(ISSN)1095-8339","","","Transfer out:Blackwell 2001  ",""
"Cladistics","0748-3007","1096-0031",1993-03-01,9,1,2003-12-01,19,6,"http://www.sciencedirect.com/science/journal/07483007",,"10.1111/(ISSN)1096-0031","","","Transfer out:Blackwell 2004  ",""
"FEMS Immunology and Medical Microbiology","0928-8244","1574-695X",1993-01-01,6,1,2005-09-01,45,3,"http://www.sciencedirect.com/science/journal/09288244",,"10.1111/(ISSN)1574-695X","","","Transfer out:Blackwell 2006  ",""
"FEMS Microbiology Ecology","0168-6496","1574-6941",1993-05-01,12,1,2005-11-01,54,3,"http://www.sciencedirect.com/science/journal/01686496",,"10.1111/(ISSN)1574-6941","","","Transfer out:Blackwell 2006  ",""
"FEMS Microbiology Letters","0378-1097","1574-6968",1977-01-01,1,1,2005-12-15,253,2,"http://www.sciencedirect.com/science/journal/03781097",,"10.1111/(ISSN)1574-6968","","","Transfer out:Blackwell 2006  ",""
"FEMS Microbiology Reviews","0168-6445","1574-6976",1993-07-01,11,1,2005-11-01,29,5,"http://www.sciencedirect.com/science/journal/01686445",,"10.1111/(ISSN)1574-6976","","","Transfer out:Blackwell 2006  ",""
"Journal of Midwifery and Women's Health","1526-9523","1542-2011",2000-01-01,45,1,2010-12-01,55,6,"http://www.sciencedirect.com/science/journal/15269523",,"10.1111/(ISSN)1542-2011","","","Previously:Journal of Nurse-Midwifery Transferred to Wiley-Blackwell as of 2011  ",""
"Journal of the European Academy of Dermatology and Venereology","0926-9959","1468-3083",1995-02-01,4,1,1999-11-01,13,3,"http://www.sciencedirect.com/science/journal/09269959",,"10.1111/(ISSN)1468-3083","","","Transfer out:Blackwell 2000  ",""
"Ophthalmic and Physiological Optics","0275-5408","1475-1313",1995-01-01,15,1,2001-11-01,21,6,"http://www.sciencedirect.com/science/journal/02755408",,"10.1111/(ISSN)1475-1313","","","Transfer out:Blackwell 2002  ",""
"Zoological Journal of the Linnean Society","0024-4082","1096-3642",1993-01-01,107,1,2001-11-01,133,4,"http://www.sciencedirect.com/science/journal/00244082",,"10.1111/(ISSN)1096-3642","","","Transfer out:Blackwell 2001  ",""
"Liver Transplantation","1527-6465","1527-6473",1997-01-01,3,1,2003-12-01,9,12,"http://www.sciencedirect.com/science/journal/15276465",,"10.1002/(ISSN)1527-6473","","","Transfer out:Wiley InterScience 2004  ",""
"FEMS Yeast Research","1567-1356","1567-1364",2001-04-01,1,1,2005-12-01,5,12,"http://www.sciencedirect.com/science/journal/15671356",,"10.1111/(ISSN)1567-1364","","","Transfer out:Blackwell 2006  ",""
"Journal of Orthopaedic Research","0736-0266","1554-527X",2001-01-01,19,1,2005-11-01,23,6,"http://www.sciencedirect.com/science/journal/07360266",,"10.1002/(ISSN)1554-527X","","","Transfer out:Wiley 2006  ",""
"Hepatology Research","1386-6346","1872-034X",1997-05-01,7,1,2006-12-01,36,4,"http://www.sciencedirect.com/science/journal/13866346",,"10.1111/(ISSN)1872-034X","","","Previously:International Hepatology Communications Transferred to Blackwell Publishing as of 2007  ",""
"Biology of the Cell","0248-4900","1768-322X",1988-01-01,62,1,2004-12-01,96,9,"http://www.sciencedirect.com/science/journal/02484900",,"10.1111/(ISSN)1768-322X","","","Transfer out:Portland Press 2005  ",""
"Canadian Metallurgical Quarterly ","0008-4433","1879-1395",1995-01-01,34,1,1999-12-01,38,5,"http://www.sciencedirect.com/science/journal/00084433",,"","","","Transfer out:Metallurgical Society of CIM 2000  ","Maney Publishing"
"Agricultural Economics","0169-5150","1574-0862",1986-01-01,1,1,2004-12-01,31,2,"http://www.sciencedirect.com/science/journal/01695150",,"10.1111/(ISSN)1574-0862","","","Transfer out:Blackwell 2005  ",""
"Bulletin of Latin American Research","0261-3050","1470-9856",1995-01-01,14,1,2000-10-01,19,4,"http://www.sciencedirect.com/science/journal/02613050",,"10.1111/(ISSN)1470-9856","","","Transfer out:Blackwell 2001  ",""
"Cognitive Science - A Multidisciplinary Journal","0364-0213","1551-6709",1977-01-01,1,1,2004-12-01,28,6,"http://www.sciencedirect.com/science/journal/03640213",,"10.1111/(ISSN)1551-6709","","","Transfer out:Lawrence Erlbaum Associates 2005  ",""
"International Journal of Nautical Archaeology","1057-2414","1095-9270",1993-08-01,22,3,2003-11-01,32,2,"http://www.sciencedirect.com/science/journal/10572414",,"10.1111/(ISSN)1095-9270","","","Transfer out:Blackwell 2004  ",""
"International Transactions in Operational Research","0969-6016","1475-3995",1994-01-01,1,1,2000-11-01,7,6,"http://www.sciencedirect.com/science/journal/09696016",,"10.1111/(ISSN)1475-3995","","","Transfer out:Blackwell 2001  ",""
"The Journal of Product innovation Management","0737-6782","1540-5885",1984-01-01,1,1,2002-11-01,19,6,"http://www.sciencedirect.com/science/journal/07376782",,"10.1111/(ISSN)1540-5885","","","Transfer out:Blackwell 2003  ",""
