publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"A Life in the Day","1366-6282","",1997-02-01,1,1,,,,"http://www.emeraldinsight.com/1366-6282.htm",,"","","fulltext","Now: Mental Health and Social Inclusion",""
"Accounting Research Journal","1030-9616","",2005-07-01,18,1,,,,"http://www.emeraldinsight.com/1030-9616.htm",,"","","fulltext","",""
"Accounting, Auditing & Accountability Journal","0951-3574","",1988-06-01,1,1,,,,"http://www.emeraldinsight.com/0951-3574.htm",,"","","fulltext","",""
"Academia Revista Latinoamericana de Administración","1012-8255","",,,,,,,"http://www.emeraldinsight.com",,"","","fulltext","Content coming soon",""
"Advances in Dual Diagnosis","1757-0972","",2008-08-01,1,1,,,,"http://www.emeraldinsight.com/1757-0972.htm",,"","","fulltext","",""
"Advances in Mental Health and Intellectual Disabilities","2044-1282","",2010-06-21,4,2,,,,"http://www.emeraldinsight.com/2044-1282.htm",,"","","fulltext","Previously: Advances in Mental Health and Learning Disabilities 2007-2010",""
"Advances in Mental Health and Learning Disabilities","1753-0180","",2007-03-01,1,1,,,,"http://www.emeraldinsight.com/1753-0180.htm",,"","","fulltext","Currently: Advances in Mental Health and Intellectual Disabilities",""
"African Journal of Economic and Management Studies","2040-0705","",2010-04-09,1,1,,,,"http://www.emeraldinsight.com/2040-0705.htm",,"","","fulltext","",""
"Agricultural Finance Review","0002-1466","",2000-05-05,60,1,,,,"http://www.emeraldinsight.com/0002-1466.htm",,"","","fulltext","",""
"Aircraft Engineering and Aerospace Technology","0002-2667","",1929-02-01,1,1,,,,"http://www.emeraldinsight.com/0002-2667.htm",,"","","fulltext","",""
"American Journal of Business","1935-5181","",1986-04-22,1,1,,,,"http://www.emeraldinsight.com/1935-5181.htm",,"","","fulltext","",""
"American Journal of Police","0735-8547","",1995-04-01,14,1,1996-12-01,15,4,"http://www.emeraldinsight.com/0735-8547.htm",,"","","fulltext","Merged into: Policing: An International Journal of Police Strategies & Management",""
"Anti-Corrosion Methods and Materials","0003-5599","",1954-02-01,1,1,,,,"http://www.emeraldinsight.com/0003-5599.htm",,"","","fulltext","",""
"The Antidote","1363-8483","",1996-04-01,1,1,2000-12-01,5,7,"http://www.emeraldinsight.com/1363-8483.htm",,"","","fulltext","Merged into: Strategy & Leadership",""
"Arts Marketing: An International Journal","2044-2084","",2011-05-20,1,1,,,,"http://www.emeraldinsight.com/2044-2084.htm",,"","","fulltext","",""
"Asia Pacific Journal of Marketing and Logistics","1355-5855","",1989-02-01,1,1,,,,"http://www.emeraldinsight.com/1355-5855.htm",,"","","fulltext","",""
"Asian Education and Development Studies","2046-3162","",2012-01-06,1,1,,,,"http://www.emeraldinsight.com/2046-3162.htm",,"","","fulltext","",""
"Asian Journal on Quality","1598-2688","",2000-02-01,1,1,,,,"http://www.emeraldinsight.com/1598-2688.htm",,"","","fulltext","",""
"Asian Libraries","1017-6748","",1997-04-01,6,1,1999-12-01,8,12,"http://www.emeraldinsight.com/1017-6748.htm",,"","","fulltext","Merged into: New Library World",""
"Asian Review of Accounting","1321-7348","",1992-02-01,1,1,,,,"http://www.emeraldinsight.com/1321-7348.htm",,"","","fulltext","",""
"Asia-Pacific Journal of Business Administration","1757-4323","",2009-04-17,1,1,,,,"http://www.emeraldinsight.com/1757-4323.htm",,"","","fulltext","",""
"Aslib Proceedings","0001-253X","",1949-02-01,1,1,,,,"http://www.emeraldinsight.com/0001-253X.htm",,"","","fulltext","",""
"Assembly Automation","0144-5154","",1980-02-01,1,1,,,,"http://www.emeraldinsight.com/0144-5154.htm",,"","","fulltext","",""
"Balance Sheet","0965-7967","",2000-02-01,8,1,2004-12-01,12,5,"http://www.emeraldinsight.com/0965-7967.htm",,"","","fulltext","Merged into: The Journal of Risk Finance",""
"Baltic Journal of Management","1746-5265","",2006-01-01,1,1,,,,"http://www.emeraldinsight.com/1746-5265.htm",,"","","fulltext","",""
"Benchmarking for Quality Management & Technology","1351-3036","",1994-04-01,1,1,,,,"http://www.emeraldinsight.com/1351-3036.htm",,"","","fulltext","Currently: Benchmarking: An International Journal
",""
"Benchmarking: An International Journal","1463-5771","",1999-03-01,6,1,,,,"http://www.emeraldinsight.com/1463-5771.htm",,"","","fulltext","Previously: Benchmarking for Quality Management & Technology 1994 - 1998
",""
"The Bottom Line: Managing Library Finances","0888-045X","",1988-02-01,1,1,,,,"http://www.emeraldinsight.com/0888-045X.htm",,"","","fulltext","",""
"British Food Journal","0007-070X","",1899-02-01,1,1,,,,"http://www.emeraldinsight.com/0007-070X.htm",,"","","fulltext","",""
"British Journal of Clinical Governance","1466-4100","",1996-02-01,1,1,2002-12-01,7,4,"http://www.emeraldinsight.com/1466-4100.htm",,"","","fulltext","Now: Clinical Governance: An International Journal. Incorporates: Clinical Performance and Quality Healthcare",""
"Clinical Performance and Quality Healthcare","1063-0279","",1999-09-01,7,3,2000-12-01,8,4,"http://www.emeraldinsight.com/1063-0279.htm",,"","","fulltext","Merged into: British Journal of Clinical Governance",""
"Built Environment Project and Asset Management","2044-124X","",2011-07-08,1,1,,,,"http://www.emeraldinsight.com/2044-124X.htm",,"","","fulltext","",""
"Business Process Management Journal","1463-7154","",1997-04-01,3,1,,,,"http://www.emeraldinsight.com/1463-7154.htm",,"","","fulltext","Previously: Business Process Re-engineering & Management Journal 1995 - 1996
",""
"Business Process Re-engineering & Management Journal","1355-2503","",1995-04-01,1,1,,,,"http://www.emeraldinsight.com/1355-2503.htm",,"","","fulltext","Currently: Business Process Management Journal",""
"Business Strategy Series","1751-5637","",2007-01-01,8,1,,,,"http://www.emeraldinsight.com/1751-5637.htm",,"","","fulltext","",""
"Handbook of Business Strategy","1077-5730","",2000-02-01,1,1,,,,"http://www.emeraldinsight.com/1077-5730.htm",,"","","fulltext","",""
"Campus-Wide Information Systems","1065-0741","",1984-02-01,1,1,,,,"http://www.emeraldinsight.com/1065-0741.htm",,"","","fulltext","",""
"Career Development International","1362-0436","",1996-02-01,1,1,,,,"http://www.emeraldinsight.com/1362-0436.htm",,"","","fulltext","Previously: International Journal of Career Management 1990 - 1995. Incorporates: Executive Development 1995-",""
"Executive Development","0953-3230","",1989-04-01,2,1,1995-12-01,8,7,"http://www.emeraldinsight.com/0953-3230.htm",,"","","fulltext","Merged into: Career Development International",""
"International Journal of Career Management","0955-6214","",1990-04-01,2,1,1995-12-01,7,6,"http://www.emeraldinsight.com/0955-6214.htm",,"","","fulltext","Now: Career Development International",""
"China Agricultural Economic Review","1756-137X","",2009-01-01,1,1,,,,"http://www.emeraldinsight.com/1756-137X.htm",,"","","fulltext","",""
"China Finance Review International","2044-1398","",2011-01-01,1,1,,,,"http://www.emeraldinsight.com/2044-1398.htm",,"","","fulltext","",""
"Chinese Management Studies","1750-614X","",2007-01-23,1,1,,,,"http://www.emeraldinsight.com/1750-614X.htm",,"","","fulltext","",""
"Circuit World","0305-6120","",1974-02-01,1,1,,,,"http://www.emeraldinsight.com/0305-6120.htm",,"","","fulltext","",""
"Clinical Governance: An International Journal","1477-7274","",2003-03-01,8,1,,,,"http://www.emeraldinsight.com/1477-7274.htm",,"","","fulltext","Previously : British Journal of Clinical Governance 1996-2002",""
"Collection Building","0160-4953","",1978-02-01,1,1,,,,"http://www.emeraldinsight.com/0160-4953.htm",,"","","fulltext","",""
"COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering","0332-1649","",1982-02-01,1,1,,,,"http://www.emeraldinsight.com/0332-1649.htm",,"","","fulltext","",""
"Competitiveness Review: An International Business Journal incorporating Journal of Global Competitiveness","1059-5422","",1991-02-01,1,1,,,,"http://www.emeraldinsight.com/1059-5422.htm",,"","","fulltext","",""
"Construction Innovation: Information, Process, Management","1471-4175","",2001-03-01,1,1,,,,"http://www.emeraldinsight.com/1471-4175.htm",,"","","fulltext","",""
"Corporate Communications: An International Journal","1356-3289","",1996-02-01,1,1,,,,"http://www.emeraldinsight.com/1356-3289.htm",,"","","fulltext","",""
"Corporate Governance","1472-0701","",2001-03-01,1,1,,,,"http://www.emeraldinsight.com/1472-0701.htm",,"","","fulltext","",""
"critical perspectives on international business","1742-2043","",2005-03-01,1,1,,,,"http://www.emeraldinsight.com/1742-2043.htm",,"","","fulltext","",""
"Cross Cultural Management: An International Journal","1352-7606","",1994-02-01,1,1,,,,"http://www.emeraldinsight.com/1352-7606.htm",,"","","fulltext","",""
"Development and Learning in Organizations","1477-7282","",2003-02-01,17,1,,,,"http://www.emeraldinsight.com/1477-7282.htm",,"","","fulltext","Previously: Training Strategies for Tomorrow 2002",""
"Training Strategies for Tomorrow","1369-7234","",2002-02-01,16,1,2002-12-01,16,6,"http://www.emeraldinsight.com/1369-7234.htm",,"","","fulltext","Now: Development and Learning in Organizations",""
"Direct Marketing: An International Journal","1750-5933","",2007-04-03,1,1,,,,"http://www.emeraldinsight.com/1750-5933.htm",,"","","fulltext","",""
"Disaster Prevention and Management","0965-3562","",1992-04-01,1,1,,,,"http://www.emeraldinsight.com/0965-3562.htm",,"","","fulltext","",""
"Drugs and Alcohol Today","1745-9265","",2001-10-01,1,1,,,,"http://www.emeraldinsight.com/1745-9265.htm",,"","","fulltext","",""
"Education + Training","0040-0912","",1959-02-01,1,1,,,,"http://www.emeraldinsight.com/0040-0912.htm",,"","","fulltext","",""
"Education, Business and Society: Contemporary Middle Eastern Issues","1753-7983","",2008-02-29,1,1,,,,"http://www.emeraldinsight.com/1753-7983.htm",,"","","fulltext","",""
