publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Expert Review of Anticancer Therapy","1473-7140","1744-8328",2001-06-01,1,1,,,,"http://www.expert-reviews.com/loi/era",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Anti-infective Therapy","1478-7210","1744-8336",2003-03-01,1,1,,,,"http://www.expert-reviews.com/loi/eri",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Cardiovascular Therapy","1477-9072","1744-8344",2003-05-01,1,1,,,,"http://www.expert-reviews.com/loi/erc",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Clinical Immunology","1744-666X","1744-8409",2005-05-01,1,1,,,,"http://www.expert-reviews.com/loi/eci",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Clinical Pharmacology","1751-2433","1751-2441",2008-01-01,1,1,,,,"http://www.expert-reviews.com/loi/ecp",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Dermatology","1746-9872","1746-9880",2006-02-01,1,1,,,,"http://www.expert-reviews.com/loi/edm",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Endocrinology & Metabolism","1744-6651","1744-8417",2006-01-01,1,1,,,,"http://www.expert-reviews.com/loi/eem",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Gastroenterology & Hepatology","1747-4124","1747-4132",2007-10-01,1,1,,,,"http://www.expert-reviews.com/loi/egh",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Hematology","1747-4086","1747-4094",2008-10-01,1,1,,,,"http://www.expert-reviews.com/loi/ehm",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Medical Devices","1743-4440","1745-2422",2004-09-01,1,1,,,,"http://www.expert-reviews.com/loi/erd",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Molecular Diagnostics","1473-7159","1744-8352",2001-05-01,1,1,,,,"http://www.expert-reviews.com/loi/erm",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Neurotherapeutics","1473-7175","1744-8360",2001-09-01,1,1,,,,"http://www.expert-reviews.com/loi/ern",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Obstetrics & Gynecology","1747-4108","1747-4116",2006-09-01,1,1,,,,"http://www.expert-reviews.com/loi/eog",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Ophthalmology","1746-9899","1746-9902",2006-10-01,1,1,,,,"http://www.expert-reviews.com/loi/eop",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Pharmacoeconomics & Outcomes Research","1473-7167","1744-8379",2001-10-01,1,1,,,,"http://www.expert-reviews.com/loi/erp",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Proteomics","1478-9450","1744-8387",2004-06-01,1,1,,,,"http://www.expert-reviews.com/loi/epr",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Respiratory Medicine","1747-6348","1747-6356",2007-08-01,1,1,,,,"http://www.expert-reviews.com/loi/ers",,"","","Full text","","Expert Reviews Ltd"
"Expert Review of Vaccines","1476-0584","1744-8395",2002-06-01,1,1,,,,"http://www.expert-reviews.com/loi/erv",,"","","Full text","","Expert Reviews Ltd"
