publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"African Journal of International and Comparative Law","0954-8890","1755-1609",2005-01-01,13,1,,,,"http://www.euppublishing.com/loi/ajicl",,"","","fulltext","","Edinburgh University Press"
"Architectural Heritage","1350-7524","1755-1641",2000-01-01,11,1,,,,"http://www.euppublishing.com/loi/arch",,"","","fulltext","","Edinburgh University Press"
"Archives of Natural History","0260-9541","1755-6260",2000-01-01,27,1,,,,"http://www.euppublishing.com/loi/anh",,"","","fulltext","","Edinburgh University Press"
"Ben Jonson Journal","1079-3453","1755-165X",2007-01-01,14,1,,,,"http://www.euppublishing.com/loi/bjj",,"","","fulltext","","Edinburgh University Press"
"Comparative Critical Studies","1744-1854","1750-0109",2004-01-01,1,1,,,,"http://www.euppublishing.com/loi/ccs",,"","","fulltext","","Edinburgh University Press"
"Corpora","1749-5032","1755-1676",2006-01-01,1,1,,,,"http://www.euppublishing.com/loi/cor",,"","","fulltext","","Edinburgh University Press"
"Dance Research","0264-2875","1750-0095",2000-01-01,18,1,,,,"http://www.euppublishing.com/loi/drs",,"","","fulltext","","Edinburgh University Press"
"Deleuze Studies","1750-2241","1755-1684",2007-01-01,1,1,,,,"http://www.euppublishing.com/loi/dls",,"","","fulltext","","Edinburgh University Press"
"Derrida Today","1754-8500","1754-8519",2008-01-01,1,1,,,,"http://www.euppublishing.com/loi/drt",,"","","fulltext","","Edinburgh University Press"
"Edinburgh Law Review","1364-9809","1755-1692",2000-01-01,4,1,,,,"http://www.euppublishing.com/loi/elr",,"","","fulltext","","Edinburgh University Press"
"Holy Land Studies","1474-9475","1750-0125",2004-01-01,3,1,,,,"http://www.euppublishing.com/loi/hls",,"","","fulltext","","Edinburgh University Press"
"International Research in Children's Literature","1755-6198","1755-6201",2008-01-01,1,1,,,,"http://www.euppublishing.com/loi/ircl",,"","","fulltext","","Edinburgh University Press"
"Journal of Beckett Studies","0309-5207","1759-7811",2008-01-01,17,1,,,,"http://www.euppublishing.com/loi/jobs",,"","","fulltext","","Edinburgh University Press"
"Journal of British Cinema and Television","1743-4521","1755-1714",2004-01-01,1,1,,,,"http://www.euppublishing.com/loi/jbctv",,"","","fulltext","","Edinburgh University Press"
"Journal of Qur'anic Studies","1465-3591","1755-1730",2000-01-01,2,1,,,,"http://www.euppublishing.com/loi/jqs",,"","","fulltext","","Edinburgh University Press"
"Journal of Scottish Philosophy","1479-6651","1755-2001",2003-01-01,1,1,,,,"http://www.euppublishing.com/loi/jsp",,"","","fulltext","","Edinburgh University Press"
"Katherine Mansfield Studies","2041-4501","2041-451X",2009-01-01,1,1,,,,"http://www.euppublishing.com/loi/kms",,"","","fulltext","","Edinburgh University Press"
"Modernist Cultures","2041-1022","1753-8629",2005-01-01,1,1,,,,"http://www.euppublishing.com/loi/mod",,"","","fulltext","","Edinburgh University Press"
"Northern Scotland","0306-5278","2042-2717",2010-01-01,1,1,,,,"http://www.euppublishing.com/loi/nor",,"","","fulltext","","Edinburgh University Press"
"Oxford Literary Review","0305-1498","1757-1634",2007-01-01,29,1,,,,"http://www.euppublishing.com/loi/olr",,"","","fulltext","","Edinburgh University Press"
"Paragraph","0264-8334","1750-0176",2000-01-01,23,1,,,,"http://www.euppublishing.com/loi/para",,"","","fulltext","","Edinburgh University Press"
"Psychoanalysis and History","1460-8235","1755-201X",2000-01-01,2,1,,,,"http://www.euppublishing.com/loi/pah",,"","","fulltext","","Edinburgh University Press"
"Romanticism","1354-991X","1750-0192",2000-01-01,6,1,,,,"http://www.euppublishing.com/loi/rom",,"","","fulltext","","Edinburgh University Press"
