publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Aging Health","1745-509X","1745-5103",2005-08-01,1,1,,,,"http://www.futuremedicine.com/loi/ahe",,"","","Full text","","Future Medicine"
"Biomarkers in Medicine","1752-0363","1752-0371",2007-06-01,1,1,,,,"http://www.futuremedicine.com/loi/bmm",,"","","Full text","","Future Medicine"
"Clinical Lipidology","1758-4299","1758-4302",2009-02-01,4,1,,,,"http://www.futuremedicine.com/loi/clp",,"","","Full text","","Future Medicine"
"Clinical Practice","2044-9038","2044-9046",2012-01-01,9,1,,,,"http://www.futuremedicine.com/loi/cpr",,"","","Full text","","Future Medicine"
"Diabetes Management","1758-1907","1758-1915",2011-01-01,1,1,,,,"http://www.futuremedicine.com/loi/dmt",,"","","Full text","","Future Medicine"
"Epigenomics","1750-1911","1750-192X",2009-10-01,1,1,,,,"http://www.futuremedicine.com/loi/epi",,"","","Full text","","Future Medicine"
"Future Cardiology","1479-6678","1744-8298",2005-01-01,1,1,,,,"http://www.futuremedicine.com/loi/fca",,"","","Full text","","Future Medicine"
"Future Microbiology","1746-0913","1746-0921",2006-06-01,1,1,,,,"http://www.futuremedicine.com/loi/fmb",,"","","Full text","","Future Medicine"
"Future Neurology","1479-6708","1748-6971",2006-01-01,1,1,,,,"http://www.futuremedicine.com/loi/fnl",,"","","Full text","","Future Medicine"
"Future Oncology","1479-6694","1744-8301",2005-02-01,1,1,,,,"http://www.futuremedicine.com/loi/fon",,"","","Full text","","Future Medicine"
"Future Virology","1746-0794","1746-0808",2006-01-01,1,1,,,,"http://www.futuremedicine.com/loi/fvl",,"","","Full text","","Future Medicine"
"Imaging in Medicine","1755-5191","1755-5205",2009-10-01,1,1,,,,"http://www.futuremedicine.com/loi/iim",,"","","Full text","","Future Medicine"
"Immunotherapy","1750-743X","1750-7448",2009-01-01,1,1,,,,"http://www.futuremedicine.com/loi/imt",,"","","Full text","","Future Medicine"
"International Journal of Clinical Rheumatology","1758-4272","1758-4280",2009-02-01,4,1,,,,"http://www.futuremedicine.com/loi/ijr",,"","","Full text","","Future Medicine"
"Interventional Cardiology","1755-5302","1755-5310",2009-10-01,1,1,,,,"http://www.futuremedicine.com/loi/ica",,"","","Full text","","Future Medicine"
"Journal of Comparative Effectiveness Research","2042-6305","2042-6313",2012-01-01,1,1,,,,"http://www.futuremedicine.com/loi/cer",,"","","Full text","","Future Medicine"
"Nanomedicine","1743-5889","1748-6963",2006-06-01,1,1,,,,"http://www.futuremedicine.com/loi/nnm",,"","","Full text","","Future Medicine"
"Neurodegenerative Disease Management","1758-2024","1758-2032",2011-02-01,1,1,,,,"http://www.futuremedicine.com/loi/nmt",,"","","Full text","","Future Medicine"
"Neuropsychiatry","1758-2008","1758-2016",2011-02-01,1,1,,,,"http://www.futuremedicine.com/loi/npy",,"","","Full text","","Future Medicine"
"Pain Management","1758-1869","1758-1877",2011-01-01,1,1,,,,"http://www.futuremedicine.com/loi/pmt",,"","","Full text","","Future Medicine"
"Personalized Medicine","1741-0541","1744-828X",2004-12-01,1,1,,,,"http://www.futuremedicine.com/loi/pme",,"","","Full text","Full text from 2005 onwards","Future Medicine"
"Pharmacogenomics","1462-2416","1744-8042",2000-02-01,1,1,,,,"http://www.futuremedicine.com/loi/pgs",,"","","Full text","Full text from 2005 onwards","Future Medicine"
"Regenerative Medicine","1746-0751","1746-076X",2006-01-01,1,1,,,,"http://www.futuremedicine.com/loi/rme",,"","","Full text","","Future Medicine"
"Women's Health","1745-5057","1745-5056",2005-07-01,1,1,,,,"http://www.futuremedicine.com/loi/whe",,"","","Full text","","Future Medicine"
"Colorectal Cancer","1758-194X","1758-1958",2012-02-01,1,1,,,,"http://www.futuremedicine.com/loi/crc",,"","","Full text","","Future Medicine"
"Breast Cancer Management","1758-1923","1758-1931",2012-05-01,1,1,,,,"http://www.futuremedicine.com/loi/bmt",,"","","Full text","","Future Medicine"
"Lung Cancer Management","1758-1966","1758-1974",2012-06-01,1,1,,,,"http://www.futuremedicine.com/loi/lmt",,"","","Full text","","Future Medicine"
"CNS Oncology","2045-0907","2045-0915",2012-09-01,1,1,,,,"http://www.futuremedicine.com/loi/cns",,"","","Full text","","Future Medicine"
"International Journal of Hematologic Oncology","2045-1393","2045-1407",2012-10-01,1,1,,,,"http://www.futuremedicine.com/loi/ijh",,"","","Full text","","Future Medicine"
