publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Proceedings of the ICE - Civil Engineering","","1751-7672",1992-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/cien",,"","","","(includes 2 special issues","Institution of Civil Engineers"
"Proceedings of the ICE - Geotechnical Engineering","1353-2618","1751-8563",1994-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/geng",,"","","","","Institution of Civil Engineers"
"Proceedings of the ICE - Municipal Engineer","0965-0903","1751-7699",1992-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/muen",,"","","","","Institution of Civil Engineers"
"Proceedings of the ICE - Structures and Buildings","0965-0911","1751-7702",1992-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/stbu",,"","","","","Institution of Civil Engineers"
"Proceedings of the ICE - Transport","","1751-7710",1992-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/tran",,"","","","","Institution of Civil Engineers"
"Advances in Cement Research","0951-7197","1751-7605",1987-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/adcr",,"","","","","ICE Publishing "
"Dams and Reservoirs","1368-1494","1756-8404",2008-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/dare",,"","","","","ICE Publishing "
"Geosynthetics International","1072-6349","1751-7613",2003-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/gein",,"","","","","ICE Publishing "
"Géotechnique ","0016-8505","1751-7656",1948-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/geot",,"","","","","ICE Publishing "
"Géotechnique Letters ","","2045-2543",2011-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/geolett",,"","","","e-only. was free for launch years 2011 - 2012","ICE Publishing "
"International Journal of Physical Modelling in Geotechnics","1346-213X","2042-6550",2001-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/ijpmg",,"","","","","ICE Publishing "
"Magazine of Concrete Research ","0024-9831","1751-763X",1949-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/macr",,"","","","","ICE Publishing "
"Proceedings of the ICE - Bridge Engineering ","1478-4637","1751-7664",2003-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/bren",,"","","","","ICE Publishing "
"Proceedings of the ICE - Construction Materials","1747-650X","1747-6518",2006-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/coma",,"","","","","ICE Publishing "
"Proceedings of the ICE - Energy","1751-4223","1751-4231",2007-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/ener",,"","","","","ICE Publishing "
"Proceedings of the ICE - Engineering and Computational Mechanics","1755-0777","1755-0785",2008-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/eacm",,"","","","","ICE Publishing "
"Proceedings of the ICE - Engineering History and Heritage","1757-9430","1757-9449",2009-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/ehah",,"","","","","ICE Publishing "
"Proceedings of the ICE - Engineering Sustainability ","1478-4629","1751-7680",2003-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/ensu",,"","","","","ICE Publishing "
"Proceedings of the ICE - Forensic Engineering","2043-9903","2043-9911",2011-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/feng",,"","","","","ICE Publishing "
"Proceedings of the ICE - Ground Improvement","1755-0750","1755-0769",1997-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/grim",,"","","","","ICE Publishing "
"Proceedings of the ICE - Management, Procurement and Law ","1751-4304","1751-4312",2007-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/mpal",,"","","","","ICE Publishing "
"Proceedings of the ICE - Maritime Engineering","1741-7597","1751-7737",2004-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/maen",,"","","","","ICE Publishing "
"Proceedings of the ICE - Urban Design and Planning ","1755-0793","1755-0807",2008-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/udap",,"","","","","ICE Publishing "
"Proceedings of the ICE - Waste and Resource Management","1747-6526","1747-6534",2006-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/warm",,"","","","","ICE Publishing "
"Proceedings of the ICE - Water Management","1741-7589","1751-7729",2004-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/wama",,"","","","","ICE Publishing "
"Bioinspired, Biomimetic and Nanobiomaterials","2045-9858","2045-9866",2012-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/bbn",,"","","","","ICE Publishing "
"Emerging Materials Research","2046-0147","2046-0155",2012-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/emr",,"","","","","ICE Publishing "
"Nanomaterials and Energy","2045-9831","2045-984X",2012-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/nme",,"","","","","ICE Publishing "
"Green Materials","2049-1220","2049-1239",2013-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/gmat",,"","","","free for 2013 (year of launch) Free to all with IPs registered with ICE","ICE Publishing "
"Surface Innovations","2050-6252","2050-6260",2013-01-01,,,,,,"http://www.icevirtuallibrary.com/content/serial/sufi",,"","","","free for 2013 (year of launch) Free to all with IPs registered with ICE","ICE Publishing "
