publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Acoustics, Speech and Signal Processing, IEEE Transactions on","0096-3518","",1974-01-01,22,1,1990-01-01,38,12,"http://ieeexplore.ieee.org/servlet/opac?punumber=29",,"","","","",""
"Acoustics, Speech, and Signal Processing Newsletter, IEEE","","",1974-01-01,28,1,1983-01-01,62,1,"http://ieeexplore.ieee.org/servlet/opac?punumber=8342",,"","","","",""
"Advanced Packaging, IEEE Transactions on","1521-3323","",1999-01-01,22,1,2010-01-01,,99,"http://ieeexplore.ieee.org/servlet/opac?punumber=6040",,"","","","",""
"Aeronautical and Navigational Electronics, IRE Transactions on","0096-1639","",1955-01-01,2,1,1960-01-01,7,4,"http://ieeexplore.ieee.org/servlet/opac?punumber=4201388",,"","","","",""
"Aeronautical and Navigational Electronics, Transactions of the IRE Professional Group on","","",1953-01-01,10,1,1954-01-01,1,4,"http://ieeexplore.ieee.org/servlet/opac?punumber=5062323",,"","","","",""
"Aerospace and Electronic Systems Magazine, IEEE","0885-8985","",1986-01-01,1,1,,,,"http://ieeexplore.ieee.org/servlet/opac?punumber=62",,"","","","",""
"Aerospace and Electronic Systems, IEEE Transactions on","0018-9251","",1965-01-01,1,1,,,,"http://ieeexplore.ieee.org/servlet/opac?punumber=7",,"","","","",""
"Aerospace and Navigational Electronics, IEEE Transactions on","0096-1957","",1963-01-01,10,1,1965-01-01,12,2,"http://ieeexplore.ieee.org/servlet/opac?punumber=4319312",,"","","","",""
"Aerospace and Navigational Electronics, IRE Transactions on","0096-1647","",1961-01-01,8,1,1962-01-01,9,4,"http://ieeexplore.ieee.org/servlet/opac?punumber=5483689",,"","","","",""
"Aerospace, IEEE Transactions on","0536-1516","",1963-01-01,1,1,1965-01-01,3,3,"http://ieeexplore.ieee.org/servlet/opac?punumber=4319334",,"","","","",""
"Affective Computing, IEEE Transactions on","1949-3045","",2010-01-01,1,1,,,,"http://ieeexplore.ieee.org/servlet/opac?punumber=5165369",,"","","","",""
"Airborne Electronics, Transactions of the IRE Professional Group on","","",1952-01-01,6,,1952-01-01,6,,"http://ieeexplore.ieee.org/servlet/opac?punumber=5062335",,"","","","",""
"American Institute of Electrical Engineers, Transactions of the","0096-3860","",1884-01-01,,1,1951-01-01,70,2,"http://ieeexplore.ieee.org/servlet/opac?punumber=4763772",,"","","","",""
"Annals of the History of Computing","0164-1239","",1979-01-01,1,1,1991-01-01,13,4,"http://ieeexplore.ieee.org/servlet/opac?punumber=5488650",,"","","","",""
