publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Classical and Quantum Gravity","0264-9381","",1984-01-01,1,1,,,,"http://iopscience.iop.org/0264-9381",,"","","fulltext","","IOP"
"Journal of Micromechanics and Microengineering","0960-1317","",1991-03-01,1,1,,,,"http://iopscience.iop.org/0960-1317",,"","","fulltext","","IOP"
"Journal of Optics","2040-8978","",2010-01-01,12,1,,,,"http://iopscience.iop.org/2040-8986",,"","","fulltext","","IOP"
"Journal of Physics B: Atomic, Molecular and Optical Physics","0953-4075","",1988-01-14,21,1,,,,"http://iopscience.iop.org/0953-4075",,"","","fulltext","","IOP"
"Journal of Physics D: Applied Physics","0022-3727","",1968-01-01,1,1,,,,"http://iopscience.iop.org/0022-3727",,"","","fulltext","","IOP"
"Journal of Physics G: Nuclear and Particle Physics","0954-3899","",1989-01-01,15,1,,,,"http://iopscience.iop.org/0954-3899",,"","","fulltext","","IOP"
"Journal of Physics: Condensed Matter","0953-8984","",1989-01-09,1,1,,,,"http://iopscience.iop.org/0953-8984",,"","","fulltext","","IOP"
"Journal of Radiological Protection","0952-4746","",1988-03-01,8,1,,,,"http://iopscience.iop.org/0952-4746",,"","","fulltext","","IOP"
"Measurement Science and Technology","0957-0233","",1990-01-01,1,1,,,,"http://iopscience.iop.org/0957-0233",,"","","fulltext","","IOP"
"Metrologia","0026-1394","",1965-01-01,1,1,,,,"http://iopscience.iop.org/0026-1394",,"","","fulltext","","IOP"
"Modelling and Simulation in Materials Science and Engineering","0965-0393","",1992-10-01,1,1,,,,"http://iopscience.iop.org/0965-0393",,"","","fulltext","","IOP"
"Nonlinearity","0951-7715","",1988-02-01,1,1,,,,"http://iopscience.iop.org/0951-7715",,"","","fulltext","","IOP"
"Nuclear Fusion","0029-5515","",1960-01-01,1,1,,,,"http://iopscience.iop.org/0029-5515",,"","","fulltext","","IOP"
"Physica Scripta","0031-8949","",1970-01-01,1,1,,,,"http://iopscience.iop.org/1402-4896",,"","","fulltext","","IOP"
"Physics Education","0031-9120","",1966-05-01,1,1,,,,"http://iopscience.iop.org/0031-9120",,"","","fulltext","","IOP"
"Physics in Medicine and Biology","0031-9155","",1956-07-01,1,1,,,,"http://iopscience.iop.org/0031-9155",,"","","fulltext","","IOP"
"Physiological Measurement","0967-3334","",1993-02-01,14,1,,,,"http://iopscience.iop.org/0967-3334",,"","","fulltext","","IOP"
"Plasma Physics and Controlled Fusion","0741-3335","",1984-02-01,26,2,,,,"http://iopscience.iop.org/0741-3335",,"","","fulltext","","IOP"
"Plasma Sources Science and Technology","0963-0252","",1992-03-01,1,1,,,,"http://iopscience.iop.org/0963-0252",,"","","fulltext","","IOP"
"Reports on Progress in Physics","0034-4885","",1934-01-01,1,1,,,,"http://iopscience.iop.org/0034-4885",,"","","fulltext","","IOP"
"Semiconductor Science and Technology","0268-1242","1361-6641",1986-07-01,1,1,,,,"http://iopscience.iop.org/0268-1242",,"","","fulltext","","IOP"
"Smart Materials and Structures","0964-1726","1361-665X",1992-01-01,1,1,,,,"http://iopscience.iop.org/0964-1726",,"","","fulltext","","IOP"
"Superconductor Science and Technology","0953-2048","1361-6668",1988-06-01,1,1,,,,"http://iopscience.iop.org/0953-2048",,"","","fulltext","","IOP"
"Inverse Problems","0266-5611","",1985-02-01,1,1,,,,"http://iopscience.iop.org/0266-5611",,"","","fulltext","","IOP"
"Laser Physics Letters","1612-2011","1612-202X",2012-01-01,9,1,,,,"http://iopscience.iop.org/1612-202X/",,"10.1002/(ISSN)1612-202X","","fulltext","This title was in Wiley STM and Full Collection 2012 agreement. Perpetual access policies: as per the IOP Publishing Continued Access Policy. ","IOP"
"IOP Conference Series: Earth and Environmental Science","1755-1307","1755-1315",2008-01-01,1,1,,,,"http://iopscience.iop.org/1755-1315",,"","","fulltext","","IOP"
"IOP Conference Series: Materials Science and Engineering","1757-8981","1757-899X",2009-01-01,1,1,,,,"http://iopscience.iop.org/1757-899X",,"","","fulltext","","IOP"
"Advances in Natural Sciences: Nanoscience and Nanotechnology","2043-6254","2043-6262",2010-03-01,1,1,,,,"http://iopscience.iop.org/2043-6262",,"","","fulltext","","IOP"
"Journal of Physics: Conference Series","1742-6588","1742-6596",2004-01-01,1,1,,,,"http://iopscience.iop.org/1742-6596",,"","","fulltext","","IOP"
"Environmental Research Letters","","1748-9326",2006-12-01,1,1,,,,"http://iopscience.iop.org/1748-9326",,"","","fulltext","","IOP"
"Science and Technology of Advanced Materials","1468-6996","1878-5514",2000-03-01,1,1,,,,"http://iopscience.iop.org/1468-6996",,"","","fulltext","","IOP"
"New Journal of Physics","","1367-2630",1998-12-01,1,1,,,,"http://iopscience.iop.org/1367-2630",,"","","fulltext","","IOP"
"Biofabrication","1758-5082","1758-5090",2009-03-01,1,1,,,,"http://iopscience.iop.org/1758-5090",,"","","fulltext","","IOP"
"Bioinspiration & Biomimetics","1748-3182","1748-3190",2006-01-01,1,1,,,,"http://iopscience.iop.org/1748-3190",,"","","fulltext","","IOP"
"Biomedical Materials","1748-6041","1748-605X",2006-01-01,1,1,,,,"http://iopscience.iop.org/1748-605X",,"","","fulltext","","IOP"
"Chinese Journal of Chemical Physics","1674-0068","",2008-02-01,21,1,,,,"http://iopscience.iop.org/1674-0068/",,"","","fulltext","","IOP"
"Chinese Journal of Semiconductors","0253-4177","",1980-01-01,1,1,,,,"http://iopscience.iop.org/0253-4177",,"","","fulltext","Content published in Chinese Journal of Semiconductors between 1980 and 2008 is available (partly in Chinese) at the JoS website","IOP"
"Chinese Physics B","1674-1056","",2008-01-01,17,1,,,,"http://iopscience.iop.org/1674-1056",,"","","fulltext","","IOP"
"Chinese Physics C","1674-1137","",2008-01-01,32,1,,,,"http://iopscience.iop.org/1674-1137",,"","","fulltext","","IOP"
"Chinese Physics Letters","0256-307X","1741-3540",1984-08-01,1,1,,,,"http://iopscience.iop.org/0256-307X",,"","","fulltext","","IOP"
"Communications in Theoretical Physics","0253-6102","",2005-01-01,43,1,,,,"http://iopscience.iop.org/0253-6102",,"","","fulltext","","IOP"
"Computational Science & Discovery","1749-4680","1749-4699",2008-10-01,1,1,,,,"http://iopscience.iop.org/1749-4699",,"","","fulltext","","IOP"
"EPL (Europhysics Letters)","0295-5075","1286-4854",1986-01-01,1,1,,,,"http://iopscience.iop.org/0295-5075",,"","","fulltext","","IOP"
"European Journal of Physics","0143-0807","1361-6404",1980-01-01,1,1,,,,"http://iopscience.iop.org/0143-0807",,"","","fulltext","","IOP"
"Fluid Dynamics Research","0169-5983","1873-7005",1986-08-01,1,1,,,,"http://iopscience.iop.org/1873-7005",,"","","fulltext","","IOP"
"Izvestiya: Mathematics","1064-5632","1468-4810",1995-07-01,59,1,,,,"http://iopscience.iop.org/1064-5632",,"","","fulltext","","IOP"
"Journal of Breath Research","1752-7155","1752-7163",2007-09-01,1,1,,,,"http://iopscience.iop.org/1752-7163",,"","","fulltext","","IOP"
"Journal of Cosmology and Astroparticle Physics","","1475-7516",2003-02-01,2003,2,,,,"http://iopscience.iop.org/1475-7516",,"","","fulltext","","IOP"
"Journal of Geophysics and Engineering","1742-2132","1742-2140",2004-03-01,1,1,,,,"http://iopscience.iop.org/1742-2140",,"","","fulltext","","IOP"
"Journal of Instrumentation","","1748-0221",2006-04-01,1,4,,,,"http://iopscience.iop.org/1748-0221",,"","","fulltext","","IOP"
"Journal of Neural Engineering","1741-2560","1741-2552",2004-03-01,1,1,,,,"http://iopscience.iop.org/1741-2552",,"","","fulltext","","IOP"
"Journal of Physics A: Mathematical and Theoretical","1751-8113","1751-8121",2007-01-05,40,1,,,,"http://iopscience.iop.org/1751-8121",,"","","fulltext","","IOP"
"Journal of Semiconductors","1674-4926","",2009-01-01,30,1,,,,"http://iopscience.iop.org/1674-4926",,"","","fulltext","","IOP"
"Journal of Statistical Mechanics: Theory and Experiment","","1742-5468",2004-01-01,2004,3,,,,"http://iopscience.iop.org/1742-5468",,"","","fulltext","","IOP"
"Nanotechnology","0957-4484","1361-6528",1990-07-01,,,,,,"http://iopscience.iop.org/0957-4484",,"","","fulltext","","IOP"
"Physical Biology","","1478-3975",2004-03-01,1,1,,,,"http://iopscience.iop.org/1478-3975",,"","","fulltext","","IOP"
"Physics-Uspekhi","1063-7869","1468-4780",1993-01-01,36,1,,,,"http://iopscience.iop.org/1063-7869",,"","","fulltext","","IOP"
"Plasma Science and Technology","1009-0630","",1999-01-01,1,1,,,,"http://iopscience.iop.org/1009-0630",,"","","fulltext","","IOP"
"Quantum Electronics","1063-7818","1468-4799",1993-01-01,23,1,,,,"http://iopscience.iop.org/1063-7818",,"","","fulltext","","IOP"
"Research in Astronomy and Astrophysics","1674-4527","",2009-01-01,9,1,,,,"http://iopscience.iop.org/1674-4527",,"","","fulltext","","IOP"
"Russian Academy of Sciences. Sbornik Mathematics","1064-5616","",1995-07-01,186,1,,,,"http://iopscience.iop.org/1064-5616",,"","","fulltext","","IOP"
"Russian Chemical Reviews","0036-021X","1468-4837",1960-01-01,29,1,,,,"http://iopscience.iop.org/0036-021X",,"","","fulltext","","IOP"
"Russian Mathematical Surveys","0036-0279","1468-4829",1960-01-01,15,1,,,,"http://iopscience.iop.org/0036-0279",,"","","fulltext","","IOP"
"Science Foundation in China","1005-0841","",2008-01-01,16,1,,,,"http://iopscience.iop.org/1005-0841/",,"","","fulltext","","IOP"
"Methods and Applications in Fluorescence ","","2050-6120",2013-01-01,,,,,,"http://iopscience.iop.org/2050-6120",,"","","fulltext","MAF is freely available electronically until the end of 2013","IOP"
