publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"AI Communications","0921-7126","1875-8452",1987-01-01,0,1,,,,"http://iospress.metapress.com/content/103140",,"","","","","IOS Press"
"Analytical Cellular Pathology","2210-7177","2210-7185",1997-01-01,13,1,,,,"http://iospress.metapress.com/content/121830",,"","","","","IOS Press"
"Applied Bionics and Biomechanics","1176-2322","1754-2103",2003-01-01,1,1,,,,"http://iospress.metapress.com/content/122258",,"","","","","IOS Press"
"Applied Ontology","1570-5838","1875-8533",2005-01-01,1,1,,,,"http://iospress.metapress.com/content/119850",,"","","","","IOS Press"
"Asian Journal of Water, Environment and Pollution","0972-9860","1875-8568",2004-01-01,1,1,,,,"http://iospress.metapress.com/content/112105",,"","","","","IOS Press"
"Asymptotic Analysis","0921-7134","1875-8576",1998-01-01,16,1,,,,"http://iospress.metapress.com/content/103142",,"","","","","IOS Press"
"Behavioural Neurology","0953-4180","1875-8584",1998-01-01,11,1,,,,"http://iospress.metapress.com/content/103143",,"","","","","IOS Press"
"Bio-Medical Materials and Engineering","0959-2989","1878-3619",1997-01-01,7,6,,,,"http://iospress.metapress.com/content/103145",,"","","","","IOS Press"
"BioFactors","0951-6433","1872-8081",1997-01-01,6,1,2008-01-01,34,4,"http://iospress.metapress.com/content/103144",,"","","","","IOS Press"
"Breast Disease","0888-6008","1558-1551",1998-01-01,10,1,,,,"http://iospress.metapress.com/content/105653",,"","","","","IOS Press"
"Bridge Structures - Assessment, Design & Construction","1573-2487","1744-8999",2005-01-01,1,1,,,,"http://iospress.metapress.com/content/121802",,"","","","","IOS Press"
"Cancer Biomarkers","1574-0153","1875-8592",2005-01-01,1,1,,,,"http://iospress.metapress.com/content/113507",,"","","","","IOS Press"
"Cellular Oncology","1570-5870","1875-8606",2004-01-01,24,,2010-01-01,32,05-Jun,"http://iospress.metapress.com/content/111799",,"","","","","IOS Press"
"Cheminformatics","1572-4778","1875-8614",2004-01-01,1,1,2004-01-01,1,1,"http://iospress.metapress.com/content/112106",,"","","","","IOS Press"
"Climate law","1878-6553","1878-6561",2010-01-01,1,1,,,,"http://iospress.metapress.com/content/121801",,"","","","","IOS Press"
"Clinical Hemorheology and Microcirculation","1386-0291","1875-8622",1997-01-01,17,1,,,,"http://iospress.metapress.com/content/103148",,"","","","","IOS Press"
"Disease Markers","0278-0240","1875-8630",1998-01-01,14,1,,,,"http://iospress.metapress.com/content/105291",,"","","","","IOS Press"
"Education for Information","0167-8329","1875-8649",1998-01-01,16,4,,,,"http://iospress.metapress.com/content/103150",,"","","","","IOS Press"
"Electronic Journal of Pathology and Histology","0948-0382","",2000-01-01,6,1,2003-01-01,8,1,"http://iospress.metapress.com/content/300306",,"","","","","IOS Press"
"Environmental Policy and Law","0378-777X","1878-5395",1999-01-01,29,1,,,,"http://iospress.metapress.com/content/103151",,"","","","","IOS Press"
"Fundamenta Informaticae","0169-2968","1875-8681",1994-01-01,20,1,,,,"http://iospress.metapress.com/content/300178",,"","","","","IOS Press"
"Human Antibodies","1093-2607","1875-869X",1999-01-01,9,1,,,,"http://iospress.metapress.com/content/103153",,"","","","","IOS Press"
"Human Systems Management","0167-2533","1875-8703",1998-01-01,17,1,,,,"http://iospress.metapress.com/content/103154",,"","","","","IOS Press"
"I-Ways: The Journal of E-Government Policy and Regulation","1084-4678","1875-8886",2003-01-01,26,1,2009-01-01,32,4,"http://iospress.metapress.com/content/110309",,"","","","","IOS Press"
