publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Biology of Reproduction","0006-3363","",1969-01-01,,,,,,"http://www.biolreprod.org ",,"","","","","Society for the Study of Reproduction"
"Molecular Biology of the Cell","1059-1524","1939-4586",1998-01-01,,,,,,"http://www.molbiolcell.org ",,"","","","","American Society for Cell Biology"
"Journal of Animal Science","0021-8812","1525-3163",1910-01-01,,,,,,"http://jas.fass.org ",,"","","","","American Society of Animal Science"
"American Journal of Neuroradiology","0195-6108","1936-959X",1995-01-01,,,,,,"http://www.ajnr.org ",,"","","","","American Society of Neuroradiology"
"American Journal of Audiology","1059-0889","1558-9137",2010-01-01,,,,,,"http://aja.asha.org ",,"","","","","American Speech-Language-Hearing Association"
"American Journal of Speech-Language Pathology","1058-0360","1558-9110",2010-01-01,,,,,,"http://ajslp.asha.org ",,"","","","","American Speech-Language-Hearing Association"
"Journal of Speech, Language, and Hearing Research","1092-4388","1558-9102",2010-01-01,,,,,,"http://jslhr.asha.org ",,"","","","","American Speech-Language-Hearing Association"
"Language, Speech, and Hearing Services in Schools","0161-1461","1558-9129",2010-01-01,,,,,,"http://lshss.asha.org ",,"","","","","American Speech-Language-Hearing Association"
"Endocrine-Related Cancer","1351-0088","1479-6821",2012-01-01,,,,,,"http://erc.endocrinology-journals.org ",,"","","","","BioScientifica"
"Journal of Endocrinology","0022-0795","1479-6805",2012-01-01,,,,,,"http://joe.endocrinology-journals.org ",,"","","","","BioScientifica"
"Journal of Molecular Endocrinology","0952-5041","1479-6813",2012-01-01,,,,,,"http://jme.endocrinology-journals.org ",,"","","","","BioScientifica"
"European Journal of Endocrinology","0804-4643","1479-683X",2012-01-01,,,,,,"http://www.eje-online.org ",,"","","","","BioScientifica"
"Reproduction","1470-1626","1741-7899",2012-01-01,,,,,,"http://www.reproduction-online.org ",,"","","","","BioScientifica"
"Journal of Bone & Joint Surgery, British Volume","0301-620X","2044-5377",2008-01-01,,,2012-01-01,94-B,12,"http://web.jbjs.org.uk ",,"","","","Changing name to Bone & Joint Journal from Jan 2013","British Editorial Society of Bone and Joint Surgery"
"Development","0950-1991","1477-9129",1953-01-01,,,,,,"http://dev.biologists.org ",,"","","","","Company of Biologists"
"Journal of Cell Science","0021-9533","1477-9137",1853-01-01,,,,,,"http://jcs.biologists.org ",,"","","","","Company of Biologists"
"Journal of Experimental Biology","0022-0949","1477-9145",1923-01-01,,,,,,"http://jeb.biologists.org ",,"","","","","Company of Biologists"
"Limnology and Oceanography: Fluids and Environments","","2157-3689",2011-01-01,,,,,,"http://lofe.dukejournals.org/",,"","","","","Duke University Press"
"European Respiratory Journal","0903-1936","1399-3003",2012-01-01,,,,,,"http://erj.ersjournals.com ",,"","","","","European Respiratory Society"
"European Respiratory Monograph","1025-448x","2075-6674",2012-01-01,,,,,,"http://erm.ersjournals.com/",,"","","","","European Respiratory Society"
"Genetics","0016-6731","1943-2631",1916-01-01,,,,,,"http://www.genetics.org ",,"","","","","Genetics Society of America"
"Poultry Science","0032-5791","1525-3171",2012-01-01,,,,,,"http://ps.fass.org ",,"","","","","Poultry Science Association, Inc."
"Advances in Psychiatric Treatment","1355-5146","1472-1481",1977-01-01,,,,,,"http://apt.rcpsych.org ",,"","","","","Royal College of Psychiatrists"
"British Journal of Psychiatry","0007-1250","1472-1465",1855-01-01,,,,,,"http://bjp.rcpsych.org ",,"","","","","Royal College of Psychiatrists"
"The Psychiatrist","1758-3209","1758-3217",1994-01-01,,,,,,"http://pb.rcpsych.org ",,"","","","","Royal College of Psychiatrists"
"Journal of Nuclear Medicine Technology","0091-4916","1535-5675",1997-01-01,,,,,,"http://tech.snmjournals.org ",,"","","","","Society of Nuclear Medicine"
"Journal of Nuclear Medicine","0161-5505","2159-662X",1964-01-01,,,,,,"http://jnm.snmjournals.org ",,"","","","","Society of Nuclear Medicine"
"Health Affairs","0278-2715","1544-5208",1981-01-01,,,,,,"http://content.healthaffairs.org ",,"","","","","Project HOPE (People-to-People Health Foundation)"
"CBE-Life Sciences Education","1931-7913","",2008-01-01,,,,,,"http://www.lifescied.org ",,"","","","","American Society for Cell Biology"
"Disease Models & Mechanisms","1754-8411","1754-8403",2008-01-01,,,,,,"http://dmm.biologists.org ",,"","","","","Company of Biologists"
"European Respiratory Review","1600-0617","0905-9180",2008-01-01,,,,,,"http://err.ersjournals.com ",,"","","","","European Respiratory Society"
"Animal Frontiers ","2160-6064","2160-6056",2011-01-01,,,,,,"http://animalfrontiers.fass.org/",,"","","","","American Society of Animal Science"
"G3: Genes/Genomes/Genetics (Open Access)","2160-1836","",2011-01-01,,,,,,"http://www.g3journal.org/",,"","","","","Genetics Society of America"
"Biology Open (Open Access)","2046-6390","",2012-01-01,,,,,,"http://bio.biologists.org/",,"","","","","Company of Biologists"
"Bone and Joint Research","","2046-3758",2012-01-01,,,,,,"http://www.bjr.boneandjoint.org.uk/",,"","","","","British Editorial Society of Bone and Joint Surgery"
"Drug Metabolism and Disposition","","1521-009x",1973-01-01,1,1,,,,"http://dmd.aspetjournals.org/",,"","","","",""
"Molecular Pharmacology","","1521-0111",1965-01-01,1,1,,,,"http://molpharm.aspetjournals.org/",,"","","","",""
"Pharmacological Reviews","","1521-0081",1949-01-01,1,1,,,,"http://pharmrev.aspetjournals.org/",,"","","","",""
"The Journal of Pharmacology and Experimental Therapeutics","","1521-0103",1909-01-01,1,1,,,,"http://jpet.aspetjournals.org/",,"","","","",""
"Endocrine Connections ","","2049-3614",2012-01-01,,,,,,"http://www.endocrineconnections.com/",,"","","","","BioScientifica"
