publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Indoor and Built Environment","1420-326X","1423-0070",1998-01-01,7,1,2002-01-01,11,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0070",,"","","fulltext","Ceased publication ","SAGE"
"Acta Cytologica","0001-5547","1938-2650",1996-01-01,40,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1938-2650",,"","","fulltext","New at Karger in 2011, formerly published by Science Printers and Publishers","S. Karger AG"
"Acta Haematologica","0001-5792","1421-9662",1998-01-01,99,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9662",,"","","fulltext","","S. Karger AG"
"American Journal of Nephrology","0250-8095","1421-9670",1998-01-01,18,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9670",,"","","fulltext","","S. Karger AG"
"Annales Nestlé","0517-8606","1661-4011",2006-01-01,64,1,2010-01-01,68,3,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4011",,"","","fulltext","Ceased publication ","S. Karger AG"
"Annales Nestlé - German Edition","0250-9652","1661-3740",2006-01-01,64,1,2008-01-01,66,3,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3740",,"","","fulltext","Ceased publication ","S. Karger AG"
"Annales Nestlé - French Edition ","0250-9644","1661-3732",2006-01-01,64,1,2010-01-01,68,3,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3732",,"","","fulltext","Ceased publication ","S. Karger AG"
" Annales Nestlé - Spanish Edition","0252-8185","1661-4003",2006-01-01,64,1,2010-01-01,68,3,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4003",,"","","fulltext","Ceased publication ","S. Karger AG"
"Analytische Psychologie","0301-3006","1421-9689",1998-01-01,29,1,2003-01-01,34,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9689",,"","","fulltext","Change of publisher","S. Karger AG"
"Annals of Nutrition and Metabolism","0250-6807","1421-9697",1998-01-01,42,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9697",,"","","fulltext","","S. Karger AG"
"Audiology and Neurotology","1420-3030","1421-9700",1998-01-01,3,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9700",,"","","fulltext","","S. Karger AG"
"Biological Signals and Receptors","1422-4933","1422-4992",1998-01-01,7,1,2001-01-01,10,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1422-4992",,"","","fulltext","Title change to NeuroSignals ","S. Karger AG"
