publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Ambix:  The Journal of the Society for the History of Alchemy and Chemistry","0002-6980","1745-8234",1937-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/amb",,"","","Full text","","Maney Publishing"
"Arms & Armour","1741-6124","1749-6268",2004-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/aaa",,"","","Full text","","Maney Publishing"
"Byzantine and Modern Greek Studies","0307-0131","1749-625X",1975-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/byz",,"","","Full text","","Maney Publishing"
"Costume:  Journal of the Costume Society","0590-8876","1749-6306",1965-01-01,1,2,,,,"http://www.ingentaconnect.com/content/maney/cos",,"","","Full text","","Maney Publishing"
"Dress","0361-2112","2042-1729",1975-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/dre",,"","","Full text","","Maney Publishing"
"Dutch Crossing","0309-6564","1759-7854",2009-01-01,33,1,,,,"http://www.ingentaconnect.com/content/maney/dtc",,"","","Full text","","Maney Publishing"
"Early Medieval China","1529-9104","1946-7842",1994-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/emc",,"","","Full text","","Maney Publishing"
"English Heritage Historical Review","1752-0169","2046-9187",2006-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ehr",,"","","Full text","New for 2012","Maney Publishing"
"Exemplaria:  A Journal of Theory in Medieval Renaissance Studies","1041-2573","1753-3074",1989-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/exm",,"","","Full text","","Maney Publishing"
"Family & Community History","1463-1180","1751-3812",2006-01-01,9,1,,,,"http://www.ingentaconnect.com/content/maney/fch",,"","","Full text","","Maney Publishing"
"Folk Life:  Journal of Ethnological Studies","0430-8778","1759-670X",1963-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/flk",,"","","Full text","","Maney Publishing"
"Interdisciplinary Science Reviews","0308-0188","1743-2790",1976-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/isr",,"","","Full text","","Maney Publishing"
"Labour History review","0961-5652","1745-8188",2005-01-01,70,1,2011-01-01,76,3,"http://www.ingentaconnect.com/content/maney/lhr",,"","","Full text","","Maney Publishing"
"Library & Information History ","1758-3489","1758-3497",2009-01-01,25,1,,,,"http://www.ingentaconnect.com/content/maney/lih",,"","","Full text","Formerly Library History","Maney Publishing"
"Library History","","0024-2306",1971-01-01,2,3,2008-01-01,24,4,"http://www.ingentaconnect.com/content/maney/lbh",,"","","Full text","Now published as Library & Information History ","Maney Publishing"
"Medieval Sermon Studies","1366-0691","1749-6276",2006-01-01,50,,,,,"http://www.ingentaconnect.com/content/maney/mss",,"","","Full text","","Maney Publishing"
"Ming Studies","0147-037X","1759-7595",1975-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/mng",,"","","Full text","","Maney Publishing"
"Northern History","0078-172X","1745-8706",1966-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/nhi",,"","","Full text","","Maney Publishing"
"Studies in Conservation","0039-3630","2047-0584",1980-01-01,,,,,,"http://www.ingentaconnect.com/content/maney/sic",,"","","Full text","New for 2012","Maney Publishing"
"T'ang Studies","0737-5034","1759-7633",1982-01-01,1982,1,,,,"http://www.ingentaconnect.com/content/maney/tang",,"","","Full text","","Maney Publishing"
"Terrae Incognitae","0082-2884","2040-8706",1969-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/tin",,"","","Full text","","Maney Publishing"
"Textile History","0040-4969","1743-2952",1968-01-01,,1,,,,"http://www.ingentaconnect.com/content/maney/tex",,"","","Full text","","Maney Publishing"
"The Chinese Historical Review","1547-402X","2048-7827",2007-01-01,14,1,,,,"http://www.ingentaconnect.com/content/maney/tcr",,"","","Full text","","Maney Publishing"
"The International Journal for the History of Engineering & Technology ","1758-1206","1758-1214",2009-01-01,79,1,,,,"http://www.ingentaconnect.com/content/maney/het",,"","","Full text","Formerly Transactions of the Newcommen Society","Maney Publishing"
"Twentieth-Century China","1521-5385","1940-5065",1997-01-01,23,1,,,,"http://www.ingentaconnect.com/content/maney/tcc",,"","","Full text","","Maney Publishing"
"Usus Antiquior","1757-8949","2041-0999",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/usu",,"","","Full text","","Maney Publishing"
"Vernacular Architecture","0305-5477","1749-6292",1970-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/vea",,"","","Full text","","Maney Publishing"
"War & Society","0729-2473","2042-4345",1983-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/war",,"","","Full text","","Maney Publishing"
"Yorkshire Archaelogical Journal","0084-4276","2045-0664",2010-01-01,82,,,,,"http://www.ingentaconnect.com/content/maney/yaj",,"","","Full text","","Maney Publishing"
"Conservation and Management of Archaelogical Sites","1350-5033","1753-5522",1995-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/cma",,"","","Full text","","Maney Publishing"
"Environmental Archaeology","1461-4103","1749-6314",1996-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/env",,"","","Full text","","Maney Publishing"
"European Journal of Archaeology","1461-9571","1741-2722",1998-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/eja",,"","","Full text","Previously called Journal of European Archaeology till 1998","Maney Publishing"
"Industrial Archaeology Review","0309-0728","1745-8196",1976-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/iar",,"","","Full text","","Maney Publishing"
"Journal of Conflict Archaeology","1574-0773","1574-0781",2005-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/jca",,"","","Full text","","Maney Publishing"
"Journal of Field Archaeology","0093-4690","2042-4582",1974-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/jfa",,"","","Full text","","Maney Publishing"
"Journal of the British Archaeological Association","0068-1288","1747-6704",1980-01-01,133,1,,,,"http://www.ingentaconnect.com/content/maney/jba",,"","","Full text","","Maney Publishing"
"Language & History","1759-7536","1759-7544",2009-01-01,52,1,,,,"http://www.ingentaconnect.com/content/maney/lhi",,"","","Full text","","Maney Publishing"
"Levant ","0075-8914","1756-3801",1969-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/lev",,"","","Full text","","Maney Publishing"
"Medieval Archaeology","0076-6097","1745-817X",2000-01-01,,,,,,"http://www.ingentaconnect.com/content/maney/med",,"","","Full text","","Maney Publishing"
"Palestine Exploration Quarterly","0031-0328","1743-1301",1965-01-01,136,1,,,,"http://www.ingentaconnect.com/content/maney/peq",,"","","Full text","","Maney Publishing"
"Post-Medieval Archaeology","0079-4236","1745-8137",2005-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/pma",,"","","Full text","","Maney Publishing"
"Public Archaeology","1465-5187","1753-5530",2000-01-01,,1,,,,"http://www.ingentaconnect.com/content/maney/pua",,"","","Full text","","Maney Publishing"
"Survey Review","0039-6265","1752-2706",1931-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/sre",,"","","Full text","","Maney Publishing"
"Tel Aviv:  Journal of the Institute of Archaeology of Tel Aviv University","0334-4355","2040-4786",1974-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/tav",,"","","Full text","","Maney Publishing"
"The Historic Environment: Policy & Practice","1756-7505","1756-7513",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/hen",,"","","Full text","","Maney Publishing"
"Advances in Applied Ceramics: Structural, Functional and Bioceramics","1743-6753","1743-6761",2005-01-01,104,1,,,,"http://www.ingentaconnect.com/content/maney/aac",,"","","Full text","","Maney Publishing"
"Applied Earth Science (Transactions of the Institutions of Mining and Metallurgy: Section B)","0371-7453","1743-2758",2000-01-01,109,1,,,,"http://www.ingentaconnect.com/content/maney/aes",,"","","Full text","","Maney Publishing"
"Bubble Science, Engineering & Technology","1758-8960","1758-8979",2009-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/bub",,"","","Full text","","Maney Publishing"
"Canadian Metallurgical Quarterly ","0008-4433","1879-1395",1962-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/cmq",,"","","Full text","","Maney Publishing"
"Corrosion Engineering, Science and Technology","1478-422X","1743-2782",2003-01-01,38,1,,,,"http://www.ingentaconnect.com/content/maney/cest",,"","","Full text","Previously published as British Corrosion Journal","Maney Publishing"
"Imaging Science Journal, The","1368-2199","1743-131X",2004-01-01,52,1,,,,"http://www.ingentaconnect.com/content/maney/isj",,"","","Full text","","Maney Publishing"
"International Journal of Cast Metals Research","1364-0461","1743-1336",2004-01-01,17,1,,,,"http://www.ingentaconnect.com/content/maney/ijcmr",,"","","Full text","","Maney Publishing"
"International Materials Reviews","0950-6608","1743-2804",1956-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/imr",,"","","Full text","","Maney Publishing"
"International Wood Products Journal ","2042-6445","2042-6453",2010-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/iwp",,"","","Full text","Formerly The Journal of the Institute of Wood Science","Maney Publishing"
"Ironmaking & Steelmaking: Processes, Products and Applications","0301-9233","1743-2812",1999-01-01,26,1,,,,"http://www.ingentaconnect.com/content/maney/ias",,"","","Full text","","Maney Publishing"
"Journal of the Energy Institute","1743-9671","1746-0220",2005-01-01,78,1,,,,"http://www.ingentaconnect.com/content/maney/eni",,"","","Full text","","Maney Publishing"
"Materials Research Innovations","","1433-075X",2006-01-01,10,1,,,,"http://www.ingentaconnect.com/content/maney/mri",,"","","Full text","","Maney Publishing"
"Materials Science and Technology","0267-0836","1743-2847",1985-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/mst",,"","","Full text","","Maney Publishing"
"Materials Technology: Advanced Performance Materials","1066-7857","1753-5557",2006-01-01,21,1,,,,"http://www.ingentaconnect.com/content/maney/mte",,"","","Full text","","Maney Publishing"
"Mineral Processing and Extractive Metallurgy (Transactions of the Institutions of Mining and Metallurgy: Section C)","0371-9553","1743-2855",2000-01-01,109,1,,,,"http://www.ingentaconnect.com/content/maney/mpem",,"","","Full text","","Maney Publishing"
"Packaging, Transport, Storage & Security of Radioactive Material","1746-5095","1746-5109",2004-01-01,15,1,,,,"http://www.ingentaconnect.com/content/maney/ptssrm",,"","","Full text","","Maney Publishing"
"Plastics, Rubber and Composites:  Macromolecular Engineering","1465-8011","1743-2898",1999-01-01,28,1,,,,"http://www.ingentaconnect.com/content/maney/prc",,"","","Full text","","Maney Publishing"
"Powder Metallurgy","0032-5899","1743-2901",1976-01-01,,1,,,,"http://www.ingentaconnect.com/content/maney/pm",,"","","Full text","","Maney Publishing"
"Science and Technology of Welding and Joining ","","1743-2936",1996-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/stwj",,"","","Full text","","Maney Publishing"
"Surface Engineering","0267-0844","1743-2944",1985-01-01,15,1,,,,"http://www.ingentaconnect.com/content/maney/se",,"","","Full text","","Maney Publishing"
"Transactions of the Institute of Metal Finishing","0020-2967","1745-9192",2005-01-01,83,1,,,,"http://www.ingentaconnect.com/content/maney/imf",,"","","Full text","","Maney Publishing"
"Tribology - Materials, Surfaces & Interfaces","1751-5831","1751-584X",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/trb",,"","","Full text","","Maney Publishing"
"Bronte Society Transactions","0309-7765","",1895-01-01,1,1,2001-01-01,26,2,"http://www.ingentaconnect.com/content/maney/bronsoc",,"","","Full text","Original title of Brontë Studies","Maney Publishing"
"Bronte Studies","1474-8932","1745-8226",2002-01-01,27,1,,,,"http://www.ingentaconnect.com/content/maney/bst",,"","","Full text","Previously published as Bronte Society Transactions: The Journal of Bronte Studies till 2001","Maney Publishing"
"Central Europe","1479-0963","1745-8218",2003-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ceu",,"","","Full text","","Maney Publishing"
"Comparative American Studies","1477-5700","1741-2676",2003-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/cas",,"","","Full text","","Maney Publishing"
"Competition & Change","1024-5294","1477-2221",2002-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/com",,"","","Full text","","Maney Publishing"
"Dix-Neuf ","","1478-7318",2003-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/dix",,"","","Full text","","Maney Publishing"
"Hispanic Research Journal","1468-2737","1745-820X",2000-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/hrj",,"","","Full text","","Maney Publishing"
"Italian Culture","0161-4622","1559-0909",1978-01-01,,,,,,"http://www.ingentaconnect.com/content/maney/itc",,"","","Full text","","Maney Publishing"
"Italian Studies","0075-1634","1748-6181",1937-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/its",,"","","Full text","","Maney Publishing"
"Midland History","0047-729X","1756-381X",1971-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/mdh",,"","","Full text","","Maney Publishing"
"Names:  A Journal of Onomastics","0027-7738","1756-2279",1953-01-01,,,,,,"http://www.ingentaconnect.com/content/maney/nam",,"","","Full text","","Maney Publishing"
"Oxford German Studies","0078-7191","1745-9214",1966-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/ogs",,"","","Full text","","Maney Publishing"
"Publications of the English Goethe Society","0959-3683","1749-6284",2006-01-01,75,1,,,,"http://www.ingentaconnect.com/content/maney/peg",,"","","Full text","","Maney Publishing"
"Romance Studies","0263-9904","1745-8153",1982-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ros",,"","","Full text","","Maney Publishing"
"Seventeenth-Century French Studies","0265-1068","1752-2692",1979-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/c17",,"","","Full text","","Maney Publishing"
"Slavonica ","1361-7427","1745-8145",1994-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/sla",,"","","Full text","","Maney Publishing"
"The Cartographic Journal","0008-7041","1743-2774",1964-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/caj",,"","","Full text","","Maney Publishing"
"The Italianist","0261-4340","1748-619X",1981-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ita",,"","","Full text","","Maney Publishing"
"The Keats-Shelley Review","0952-4142","2042-1362",1987-01-01,24,1,,,,"http://www.ingentaconnect.com/content/maney/ksr",,"","","Full text","","Maney Publishing"
"The London Journal:  A Review of Metropolitan Society Past and Present","0305-8034","1749-6322",1975-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ldn",,"","","Full text","","Maney Publishing"
"Cochlear Implants International","1467-0100","1754-7628",2000-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/cii",,"","","Full text","","Maney Publishing"
"Deafness & Education International","1464-3154","1557-069X",1999-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/dei",,"","","Full text","","Maney Publishing"
"Hematology","1024-5332","1607-8454",2002-01-01,7,2,,,,"http://www.ingentaconnect.com/content/maney/hem",,"","","Full text","","Maney Publishing"
"International Journal of Developmental Disabilities","2047-3869","2047-3877",2012-01-01,58,1,,,,"http://www.ingentaconnect.com/content/maney/jdd",,"","","Full text","Previously called British Journal of Developmental Disabilities","Maney Publishing"
"International Musculoskeletal Medicine","1753-6146","1753-6154",2008-01-01,30,1,,,,"http://www.ingentaconnect.com/content/maney/imm",,"","","Full text","","Maney Publishing"
"Journal of Care Services Management","1750-1679","1750-1687",2006-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/csm",,"","","Full text","","Maney Publishing"
"Journal of Communication in Healthcare","1753-8068","1753-8076",2008-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/cih",,"","","Full text","","Maney Publishing"
"Journal of Histotechnology","0147-8885","2046-0236",1977-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/his",,"","","Full text","","Maney Publishing"
"International Journal of Healthcare Management","2047-9700","2047-9719",2012-01-01,5,1,,,,"http://www.ingentaconnect.com/content/maney/ihm",,"","","Full text","Formerly Journal of Management & Marketing in Healthcare","Maney Publishing"
"Journal of Manual & Manipulative Therapy","1066-9817","2042-6186",1993-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/jmt",,"","","Full text","","Maney Publishing"
"Journal of Orthodontics","1465-3125","1465-3133",1997-01-01,,,,,,"http://jorthod.maneyjournals.org/",,"","","Full text","","Maney Publishing"
"Journal of Spinal Cord Medicine","1079-0268","2045-7723",2011-01-01,34,1,,,,"http://www.ingentaconnect.com/content/maney/scm",,"","","Full text","","Maney Publishing"
"Medical Writing","2047-4806","2047-4814",2012-01-01,21,1,,,,"http://www.ingentaconnect.com/content/maney/mew",,"","","Full text","New for 2012","Maney Publishing"
"Neurological Research","0161-6412","1743-1328",2001-01-01,23,1,,,,"http://www.ingentaconnect.com/content/maney/nres",,"","","Full text","","Maney Publishing"
"Nutritional Neuroscience ","","1476-8305",2002-01-01,5,3,,,,"http://www.ingentaconnect.com/content/maney/nns",,"","","Full text","","Maney Publishing"
"Paediatrics and International Child Health ","2046-9047","2046-9055",2012-01-01,,,,,,"http://www.ingentaconnect.com/content/maney/pch",,"","","Full text","","Maney Publishing"
"Pathogens and Global Health ","2047-7724","2047-7732",2012-01-01,106,1,,,,"http://www.ingentaconnect.com/content/maney/pgh",,"","","Full text","Previously called Annals of Tropical Medicine and Parasitology","Maney Publishing"
"Pharmaceutical Programming","1757-0921","1757-093X",2008-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/pha",,"","","Full text","","Maney Publishing"
"Physical Therapy Reviews","1083-3196","1743-288X",1996-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ptr",,"","","Full text","","Maney Publishing"
"Progress in Palliative Care","0969-9260","1743-291X",2003-01-01,11,1,,,,"http://www.ingentaconnect.com/content/maney/ppc",,"","","Full text","","Maney Publishing"
"Redox Report ","","1743-2928",1999-01-01,4,1,,,,"http://www.ingentaconnect.com/content/maney/rer",,"","","Full text","","Maney Publishing"
"British Journal of Developmental Disabilities","0969-7950","",1998-01-01,44,86,2011-01-01,57,113,"http://www.ingentaconnect.com/content/maney/bjdd",,"","","Full text","In 2012 changed its name to International Journal of Developmental Disabilities","Maney Publishing"
"British Ceramic Transactions","0967-9782:","1743-2766",1999-01-01,98,1,2004-01-01,103,6,"http://www.ingentaconnect.com/content/maney/bct",,"","","Full text","","Maney Publishing"
"British Corrosion Journals","0007-0599","",1965-01-01,1,1,2002-01-01,37,4,"http://www.ingentaconnect.com/content/maney/bcj",,"","","Full text","Now published as Corrosion Engineering, Science and Technology","Maney Publishing"
"Bulletin for the Council for British Research in the Levant ","1752-7260","1752-7279",2006-01-01,1,1,2011-01-01,6,1,"http://www.ingentaconnect.com/content/maney/brl",,"","","Full text","","Maney Publishing"
"Energy Materials","1748-9237","1748-9245",2006-01-01,1,1,2009-01-01,4,3,"http://www.ingentaconnect.com/content/maney/ema",,"","","Full text","","Maney Publishing"
"International Metallurgical Reviews","0367-9020","",1972-01-01,17,1,1975-01-01,20,,"http://www.ingentaconnect.com/content/maney/imtlr",,"","","Full text","Previous title of International Materials Reviews","Maney Publishing"
"International Metals Reviews","0308-4590","",1976-01-01,21,,1986-01-01,31,,"http://www.ingentaconnect.com/content/maney/imtr",,"","","Full text","Previous title of International Materials Reviews","Maney Publishing"
"Journal of Bryology","0373-6687","1743-2820",1972-01-01,7,1,,,,"http://www.ingentaconnect.com/content/maney/jbr",,"","","Full text","","Maney Publishing"
"Metal Science","0306-3453","",1967-01-01,1,1,1984-01-01,18,12,"http://www.ingentaconnect.com/content/maney/msc",,"","","Full text","In 1985 Metal Science was incorporated into Material Science and Technology","Maney Publishing"
"Metallurgical Review","0076-6690","",1956-01-01,1,,1971-01-01,16,,"http://www.ingentaconnect.com/content/maney/mtlr",,"","","Full text","Previous title of International Materials Reviews","Maney Publishing"
"Mining Technology (Transactions of the Institutions of Mining and Metallurgy: Section A)","1474-9009","1743-2863",2000-01-01,109,1,,,,"http://www.ingentaconnect.com/content/maney/mint",,"","","Full text","","Maney Publishing"
"New Journal of Botany: Journal of the Botanical Society of the British Isles ","2042-3489","2042-3497",2011-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/njb",,"","","Full text","Formerly Watsonia: Journal of the Botanical Society of the British Isles","Maney Publishing"
"Pain Clinic","0169-1112","1568-5691",2000-01-01,12,1,2007-01-01,19,6,"http://www.ingentaconnect.com/content/maney/tpc",,"","","Full text","","Maney Publishing"
"The Journal of the Institute of Wood Science","0020-3203","2041-9430",2005-01-01,17,1,2009-01-01,19,2,"http://www.ingentaconnect.com/content/maney/wsc",,"","","Full text","In 2010  published as International Wood Products Journal","Maney Publishing"
"Transactions of the Newcomen Society","0372-0187","",2006-01-01,76,1,2008-01-01,78,2,"http://www.ingentaconnect.com/content/maney/tns",,"","","Full text","From 2009 onwards published as the International Journal for the History of Engineering & Technology","Maney Publishing"
"International Journal of Occupational & Environmental Health","1077-3525","2049-3967",1995-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/oeh",,"","","Full text","","Maney Publishing"
"Annals of Tropical Medicine & Parasitology","0003-4983","1364-8594",2002-01-01,93,1,2011-01-01,105,7,"http://www.ingentaconnect.com/content/maney/atmp",,"","","Full text","","Maney Publishing"
"Annals of Tropical Paediatrics","0272-4936","1465-3281",2002-01-01,22,1,2011-01-01,31,4,"http://www.ingentaconnect.com/content/maney/atp",,"","","Full text","","Maney Publishing"
"International Heat Treatment & Surface Engineering","1749-5156","",2007-01-01,,,,,,"http://www.ingentaconnect.com/content/maney/isr",,"","","Full text","New to collection for 2013","Maney Publishing"
"International Journal of Geotechnical Engineering","1938-6362","1939-7879",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ige",,"","","Full text","","Maney Publishing"
"International Journal of Regional and Local History","2051-4549","",2005-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/jrl",,"","","Full text","New for 2013  ","Maney Publishing"
"Journal of Chemotherapy","1120-009x","1973-9478",1995-01-01,7,1,,,,"http://www.ingentaconnect.com/content/maney/joc",,"","","Full text","","Maney Publishing"
"Journal of Chinese Religions","0737-769X","2050-8999",1980-01-01,8,1,,,,"http://www.ingentaconnect.com/content/maney/jcr",,"","","Full text","","Maney Publishing"
"Journal of Management & Marketing in Healthcare","1753-3031","1753-304X",2007-01-01,1,1,2011-01-01,4,4,"http://www.ingentaconnect.com/content/maney/mmh",,"","","Full text","In 2012, it  changed its name to International Journal of Healthcare Management","Maney Publishing"
"Journal of War & Culture Studies","1752-6272","1752-6280",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/wac",,"","","Full text","","Maney Publishing"
"Speech, Language and Hearing","2050-571X","2050-5728",2013-01-01,16,,,,,"http://www.ingentaconnect.com/content/maney/slh",,"","","Full text","","Maney Publishing"
"The Linacre Quarterly","0024-3639","0250-8549",2008-01-01,75,1,,,,"http://www.ingentaconnect.com/content/maney/lnq",,"","","Full text","","Maney Publishing"
"Transportation Letters: the International Journal of Transportation Research","1942-7867","1942-7875",2009-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/trl",,"","","Full text","","Maney Publishing"
"Ultrasound","1742-271X","1743-1344",2004-01-01,12,1,2009-01-01,17,4,"http://www.ingentaconnect.com/content/maney/ultra",,"","","Full text","","SAGE - The Royal Society of Medicine"
"California Archaeology","1947-461x","1947-4628",2009-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/cal",,"","","Full text","New for 2013","Maney Publishing"
"Childhood in the Past","1758-5716","2040-8528",2009-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/child",,"","","Full text","","Maney Publishing"
"CHINOPERL: Journal of Chinese Oral and Performing Literature","0193-7774","2051-6150",2005-01-01,26,,,,,"http://www.ingentaconnect.com/content/maney/chi",,"","","Full text","","Maney Publishing"
"Ethnoarchaeology","1944-2890","1944-2904",2009-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/eth",,"","","Full text","New for 2013","Maney Publishing"
"Heritage & Society ","2159-032X","2159-0338",2008-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/hso",,"","","Full text","","Maney Publishing"
"IDA Journal of Desalination and Water Reuse","","2041-6452",2009-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/ida",,"","","Full text","","Maney Publishing"
"Journal of African Diaspora Archaeology & Heritage ","2161-9441","2161-9468",2012-01-01,1,,,,,"http://www.ingentaconnect.com/content/maney/jaf",,"","","Full text","","Maney Publishing"
"Journal of European Archaeology","0965-7665","",1993-01-01,1,1,1997-01-01,5,2,"http://www.ingentaconnect.com/content/maney/jea",,"","","Full text","","Maney Publishing"
"Journal of Language, Literature and Culture","2051-2856","2051-2864",2013-01-01,60,,,,,"http://maneypublishing.com/index.php/journals/jli/",,"","","Full text","formerly AUMLA, Journal of the Australasian Universities Language and Literature Association","Maney Publishing"
"Journal of the Australasian Universities Language and Literature Association","0001-2793","",2004-01-01,2004,101,2012-01-01,2012,118,"http://www.ingentaconnect.com/content/maney/aulla",,"","","Full text","Title change in 2013 to Journal of Language, Literature and Culture","Maney Publishing"
"Journal of Museum Education","1059-8650","2051-6169",2006-01-01,31,1,,,,"http://www.ingentaconnect.com/content/maney/jme",,"","","Full text","New for 2013","Maney Publishing"
"Journal of Organisational Transformation & Social Change","1477-9633","2040-056X",2004-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/jotsc",,"","","Full text","","Maney Publishing"
"Journal of Social Distress & The Homeless","1053-0789","1573-658X",2005-01-01,14,03-Apr,,,,"http://www.ingentaconnect.com/content/maney/sdh",,"","","Full text","New for 2013","Maney Publishing"
"Journal for the Study of Sports & Athletes in Education","1935-7397","1935-7400",2007-01-01,1,1,,,,"http://www.ingentaconnect.com/content/maney/ssa",,"","","Full text","","Maney Publishing"
"Journal of the American Institute for Conservation","0197-1360","1945-2330",2008-01-01,47,3,,,,"http://www.ingentaconnect.com/content/maney/jac",,"","","Full text","New for 2013","Maney Publishing"
"Journal of Wetland Archaeology","1473-2971","2051-6231",2008-01-01,8,1,,,,"http://www.ingentaconnect.com/content/maney/jwa",,"","","Full text","new for 2013","Maney Publishing"
"Kiva - Southwestern Anthropology and History","0023-1940","2051-6177",2012-01-01,78,1,,,,"http://www.ingentaconnect.com/content/maney/kiv",,"","","Full text","New for 2013","Maney Publishing"
"Landscapes ","1466-2035","2040-8153",2008-01-01,9,1,,,,"http://www.ingentaconnect.com/content/maney/land",,"","","Full text","","Maney Publishing"
"Lithic Technology","0197-7261","2051-6185",2011-01-01,36,1,,,,"http://www.ingentaconnect.com/content/maney/lit",,"","","Full text","New for 2013","Maney Publishing"
