publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Adsorption Science & Technology ","0263-6174","",2000-01-01,,,,,,"http://multi-science.metapress.com/content/121490/",,"","","fulltext","","Multi-Science"
"Advances in Structural Engineering ","1369-4332","",2000-01-01,,,,,,"http://multi-science.metapress.com/content/121491/",,"","","fulltext","","Multi-Science"
"Building Acoustics ","1351-010X","",1999-01-01,,,,,,"http://multi-science.metapress.com/content/121492",,"","","fulltext","","Multi-Science"
"Energy & Environment ","0958-305X","",1999-01-01,,,,,,"http://multi-science.metapress.com/content/121493/",,"","","fulltext","","Multi-Science"
"Energy Exploration & Exploitation ","0144-5987","",2000-01-01,,,,,,"http://multi-science.metapress.com/content/121494",,"","","fulltext","","Multi-Science"
"International Journal of Aeroacoustics ","1475-472X","",2002-01-01,,,,,,"http://multi-science.metapress.com/content/121495",,"","","fulltext","","Multi-Science"
"International Journal of Aerospace Innovations ","1757-2258","",2010-01-01,,,,,,"http://multi-science.metapress.com/content/121496",,"","","fulltext","","Multi-Science"
"International Journal of Emerging Multidisciplinary Fluid Sciences","1756-8315","",2009-01-01,,,,,,"http://multi-science.metapress.com/content/121498",,"","","fulltext","","Multi-Science"
"International Journal of Flow Control","1756-8250","",2009-01-01,,,,,,"http://multi-science.metapress.com/content/121499",,"","","fulltext","","Multi-Science"
"International Journal of Hypersonics ","1759-3107","",2010-01-01,,,2012-01-01,,,"http://multi-science.metapress.com/content/121662",,"","","fulltext","Ceased","Multi-Science"
"International Journal of Innovation Science ","1757-2223","",2009-01-01,,,,,,"http://multi-science.metapress.com/content/121500",,"","","fulltext","","Multi-Science"
"International Journal of Micro Air Vehicles ","1756-8293","",2009-01-01,,,,,,"http://multi-science.metapress.com/content/121501/",,"","","fulltext","","Multi-Science"
"International Journal of Micro-Nano Scale Transport ","1759-3093","",2010-01-01,,,,,,"http://multi-science.metapress.com/content/121663",,"","","fulltext","","Multi-Science"
"International Journal of Protective Structures ","2041-4196","",2010-01-01,,,,,,"http://multi-science.metapress.com/content/121736",,"","","fulltext","","Multi-Science"
"International Journal of Space Structures ","0266-3511","",1999-01-01,,,,,,"http://multi-science.metapress.com/content/121503",,"","","fulltext","","Multi-Science"
"International Journal of Sports Science & Coaching ","1747-9541","",2006-01-01,,,,,,"http://multi-science.metapress.com/content/121504",,"","","fulltext","","Multi-Science"
"International Journal of Spray and Combustion Dynamics ","1756-8277","",2009-01-01,,,,,,"http://multi-science.metapress.com/content/121505",,"","","fulltext","","Multi-Science"
"Journal of Algorithms & Computational Technology ","1748-3018","",2007-01-01,,,,,,"http://multi-science.metapress.com/content/121506",,"","","fulltext","","Multi-Science"
"International Journal of Architectural Computing ","1478-0771","",2004-01-01,,,,,,"http://multi-science.metapress.com/content/121497",,"","","fulltext","","Multi-Science"
"Journal of Healthcare Engineering ","2040-2295","",2010-01-01,,,,,,"http://multi-science.metapress.com/content/121507",,"","","fulltext","","Multi-Science"
"Journal of Structural Fire Engineering ","2040-2317","",2010-01-01,,,,,,"http://multi-science.metapress.com/content/121508",,"","","fulltext","","Multi-Science"
"Low Frequency Noise, Vibration & Active Control ","0263-0923","",2000-01-01,,,,,,"http://multi-science.metapress.com/content/121510/",,"","","fulltext","","Multi-Science"
"Noise & Vibration Worldwide ","0957-4565","",2006-01-01,,,,,,"http://multi-science.metapress.com/content/121511/",,"","","fulltext","","Multi-Science"
"The International Journal of Multiphysics ","1750-9548","",2007-01-01,,,,,,"http://multi-science.metapress.com/content/121502",,"","","fulltext","","Multi-Science"
"The International Journal of Ocean and Climate Systems  ","1759-3131","",2010-01-01,,,,,,"http://multi-science.metapress.com/content/121661",,"","","fulltext","","Multi-Science"
"The Journal of Computational Multiphase Flows ","1757-482X","",2009-01-01,,,,,,"http://multi-science.metapress.com/content/121509",,"","","fulltext","","Multi-Science"
"Wind Engineering ","0309-524X","",2008-01-01,,,,,,"http://multi-science.metapress.com/content/121513",,"","","fulltext","","Multi-Science"
"International Journal of Transportation Science and Technology","2046-0430","",2012-01-01,1,1,,,,"http://multi-science.metapress.com/content/122519/",,"","","fulltext","New title for 2013","Multi-Science"
"International Journal of Heritage in the Digital Era","2047-4970","",2012-01-01,1,1,,,,"http://multi-science.metapress.com/content/122518/",,"","","fulltext","New title for 2013","Multi-Science"
