publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Nature","","1476-4687",1940-01-01,145,3662,,,,"http://www.nature.com/nature",,"","","full text","","Nature"
"Nature Biotechnology","","1546-1696",1983-03-01,1,1,,,,"http://www.nature.com/nbt",,"","","full text","","Nature"
"Nature Cell Biology","","1476-4679",1999-05-01,1,1,,,,"http://www.nature.com/ncb",,"","","full text","","Nature"
"Nature Chemical Biology","","1548-7105",2004-10-01,1,1,,,,"http://www.nature.com/nmeth",,"","","full text","","Nature"
"Nature Chemistry","1755-4330","1755-4349",2009-04-01,1,1,,,,"http://www.nature.com/nchem",,"","","full text","","Nature"
"Nature Genetics","","1546-1718",1992-04-01,1-2,1,,,,"http://www.nature.com/ng",,"","","full text","","Nature"
"Nature Geosciences","","1752-0908",2008-01-01,1,1,,,,"http://www.nature.com/ngeo",,"","","full text","","Nature"
"Nature Immunology","","1529-2916",2000-06-01,1,1,,,,"http://www.nature.com/ni",,"","","full text","","Nature"
"Nature Materials","","1476-4660",2002-09-01,1,1,,,,"http://www.nature.com/nmat",,"","","full text","","Nature"
"Nature Medicine","","1546-170X",1995-01-01,1,1,,,,"http://www.nature.com/nm",,"","","full text","","Nature"
"Nature Nanotechnology","","1748-3395",2006-10-01,1,1,,,,"http://www.nature.com/nnano",,"","","full text","","Nature"
"Nature Neuroscience","","1546-1726",1998-05-01,1,1,,,,"http://www.nature.com/neuro",,"","","full text","","Nature"
"Nature Photonics","","1749-4893",2007-01-01,1,1,,,,"http://www.nature.com/nphoton",,"","","full text","","Nature"
"Nature Physics","","1745-2481",2005-10-01,1,1,,,,"http://www.nature.com/nphys",,"","","full text","","Nature"
"Nature Protocols","","1750-2799",2006-06-01,1,1,,,,"http://www.nature.com/nprot",,"","","full text","","Nature"
"Nature Structural and Molecular Biology","","1545-9985",1994-01-01,1,1,,,,"http://www.nature.com/nsmb",,"","","full text","","Nature"
"Nature Reviews Cancer","","1474-1768",2001-10-01,1,1,,,,"http://www.nature.com/nrc",,"","","full text","","Nature"
"Nature Reviews Cardiology","","1759-5010",2004-11-01,1,1,,,,"http://www.nature.com/nrcardio",,"","","full text","","Nature"
"Nature Reviews Clinical Oncology","","1759-4782",2004-11-01,1,1,,,,"http://www.nature.com/nrclinonc",,"","","full text","","Nature"
"Nature Reviews Drug Discovery","","1474-1784",2002-01-01,1,1,,,,"http://www.nature.com/nrd",,"","","full text","","Nature"
"Nature Reviews Endocrinology","","1759-5037",2005-11-01,1,1,,,,"http://www.nature.com/nrendo",,"","","full text","","Nature"
"Nature Reviews Gastroenterology and Hepatology","","1759-5053",2004-11-01,1,1,,,,"http://www.nature.com/nrgastro",,"","","full text","","Nature"
"Nature Reviews Genetics","","1471-0064",2000-10-01,1,1,,,,"http://www.nature.com/nrg",,"","","full text","","Nature"
"Nature Reviews Immunology","","1474-1741",2001-10-01,1,1,,,,"http://www.nature.com/nri",,"","","full text","","Nature"
