publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Foundations and Trends® in Accounting ","1554-0642","1554-0650",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=ACC",,"","","fulltext","",""
"Foundations and Trends® in Econometrics","1551-3076","1551-3084",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=ECO",,"","","fulltext","",""
"Foundations and Trends® in Entrepreneurship ","1551-3114","1551-3122",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=ENT",,"","","fulltext","",""
"Foundations and Trends® in Finance","1567-2395","1567-2409",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=FIN",,"","","fulltext","",""
"Foundations and Trends® in Marketing ","1555-0753","1555-0761",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=MKT",,"","","fulltext","",""
"Foundations and Trends® in Microeconomics ","1547-9846","1547-9854",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=MIC",,"","","fulltext","",""
"Foundations and Trends® in Technology, Information and Operations Management","1571-9545","1571-9553",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=TOM",,"","","fulltext","",""
"International Review of Environmental and Resource Economics","1931-1465","1932-1473",2004-01-01,,,,,,"http://www.irere.net/",,"","","fulltext","",""
"Critical Finance Review","2164-5744","2164-5760",2004-01-01,,,,,,"http://www.critical-finance-review.org/journal.aspx?product=CFR",,"","","fulltext","",""
"Foundations and Trends® in Communications and Information Theory","1567-2190","1567-2328",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=CIT",,"","","fulltext","",""
"Foundations and Trends® in Computer Graphics and Vision","1572-2740","1572-2759",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=CGV",,"","","fulltext","",""
"Foundations and Trends® in Databases","1931-7883","1931-7891",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=DBS",,"","","fulltext","",""
"Foundations and Trends® in Electronic Design Automation","1551-3939","1551-3947",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=EDA",,"","","fulltext","",""
"Foundations and Trends® in Human-Computer Interaction","1551-3955","1551-3963",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=HCI",,"","","fulltext","",""
"Foundations and Trends® in Information Retrieval","1554-0669","1554-0677",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=INR",,"","","fulltext","",""
"Foundations and Trends® in Machine Learning","1935-8237","1935-8945",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=MAL",,"","","fulltext","",""
"Foundations and Trends® in Networking","1554-057x","1554-0588",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=NET",,"","","fulltext","",""
"Foundations and Trends® in Robotics ","1935-8253","1935-8261",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=ROB",,"","","fulltext","",""
"Foundations and Trends® in Signal Processing","1932-8346","1932-8354",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=SIG",,"","","fulltext","",""
"Foundations and Trends® in Theoretical Computer Science","1551-305x","1551-3068",2004-01-01,,,,,,"http://www.nowpublishers.com/product.aspx?product=TCS",,"","","fulltext","",""
"Quarterly Journal of Political Science","1554-0626","1554-0634",2004-01-01,,,,,,"http://www.qjps.com/",,"","","fulltext","",""
"Strategic Behavior and the Environment","1944-012x","1944-0138",2004-01-01,,,,,,"http://www.sbejournal.com/journal.aspx?product=SBE",,"","","fulltext","",""
"The Data Envelopment Analysis Journal","2161-1823","2162-1815",2004-01-01,,,,,,"http://www.deajournal.com/journal.aspx?product=DEA",,"","","fulltext","",""
