publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Acta Biochimica et Biophysica Sinica","1672-9145","1745-7270",2004-01-01,,,,,,"http://abbs.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"Adaptation","1755-0637","1755-0645",2008-03-01,,,,,,"http://adaptation.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"African Affairs","0001-9909","1468-2621",1996-01-01,,,,,,"http://afraf.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"Age and Ageing","0002-0729","1468-2834",1996-01-01,,,,,,"http://ageing.oxfordjournals.org ",,"","","full text","free back issues after 12 months back to Jan 01, 1996","Oxford University Press"
"Alcohol and Alcoholism","0735-0414","1464-3502",1996-01-01,,,,,,"http://alcalc.oxfordjournals.org ",,"","","full text","free back issues after 12 months back to Jan 01, 1996","Oxford University Press"
"American Journal of Agricultural Economics","0002-9092","1467-8276",1996-01-01,,,,,,"http://ajae.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"American Journal of Epidemiology","0002-9262","1476-6256",1996-01-01,,,,,,"http://aje.oxfordjournals.org ",,"","","full text","free back issues after 12 months back to Jan 01, 1996","Oxford University Press"
"American Law and Economics Review","1465-7252","1465-7260",1999-01-01,,,,,,"http://aler.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"American Literary History","0896-7148","1468-4365",1996-01-01,,,,,,"http://alh.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"Analysis","0003-2638","1467-8284",1996-01-01,,,,,,"http://analysis.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"Annals of Botany","0305-7364","1095-8290",1996-01-01,,,,,,"http://aob.oxfordjournals.org ",,"","","full text","free back issues after 12 months back to Jan 01, 1993","Oxford University Press"
"Annals of Oncology","0923-7534","1569-8041",1996-01-01,,,,,,"http://annonc.oxfordjournals.org ",,"","","full text","free back issues after 12 months back to Jan 01, 1996","Oxford University Press"
"AoB Plants  ","","2041-2851",0001-01-01,,,,,,"http://aobpla.oxfordjournals.org ",,"","","","full text","Oxford University Press"
"Applied Economic Perspectives and Policy","2040-5790","2040-5804",1996-01-01,,,,,,"http://aepp.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"Applied Linguistics","0142-6001","1477-450X",1996-01-01,,,,,,"http://applij.oxfordjournals.org ",,"","","full text","","Oxford University Press"
"Applied Mathematics Research eXpress","1687-1200","1687-1197",2003-01-01,,,,,,"http://amrx.oxfordjournals.org ",,"","","full text","","Oxford University Press"
