publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Abstract and Applied Analysis","1085-3375","1687-0409",1996-01-01,1,1,,,,"http://ProjectEuclid.org/aaa",,"","","Full text","","Hindawi Publishing Corporation"
"Advances in Theoretical and Mathematical Physics","1095-0761","1095-0753",2003-01-01,7,1,,,,"http://ProjectEuclid.org/atmp",,"","","Full text","","International Press of Boston"
"African Diaspora Journal of Mathematics","","1539-854X",2009-01-01,9,2,,,,"http://ProjectEuclid.org/adjm",,"","","Full text","","Mathematical Research Publishers"
"Asian Journal of Mathematics","1093-6106","1945-0036",2004-01-01,8,1,,,,"http://ProjectEuclid.org/ajm",,"","","Full text","","International Press of Boston"
"Banach Journal of Mathematical Analysis","","1735-8787",2007-01-01,1,1,,,,"http://ProjectEuclid.org/bjma",,"","","Full text","","Tusi Mathematical Research Group"
"Bulletin of the Belgian Mathematical Society - Simon Stevin","1370-1444","",1994-01-01,1,1,,,,"http://ProjectEuclid.org/bbms",,"","","Full text","","The Belgian Mathematical Society"
"Communications in Information and Systems","1526-7555","2163-4548",2003-01-01,3,3,2010-01-01,10,4,"http://ProjectEuclid.org/cis",,"","","Full text","","International Press of Boston"
"Communications in Mathematical Analysis","","1938-9787",2010-01-01,8,1,,,,"http://ProjectEuclid.org/cma",,"","","Full text","","Mathematical Research Publishers"
"Communications in Mathematical Sciences","1539-6746","1945-0796",2003-01-01,1,1,2010-01-01,8,4,"http://ProjectEuclid.org/cms",,"","","Full text","","International Press of Boston"
"Current Developments in Mathematics","1089-6384","",2002-01-01,2002,1,2008-01-01,2008,1,"http://ProjectEuclid.org/cdm",,"","","Full text","","International Press of Boston"
"Experimental Mathematics","1058-6458","1944-950X",1992-01-01,1,1,,,,"http://ProjectEuclid.org/em",,"","","Full text","","A K Peters, Ltd."
"Functiones et Approximatio, Commentarii Mathematici","0208-6573","",2006-01-01,35,1,,,,"http://ProjectEuclid.org/facm",,"","","Full text","","Adam Mickiewicz University, Faculty of Mathematics and Computer Science"
"Hokkaido Mathematical Journal","0385-4035","",2008-01-01,33,1,,,,"http://ProjectEuclid.org/hokmj",,"","","Full text","","Hokkaido University, Department of Mathematics"
"Homology, Homotopy, and Applications","1512-0139","1532-0081",1999-01-01,1,1,,,,"http://ProjectEuclid.org/hha",,"","","Full text","","International Press of Boston"
"Internet Mathematics","1542-7951","1944-9488",2003-01-01,1,1,,,,"http://ProjectEuclid.org/im",,"","","Full text","","A K Peters, Ltd."
"Japan Journal of Industrial and Applied Mathematics","0916-7005","",2006-01-01,23,1,2009-01-01,26,02-Mar,"http://ProjectEuclid.org/jjiam",,"","","Full text","","Japan Society for Industrial and Applied Mathematics"
"Journal of Applied Mathematics","1110-757X","1687-0042",2001-01-01,1,1,,,,"http://ProjectEuclid.org/jam",,"","","Full text","","Hindawi Publishing Corporation"
"Journal of Commutative Algebra","1939-2346","",2009-01-01,1,1,,,,"http://ProjectEuclid.org/jca",,"","","Full text","","Rocky Mountain Mathematics Consortium"
"Journal of Generalized Lie Theory and Applications","1736-5279","1736-4337",2007-01-01,3,1,,,,"http://ProjectEuclid.org/jglta",,"","","Full text","","Ashdin Publishing"
"Journal of Integral Equations and Applications","0897-3962","",1988-01-01,1,1,,,,"http://ProjectEuclid.org/jiea",,"","","Full text","","Rocky Mountain Mathematics Consortium"
"Journal of Physical Mathematics","2090-0899","2090-0902",2009-01-01,1,1,,,,"http://ProjectEuclid.org/jpm",,"","","Full text","","Ashdin Publishing"
"Journal of Symplectic Geometry","1527-5256","1540-2347",2001-01-01,1,1,,,,"http://ProjectEuclid.org/jsg",,"","","Full text","Partially open (older than 5 years open)","International Press of Boston"
"Kodai Mathematical Journal","0386-5991","1881-5472",1949-01-01,1,1,,,,"http://ProjectEuclid.org/kmj",,"","","Full text","Partially open (older than 5 years open)","Tokyo Institute of Technology, Department of Mathematics"
"Kyoto Journal of Mathematics","0023-608X","2154-3321",2010-01-01,50,1,,,,"http://ProjectEuclid.org/kjm",,"","","Full text","Subscribers Only","Duke University Press"
"Methods and Applications of Analysis","1073-2772","1945-0001",2002-01-01,9,3,2009-01-01,17,4,"http://ProjectEuclid.org/maa",,"","","Full text","Partially open (older than 5 years open)","International Press of Boston"
"Missouri Journal of Mathematical Sciences","0899-6180","1085-2581",2007-01-01,19,1,,,,"http://ProjectEuclid.org/mjms",,"","","Full text","Subscribers Only","University of Central Missouri"
