publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Twentieth-Century China","1521-5385","1940-5065",2007-01-01,33,1,2010-01-01,35,2,"http://muse.jhu.edu/journals/twentiethcentury_china",,"","","","","Maney Publishing"
"American Literary Scholarship","0065-9142","1527-2125",1998-01-01,,,,,,"http://muse.jhu.edu/journals/american_literary_scholarship",,"","","","","Duke University Press"
"American Literature","0002-9831","1527-2117",1999-01-01,71,3,2004-01-01,76,4,"http://muse.jhu.edu/journals/american_literature",,"","","","","Duke University Press"
"American Speech","0003-1283","1527-2133",2000-01-01,75,1,2004-01-01,79,4,"http://muse.jhu.edu/journals/american_speech",,"","","","","Duke University Press"
"boundary 2","0190-3659","1527-2141",1999-01-01,26,3,2004-01-01,31,3,"http://muse.jhu.edu/journals/boundary",,"","","","","Duke University Press"
"Camera Obscura","0270-5346","1529-1510",2000-01-01,15,1,2004-01-01,19,3,"http://muse.jhu.edu/journals/camera_obscura",,"","","","","Duke University Press"
"Common Knowledge","0961-754X","1538-4578",2002-01-01,8,1,,,,"http://muse.jhu.edu/journals/common_knowledge",,"","","","","Duke University Press"
"Comparative Studies of South Asia, Africa and the Middle East","1089-201X","1548-226X",2000-01-01,20,01-Feb,,,,"http://muse.jhu.edu/journals/comparative_studies_of_south_asia_africa_and_the_middle_east",,"","","","","Duke University Press"
"Cultural Politics","1743-2197","1751-7435",2012-01-01,8,1,,,,"http://muse.jhu.edu/journals/cultural_politics",,"","","","","Duke University Press"
"differences","1040-7391","1527-1986",1998-01-01,10,3,2004-01-01,15,3,"http://muse.jhu.edu/journals/differences",,"","","","","Duke University Press"
"EASTS: East Asian Science, Technology and Society: An International Journal","1875-2160","1875-2152",2007-01-01,1,1,,,,"http://muse.jhu.edu/journals/east_asian_science_technology_and_society",,"","","","","Duke University Press"
"Eighteenth-Century Life","0098-2601","1086-3192",1996-01-01,20,1,,,,"http://muse.jhu.edu/journals/eighteenth-century_life",,"","","","","Duke University Press"
"Ethnohistory","0014-1801","1527-5477",1999-01-01,46,4,2004-01-01,51,,"http://muse.jhu.edu/journals/ethnohistory",,"","","","","Duke University Press"
"French Historical Studies","0016-1071","1527-5493",1999-01-01,22,4,2004-01-01,27,4,"http://muse.jhu.edu/journals/french_historical_studies",,"","","","","Duke University Press"
"GLQ: A Journal of Lesbian and Gay Studies","1064-2684","1527-9375",1999-01-01,5,3,,,,"http://muse.jhu.edu/journals/journal_of_lesbian_and_gay_studies",,"","","","","Duke University Press"
"Hispanic American Historical Review","0018-2168","1527-1900",2000-01-01,80,1,2004-01-01,,84,"http://muse.jhu.edu/journals/hispanic_american_historical_review",,"","","","","Duke University Press"
"History of Political Economy","0018-2702","1527-1919",2000-01-01,32,1,2004-01-01,,36,"http://muse.jhu.edu/journals/history_of_political_economy",,"","","","","Duke University Press"
"Journal of Health Politics, Policy and Law","0361-6878","1527-1927",2000-01-01,25,1,2004-01-01,29,6,"http://muse.jhu.edu/journals/journal_of_health_politics_policy_and_law",,"","","","","Duke University Press"
"Journal of Medieval and Early Modern Studies","1082-9636","1527-8263",2000-01-01,30,1,2004-01-01,,34,"http://muse.jhu.edu/journals/journal_of_medieval_and_early_modern_studies",,"","","","","Duke University Press"
"Mediterranean Quarterly","1047-4552","1527-1935",2000-01-01,11,1,,,,"http://muse.jhu.edu/journals/mediterranean_quarterly",,"","","","","Duke University Press"
"minnesota review","0026-5667","2157-4189",1973-01-01,,1,,,,"http://muse.jhu.edu/journals/minnesota_review",,"","","","","Duke University Press"
"Modern Language Quarterly","0026-7929","1527-1943",2000-01-01,61,1,2004-01-01,65,4,"http://muse.jhu.edu/journals/modern_language_quarterly",,"","","","","Duke University Press"
"Nka: Journal of African Contemporary Art","1075-7163","2152-7792",1994-01-01,,1,,,,"http://muse.jhu.edu/journals/nka",,"","","","","Duke University Press"
"Pedagogy","1531-4200","1533-6255",2001-01-01,1,1,,,,"http://muse.jhu.edu/journals/pedagogy",,"","","","","Duke University Press"
"Poetics Today","0333-5372","1527-5507",1999-01-01,20,3,2004-01-01,25,4,"http://muse.jhu.edu/journals/poetics_today",,"","","","","Duke University Press"
"positions: east asia cultures critique","1067-9847","1527-8271",2000-01-01,8,1,,,,"http://muse.jhu.edu/journals/positions",,"","","","","Duke University Press"
"Public Culture","0899-2363","1527-8018",1999-01-01,11,2,2004-01-01,16,3,"http://muse.jhu.edu/journals/public_culture",,"","","","","Duke University Press"
"Radical History Review","0163-6545","1534-1453",2001-01-01,,79,2004-01-01,,90,"http://muse.jhu.edu/journals/radical_history_review",,"","","","","Duke University Press"
"Small Axe","0799-0537","1534-6714",2001-01-01,5,1,,,,"http://muse.jhu.edu/journals/small_axe",,"","","","","Duke University Press"
"Social Science History","0145-5532","1527-8034",1999-01-01,23,4,,,,"http://muse.jhu.edu/journals/social_science_history",,"","","","","Duke University Press"
"Social Text","0164-2472","1527-1951",2000-01-01,18,1,2004-01-01,22,4,"http://muse.jhu.edu/journals/social_text",,"","","","","Duke University Press"
"South Atlantic Quarterly","0038-2876","1527-8026",1999-01-01,98,3,2004-01-01,103,4,"http://muse.jhu.edu/journals/south_atlantic_quarterly",,"","","","","Duke University Press"
"Theater","0161-0775","1527-196X",2000-01-01,30,1,2004-01-01,34,3,"http://muse.jhu.edu/journals/theater",,"","","","","Duke University Press"
"Tikkun","0887-9982","2164-0041",2012-01-01,27,1,,,,"http://muse.jhu.edu/journals/tikkun",,"","","","","Duke University Press"
"Leviathan","1525-6995","1750-1849",,,,,,,"http://muse.jhu.edu/journals/leviathan",,"10.1111/(ISSN)1750-1849","","","New for 2013 - content not available","The Johns Hopkins University Press"
"Poe Studies","1947-4644","1754-6095",,,,,,,"http://muse.jhu.edu/journals/poe_studies",,"10.1111/(ISSN)1754-6095","","","New to 2013 - no content available yet","The Johns Hopkins University Press"
"Steinbeck Review","1546-007X","1754-6087",2006-01-01,3,1,2007-01-01,4,2,"http://muse.jhu.edu/journals/steinbeck_review",,"10.1111/(ISSN)1754-6087","","","","The Martha Heasley Cox Center for Steinbeck Studies"
"The F. Scott Fitzgerald Review","1543-3951","1755-6333",,,,,,,"http://muse.jhu.edu",,"10.1111/(ISSN)1755-6333","","","New for 2013 - content not available","Penn State University Press"
"The Mark Twain Annual","1553-0981","1756-2597",,,,,,,"http://muse.jhu.edu/journals/the_mark_twain_annual",,"10.1111/(ISSN)1756-2597","","","New to 2013 - no content available yet","Penn State University Press"
"Italian Culture","0161-4622","1559-0909",2005-01-01,23,,2008-01-01,26,,"http://muse.jhu.edu/journals/italian_culture",,"","","","","Maney Publishing"
"Human Biology","0018-7143","1534-6617",2001-01-01,73,1,,,,"http://muse.jhu.edu/journals/human_biology",,"","","","","Wayne State University Press"
"Pacific Science","0030-8870","1534-6188",2001-01-01,55,1,2007-01-01,61,4,"http://muse.jhu.edu/journals/pacific_science",,"","","","","University of Hawai'i Press"
"Music and Letters","0027-4224","1477-4631",2004-01-01,85,1,,,,"http://muse.jhu.edu/journals/music_and_letters",,"","","","","Oxford University Press"
"Social Forces","0037-7732","1534-7605",2001-01-01,79,3,,,,"http://muse.jhu.edu/journals/social_forces",,"","","","","Oxford University Press"
"Journal of the American Academy of Religion","0002-7189","1477-4585",2006-01-01,74,1,2007-01-01,75,4,"http://muse.jhu.edu/journals/journal_of_the_american_academy_of_religion",,"","","","","Oxford University Press"
"Journal of the History of Medicine and Allied Sciences","0022-5045","1468-4373",2000-01-01,55,1,,,,"http://muse.jhu.edu/journals/journal_of_the_history_of_medicine_and_allied_sciences",,"","","","","Oxford University Press"
"French Studies","0016-1128","1468-2931",2006-01-01,60,31,,,,"http://muse.jhu.edu/journals/french_studies_a_quarterly_review",,"","","","","Oxford University Press"
"Essays in Criticism","0014-0856","1471-6852",2006-01-01,56,1,2005-01-01,57,4,"http://muse.jhu.edu/journals/essays_in_criticism",,"","","","","Oxford University Press"
"Past & Present","0031-2746","1477-464X",2005-01-01,,188,2007-01-01,,197,"http://muse.jhu.edu/journals/past_and_present",,"","","","","Oxford University Press"
"The Cambridge Quarterly","0008-199X","1471-6836",2006-01-01,35,1,,,,"http://muse.jhu.edu/journals/cambridge_quarterly",,"","","","","Oxford University Press"
"Journal of Social History","0022-4529","1527-1897",1999-01-01,33,1,,,,"http://muse.jhu.edu/journals/journal_of_social_history",,"","","","","Oxford University Press"
"Early Music","0306-1078","1741-7260",2004-01-01,32,1,2007-01-01,35,4,"http://muse.jhu.edu/journals/early_music",,"","","","","Oxford University Press"
"The Oral History Review","0094-0798","1533-8592",2008-01-01,35,1,,,,"http://muse.jhu.edu/journals/oral_history_review",,"","","","","Oxford University Press"
"History Workshop Journal","1363-3554","1477-4569",2004-01-01,,57,,,,"http://muse.jhu.edu/journals/history_workshop_journal",,"","","","","Oxford University Press"
"Modern Judaism","0276-1114","1086-3273",1996-01-01,16,1,,,,"http://muse.jhu.edu/journals/modern_judaism",,"","","","","Oxford University Press"
"The Opera Quarterly","0736-0053","1476-2870",2002-01-01,18,1,,,,"http://muse.jhu.edu/journals/opera_quarterly",,"","","","","Oxford University Press"
"Holocaust and Genocide Studies","8756-6583","1476-7937",2003-01-01,17,1,,,,"http://muse.jhu.edu/journals/holocaust_and_genocide_studies",,"","","","","Oxford University Press"
"American Literary History","0896-7148","1468-4365",2000-01-01,12,1,,,,"http://muse.jhu.edu/journals/american_literary_history",,"","","","","Oxford University Press"
"Social Politics: International Studies in Gender, State & Society","1072-4745","1468-2893",2003-01-01,10,1,,,,"http://muse.jhu.edu/journals/social_politics",,"","","","","Oxford University Press"
"Enterprise and Society","1467-2227","1467-2235",2003-01-01,4,1,,,,"http://muse.jhu.edu/journals/enterprise_and_society",,"","","","","Oxford University Press"
"The Library","0024-2160","1744-8581",2006-01-01,7,1,,,,"http://muse.jhu.edu/journals/the_library_the_transactions_of_the_bibliographical_society",,"","","","","Oxford University Press"
"Comparative Critical Studies","1744-1854","1750-0109",2006-01-01,3, 1-2,2008-01-01,5,02-Mar,"http://muse.jhu.edu/journals/comparative_critical_studies",,"","","","","Edinburgh University Press"
"Dance Research","0264-2875","1750-0095",2006-01-01,24,1,2008-01-01,26,2,"http://muse.jhu.edu/journals/dance_research",,"","","","","Edinburgh University Press"
"Holy Land Studies","1474-9475","1750-0125",2006-01-01,5,1,2008-01-01,7,2,"http://muse.jhu.edu/journals/holy_land_studies",,"","","","","Edinburgh University Press"
"Paragraph","0264-8334","1750-0176",2006-01-01,29,1,2008-01-01,31,3,"http://muse.jhu.edu/journals/paragraph",,"","","","","Edinburgh University Press"
"Romanticism","1354-991X","1750-0192",2006-01-01,12,1,2008-01-01,14,3,"http://muse.jhu.edu/journals/romanticism",,"","","","","Edinburgh University Press"
"Studies in World Christianity","1354-9901","1750-0230",2006-01-01,12,1,2008-01-01,14,3,"http://muse.jhu.edu/journals/studies_in_world_christianity",,"","","","","Edinburgh University Press"
"The Innes Review","0020-157X","1745-5219",2007-01-01,58,1,2008-01-01,59,2,"http://muse.jhu.edu/journals/the_innes_review",,"","","","","Edinburgh University Press"
"The Scottish Historical Review","0036-9241","1750-0222",2006-01-01,85,1,2008-01-01,87,2,"http://muse.jhu.edu/journals/scottish_historical_review",,"","","","","Edinburgh University Press"
"Translation and Literature","0968-1361","1750-0214",2006-01-01,15,1,2008-01-01,17,2,"http://muse.jhu.edu/journals/translation_and_literature",,"","","","","Edinburgh University Press"
"Labor Studies Journal","0160-449X","1538-9758",2002-01-01,27,1,2007-01-01,31,4,"http://muse.jhu.edu/journals/labor_studies_journal",,"","","","","SAGE"
"World Policy Journal","0740-2775","1936-0924",2010-01-01,27,1,2011-01-01,28,4,"http://muse.jhu.edu/journals/world_policy_journal",,"","","","","SAGE"
"a/b: Auto/Biography Studies","0898-9575","2151-7290",2009-01-01,24,1,,,,"http://muse.jhu.edu/journals/ab_autobiography_studies",,"","","","","The Autobiography Society"
"American Imago","0065-860X","1085-7931",1995-01-01,52,1,,,,"http://muse.jhu.edu/journals/american_imago",,"","","","","The Johns Hopkins University Press"
"American Journal of Philology","","1086-3168",1996-01-01,117,1,,,,"http://muse.jhu.edu/journals/american_journal_of_philology",,"","","","","The Johns Hopkins University Press"
"American Journal of Theology & Philosophy","0194-3448","2156-4795",2010-01-01,31,1,,,,"http://muse.jhu.edu/journals/american_journal_of_theology_and_philosophy",,"","","","","University of Illinois Press"
"American Literary Realism","1540-3084","1940-5103",2007-01-01,40,1,,,,"http://muse.jhu.edu/journals/american_literary_realism",,"","","","","University of Illinois Press"
"American Music","0734-4392","1945-2349",2009-01-01,27,1,,,,"http://muse.jhu.edu/journals/american_music",,"","","","","University of Illinois Press"
"American Periodicals: A Journal of History, Criticism, and Bibliography","1054-7479","1548-4238",2003-01-01,13,,,,,"http://muse.jhu.edu/journals/american_periodicals",,"","","","","The Ohio State University Press"
"Archives of Asian Art","0066-6637","1944-6497",2008-01-01,58,,,,,"http://muse.jhu.edu/journals/archives_of_asian_art",,"","","","","University of Hawai'i Press"
"Arethusa","","1080-6504",1996-01-01,29,1,,,,"http://muse.jhu.edu/journals/arethusa",,"","","","","The Johns Hopkins University Press"
"Arizona Journal of Hispanic Cultural Studies","1096-2492","1934-9009",1997-01-01,1,,,,,"http://muse.jhu.edu/journals/arizona_journal_of_hispanic_cultural_studies",,"","","","","University of Arizona"
"Arizona Quarterly: A Journal of American Literature, Culture, and Theory","","1558-9595",2005-01-01,61,1,,,,"http://muse.jhu.edu/journals/arizona_quarterly_a_journal_of_american_literature_culture_and_theory",,"","","","","University of Arizona"
"Asian Music","0044-9202","1553-5630",2005-01-01,36,1,,,,"http://muse.jhu.edu/journals/asian_music",,"","","","","University of Texas Press"
"Asian Theatre Journal","0742-5457","1527-2109",1999-01-01,16,2,,,,"http://muse.jhu.edu/journals/asian_theatre_journal",,"","","","","University of Hawai'i Press"
"Biography","0162-4962","1529-1456",1978-01-01,1,1,,,,"http://muse.jhu.edu/journals/biography",,"","","","","University of Hawai'i Press"
"Book History","1098-7371","1529-1499",1998-01-01,1,,,,,"http://muse.jhu.edu/journals/book_history",,"","","","","The Johns Hopkins University Press"
"Buddhist-Christian Studies","0882-0945","1527-9472",1999-01-01,19,,,,,"http://muse.jhu.edu/journals/buddhist-christian_studies",,"","","","","University of Hawai'i Press"
"Buildings & Landscapes: Journal of the Vernacular Architecture Forum","1936-0886","1934-6832",2007-01-01,14,,,,,"http://muse.jhu.edu/journals/buildings_and_landscapes",,"","","","","University of Minnesota Press"
"The Byron Journal","0301-7257","1757-0263",2009-01-01,37,1,,,,"http://muse.jhu.edu/journals/byron_journal",,"","","","","Liverpool University Press"
"Callaloo","0161-2492","1080-6512",1995-01-01,18,1,,,,"http://muse.jhu.edu/journals/callaloo",,"","","","","The Johns Hopkins University Press"
"Canadian Journal of Philosophy","0045-5091","1911-0820",2006-01-01,36,1,,,,"http://muse.jhu.edu/journals/canadian_journal_of_philosophy",,"","","","","Canadian Journal of Philosophy"
"The Catholic Historical Review","","1534-0708",2000-01-01,86,3,,,,"http://muse.jhu.edu/journals/catholic_historical_review",,"","","","","The Catholic University of America Press"
"The Chaucer Review","","1528-4204",2000-01-01,34,3,,,,"http://muse.jhu.edu/journals/chaucer_review",,"","","","","Penn State University Press"
"Children's Literature","0092-8208","1543-3374",1972-01-01,1,,,,,"http://muse.jhu.edu/journals/childrens_literature",,"","","","","The Johns Hopkins University Press"
