publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Accounting History","1032-3732","1749-3374",1996-01-01,1,1,,,,"http://ach.sagepub.com/",,"","","full text","","SAGE"
"Acta Sociologica","0001-6993","1502-3869",1956-01-01,1,1,,,,"http://asj.sagepub.com/",,"","","full text","","SAGE"
"Action Research","1476-7503","1741-2617",2003-01-01,1,1,,,,"http://arj.sagepub.com/",,"","","full text","","SAGE"
"Active Learning in Higher Education","1469-7874","1741-2625",2000-01-01,1,1,,,,"http://alh.sagepub.com/",,"","","full text","","SAGE"
"Adaptive Behavior","1059-7123","1741-2633",1992-01-01,1,1,,,,"http://adb.sagepub.com/",,"","","full text","","SAGE"
"Administration & Society","0095-3997","1552-3039",1969-01-01,1,1,,,,"http://aas.sagepub.com/",,"","","full text","","SAGE"
"Administrative Science Quarterly","0001-8392","1930-3815",1999-01-01,44,1,,,,"http://asq.sagepub.com/",,"","","full text","","SAGE"
"Adult Education Quarterly","0741-7136","1552-3047",1950-01-01,1,1,,,,"http://aeq.sagepub.com/",,"","","full text","","SAGE"
"Advances in Developing Human Resources","1523-4223","1552-3055",1999-01-01,1,1,,,,"http://adh.sagepub.com/",,"","","full text","","SAGE"
"Aesthetic Surgery Journal","1090-820X","1527-330X",1995-01-01,15,1,,,,"http://aes.sagepub.com/",,"","","full text","","SAGE"
"Affilia","0886-1099","1552-3020",1986-01-01,1,1,,,,"http://aff.sagepub.com/",,"","","full text","","SAGE"
"Alternatives: Global, Local, Political","0304-3754","2163-3150",2005-01-01,30,1,,,,"http://alt.sagepub.com/",,"","","full text","","SAGE"
"American Behavioral Scientist","0002-7642","1552-3381",1957-01-01,1,1,,,,"http://abs.sagepub.com/",,"","","full text","","SAGE"
"American Educational Research Journal ","0002-8312","1935-1011",1964-01-01,1,1,,,,"http://aer.sagepub.com/",,"","","full text","","SAGE"
"American Journal of Alzheimer's Disease & Other Dementias","1533-3175","1938-2731",1986-01-01,1,1,,,,"http://aja.sagepub.com/",,"","","full text","","SAGE"
"American Journal of Evaluation","1098-2140","1557-0878",1981-01-01,2,1,,,,"http://aje.sagepub.com/",,"","","full text","","SAGE"
"American Journal of Hospice and Palliative Medicine","1049-9091","1938-2715",1984-01-01,1,1,,,,"http://ajh.sagepub.com/",,"","","full text","","SAGE"
"American Journal of Lifestyle Medicine","1559-8276","1559-8284",2007-01-01,1,1,,,,"http://ajl.sagepub.com/",,"","","full text","","SAGE"
"American Journal of Medical Quality","1062-8606","1555-824X",1986-01-01,1,1,,,,"http://ajm.sagepub.com/",,"","","full text","","SAGE"
"American Journal of Men's Health","1557-9883","1557-9891",2007-01-01,1,1,,,,"http://jmh.sagepub.com/",,"","","full text","","SAGE"
"American Politics Research","1532-673X","1552-3373",1973-01-01,1,1,,,,"http://apr.sagepub.com/",,"","","full text","","SAGE"
"American Sociological Review","0003-1224","1939-8271",2004-01-01,69,1,,,,"http://asr.sagepub.com/",,"","","full text","","SAGE"
"Angiology","0003-3197","1940-1574",1950-01-01,1,1,,,,"http://ang.sagepub.com/",,"","","full text","","SAGE"
"Animation","1746-8477","1746-8485",2006-01-01,1,1,,,,"http://anm.sagepub.com/",,"","","full text","","SAGE"
"Anthropological Theory","1463-4996","1741-2641",2001-01-01,1,1,,,,"http://ant.sagepub.com/",,"","","full text","","SAGE"
"Applied Psychological Measurement","0146-6216","1552-3497",1977-01-01,1,1,,,,"http://apm.sagepub.com/",,"","","full text","","SAGE"
"Armed Forces & Society","0095-327X","1556-0848",1974-01-01,1,1,,,,"http://afs.sagepub.com/",,"","","full text","","SAGE"
"Arts and Humanities in Higher Education","1474-0222","1741-265X",2002-01-01,1,1,,,,"http://ahh.sagepub.com/",,"","","full text","","SAGE"
"Asia Pacific Journal of Human Resources","1038-4111","1744-7941",1966-01-01,1,1,,,,"http://apj.sagepub.com/",,"10.1111/(ISSN)1744-7941","","full text","","SAGE"
"Asian Cardiovascular & Thoracic Annals  ","0218-4923","1816-5370",1998-01-01,6,1,,,,"http://asianannals.ctsnetjournals.org",,"","","full text","","SAGE"
"Asian Journal of Management Cases","0972-8201","0973-0621",2004-01-01,1,1,,,,"http://ajc.sagepub.com/",,"","","full text","","SAGE"
"Asia-Pacific Journal of Public Health","1010-5395","1941-2479",1987-01-01,1,1,,,,"http://aph.sagepub.com/",,"","","full text","","SAGE"
"Assessment","1073-1911","1552-3489",1994-01-01,1,1,,,,"http://asm.sagepub.com/",,"","","full text","","SAGE"
"Assessment for Effective Intervention","1534-5084","1938-7458",1979-01-01,5,1,,,,"http://aei.sagepub.com/",,"","","full text","","SAGE"
"Australasian Psychiatry ","1039-8562","1440-1665",1993-01-01,1,1,,,,"http://apy.sagepub.com/",,"","","full text","","SAGE"
"Australian and New Zealand Journal of Criminology","0004-8658","1837-9273",1968-01-01,1,1,,,,"http://anj.sagepub.com/",,"","","full text","","SAGE"
"Australian and New Zealand Journal of Psychiatry ","0004-8674","1440-1614",1967-01-01,1,1,,,,"http://anp.sagepub.com/",,"","","full text","","SAGE"
"Australian Journal of Management","0312-8962","1327-2020",1976-01-01,1,1,,,,"http://aum.sagepub.com/",,"","","full text","","SAGE"
"Autism","1362-3613","1461-7005",1997-01-01,1,1,,,,"http://aut.sagepub.com/",,"","","full text","","SAGE"
"Behavior Modification","0145-4455","1552-4167",1977-01-01,1,1,,,,"http://bmo.sagepub.com/",,"","","full text","","SAGE"
"Biblical Theology Bulletin","0146-1079","1945-7596",1973-01-01,3,1,,,,"http://btb.sagepub.com/",,"","","full text","","SAGE"
"Biological Research For Nursing","1099-8004","1552-4175",1999-01-01,1,1,,,,"http://brn.sagepub.com/",,"","","full text","","SAGE"
"Bioscope: South Asian Screen Studies","0974-9276","0976-352X",2010-01-01,1,1,,,,"http://bio.sagepub.com/",,"","","full text","","SAGE"
"BMS: Bulletin of Sociological Methodology/Bulletin de Méthodologie Sociologique","0759-1063","2070-2779",1983-01-01,1,1,,,,"http://bms.sagepub.com/",,"","","full text","","SAGE"
"Body & Society","1357-034X","1460-3632",1995-01-01,1,1,,,,"http://bod.sagepub.com/",,"","","full text","","SAGE"
"British Journalism Review","0956-4748","1741-2668",1989-01-01,1,1,,,,"http://bjr.sagepub.com/",,"","","full text","","SAGE"
"Building Services Engineering Research and Technology","0143-6244","1477-0849",1980-01-01,1,1,,,,"http://bse.sagepub.com/",,"","","full text","","SAGE"
"Bulletin of Science, Technology & Society","0270-4676","1552-4183",1981-01-01,1,1-2,,,,"http://bst.sagepub.com/",,"","","full text","","SAGE"
"Bulletin of the Atomic Scientists","0096-3402","1938-3282",1999-01-01,55,1,,,,"http://bos.sagepub.com/",,"","","full text","","SAGE"
"Business & Society","0007-6503","1552-4205",1960-01-01,1,1,,,,"http://bas.sagepub.com/",,"","","full text","","SAGE"
"Business Communication Quarterly","1080-5699","1552-4191",1969-01-01,32,1,,,,"http://bcq.sagepub.com/",,"","","full text","","SAGE"
"Business Information Review","0266-3821","1741-6450",1984-01-01,1,1,,,,"http://bir.sagepub.com/",,"","","full text","","SAGE"
"Canadian Journal of School Psychology","0829-5735","2154-3984",1985-01-01,9,1,,,,"http://cjs.sagepub.com/",,"","","full text","","SAGE"
"Capital & Class","0309-8168","2041-0980",1977-01-01,1,1,,,,"http://cnc.sagepub.com/",,"","","full text","","SAGE"
"Cardiac Cath Lab Director","2150-1335","2150-1343",2011-01-01,1,1,,,,"http://ccl.sagepub.com/",,"","","full text","","SAGE"
"Career Development for Exceptional Individuals","0885-7288","1557-5047",1978-01-01,1,1,,,,"http://cde.sagepub.com/",,"","","full text","","SAGE"
"Cartilage","1947-6035","1947-6043",2010-01-01,1,1,,,,"http://car.sagepub.com/",,"","","full text","","SAGE"
