publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"3D Research","","2092-6731",2010-01-01,1,,,,,"http://www.springerlink.com/content/2092-6731/",,"","","","",""
"4OR: A Quarterly Journal of Operations Research","1619-4500","1614-2411",2003-01-01,1,,,,,"http://www.springerlink.com/content/1619-4500",,"","","","",""
"Abdominal Imaging","0942-8925","1432-0509",1997-01-01,22,,,,,"http://www.springerlink.com/content/0942-8925",,"","","","",""
"Accreditation and Quality Assurance: Journal for Quality, Comparability and Reliability in Chemical Measurement","0949-1775","1432-0517",1997-01-01,2,,,,,"http://www.springerlink.com/content/0949-1775",,"","","","",""
"Acta Applicandae Mathematicae: An International Survey Journal on Applying Mathematics and Mathematical Applications","0167-8019","1572-9036",1997-01-01,46,,,,,"http://www.springerlink.com/content/0167-8019",,"","","","",""
"Acta Biotheoretica","0001-5342","1572-8358",1997-01-01,45,,,,,"http://www.springerlink.com/content/0001-5342",,"","","","",""
"Acta Diabetologica","0940-5429","1432-5233",1997-01-01,34,,,,,"http://www.springerlink.com/content/0940-5429",,"","","","",""
"Acta Endoscopica","0240-642X","1765-3134",1997-01-01,27,,,,,"http://www.springerlink.com/content/0240-642X",,"","","","",""
"Acta ethologica","0873-9749","1437-9546",1999-01-01,2,,,,,"http://www.springerlink.com/content/0873-9749",,"","","","",""
"Acta Geotechnica","1861-1125","1861-1133",2006-01-01,1,,,,,"http://www.springerlink.com/content/1861-1125",,"","","","",""
"Acta Informatica","0001-5903","1432-0525",1997-01-01,34,,,,,"http://www.springerlink.com/content/0001-5903",,"","","","",""
"Acta Mathematica Hungarica","0236-5294","1588-2632",1997-01-01,74,,,,,"http://www.springerlink.com/content/0236-5294",,"","","","",""
"Acta Mechanica","0001-5970","1619-6937",1997-01-01,120,,,,,"http://www.springerlink.com/content/0001-5970",,"","","","",""
"Acta Neurochirurgica","0001-6268","0942-0940",1997-01-01,139,,,,,"http://www.springerlink.com/content/0001-6268",,"","","","",""
"Acta Neuropathologica","0001-6322","1432-0533",1997-01-01,93,,,,,"http://www.springerlink.com/content/0001-6322",,"","","","",""
"ADHD Attention Deficit and Hyperactivity Disorders","1866-6116","1866-6647",2009-01-01,1,,,,,"http://www.springerlink.com/content/1866-6116",,"","","","",""
"Administration and Policy in Mental Health and Mental Health Services Research","0894-587X","1573-3289",1997-01-01,25,,,,,"http://www.springerlink.com/content/0894-587X",,"","","","",""
"Adsorption","0929-5607","1572-8757",1997-01-01,3,,,,,"http://www.springerlink.com/content/0929-5607",,"","","","",""
"Advances in Computational Mathematics","1019-7168","1572-9044",1997-01-01,7,,,,,"http://www.springerlink.com/content/1019-7168",,"","","","",""
"Advances in Data Analysis and Classification","1862-5347","1862-5355",2007-01-01,1,,,,,"http://www.springerlink.com/content/1862-5347",,"","","","",""
"Advances in Gerontology","2079-0570","2079-0589",2011-01-01,1,,,,,"http://www.springerlink.com/content/2079-0570/",,"","","","",""
"Advances in Health Sciences Education","1382-4996","1573-1677",1997-01-01,2,,,,,"http://www.springerlink.com/content/1382-4996",,"","","","",""
"Aegean Review of the Law of the Sea and Maritime Law","1864-9610","1864-9629",2010-01-01,1,,,,,"http://www.springerlink.com/content/1864-9610",,"","","","",""
"Aequationes Mathematicae","0001-9054","1420-8903",1997-01-01,53,,,,,"http://www.springerlink.com/content/0001-9054",,"","","","",""
"Aerobiologia","0393-5965","1573-3025",1997-01-01,13,,,,,"http://www.springerlink.com/content/0393-5965",,"","","","",""
"Aesthetic Plastic Surgery","0364-216X","1432-5241",1997-01-01,21,,,,,"http://www.springerlink.com/content/0364-216X",,"","","","",""
"African Archaeological Review","0263-0338","1572-9842",1997-01-01,14,,,,,"http://www.springerlink.com/content/0263-0338",,"","","","",""
"AGE","0161-9152","1574-4647",1997-01-01,20,,,,,"http://www.springerlink.com/content/0161-9152",,"","","","",""
"Agriculture and Human Values","0889-048X","1572-8366",1997-01-01,14,,,,,"http://www.springerlink.com/content/0889-048X",,"","","","",""
"Agroforestry Systems","0167-4366","1572-9680",1997-01-01,37,,,,,"http://www.springerlink.com/content/0167-4366",,"","","","",""
"AI & Society","0951-5666","1435-5655",1997-01-01,11,,,,,"http://www.springerlink.com/content/0951-5666",,"","","","",""
"AIDS and Behavior","1090-7165","1573-3254",1997-01-01,1,,,,,"http://www.springerlink.com/content/1090-7165",,"","","","",""
"Algebra and Logic","0002-5232","1573-8302",1997-01-01,36,,,,,"http://www.springerlink.com/content/0002-5232",,"","","","",""
"Algebra Universalis","0002-5240","1420-8911",1997-01-01,37,,,,,"http://www.springerlink.com/content/0002-5240",,"","","","",""
"Algebras and Representation Theory","1386-923X","1572-9079",1998-01-01,1,,,,,"http://www.springerlink.com/content/1386-923X",,"","","","",""
"Algorithmica","0178-4617","1432-0541",1997-01-01,17,,,,,"http://www.springerlink.com/content/0178-4617",,"","","","",""
"Alpine Botany","1664-2201","1664-221X",2011-01-01,121,,,,,"http://www.springerlink.com/content/1664-2201/",,"","","","",""
"American Journal of Community Psychology","0091-0562","1573-2770",1997-01-01,25,,,,,"http://www.springerlink.com/content/0091-0562",,"","","","",""
"American Journal of Dance Therapy","0146-3721","1573-3262",1997-01-01,19,,,,,"http://www.springerlink.com/content/0146-3721",,"","","","",""
"Amino Acids","0939-4451","1438-2199",1997-01-01,12,,,,,"http://www.springerlink.com/content/0939-4451",,"","","","",""
"Analog Integrated Circuits and Signal Processing","0925-1030","1573-1979",1997-01-01,12,,,,,"http://www.springerlink.com/content/0925-1030",,"","","","",""
"Analysis and Mathematical Physics","1664-2368","1664-235X",2011-01-01,1,,,,,"http://www.springerlink.com/content/1664-2368/",,"","","","",""
"Analysis Mathematica","0133-3852","1588-273X",1997-01-01,23,,,,,"http://www.springerlink.com/content/0133-3852",,"","","","",""
"Analytical and Bioanalytical Chemistry","1618-2642","1618-2650",2002-01-01,372,,,,,"http://www.springerlink.com/content/1618-2642",,"","","","",""
"Angiogenesis","0969-6970","1573-7209",1997-01-01,1,,,,,"http://www.springerlink.com/content/0969-6970",,"","","","",""
