publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Abacus","0001-3072","1467-6281",1997-01-01,33,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281",,"10.1111/(ISSN)1467-6281","","","",""
"About Campus","1086-4822","1536-0687",1997-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687",,"10.1002/(ISSN)1536-0687","","","",""
"Academic Emergency Medicine","1069-6563","1553-2712",1997-01-01,2,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712",,"10.1111/(ISSN)1553-2712","","","",""
"Accounting and Finance","0810-5391","1467-629X",1997-01-01,37,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X",,"10.1111/(ISSN)1467-629X","","","",""
"Accounting Perspectives","1911-382X","1911-3838",2010-01-01,9,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838",,"10.1111/(ISSN)1911-3838","","","",""
"Acta Anaesthesiologica Scandinavica","0001-5172","1399-6576",1997-01-01,41,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576",,"10.1111/(ISSN)1399-6576","","","",""
"Acta Archaeologica","0065-101X","1600-0390",2000-01-01,71,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390",,"10.1111/(ISSN)1600-0390","","","",""
"Acta Crystallographica Section A","0108-7673","1600-5724",1997-01-01,53,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724",,"10.1111/(ISSN)1600-5724","","","",""
"Acta Crystallographica Section B","0108-7681","1600-5740",1997-01-01,53,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5740",,"10.1111/(ISSN)1600-5740","","","",""
"Acta Crystallographica Section C","0108-2701","1600-5759",1997-01-01,53,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759",,"10.1111/(ISSN)1600-5759","","","",""
